experiment_id,target,branch,residual_feature_family,residual_lambda,hyperparameters,Primary_MAE,Primary_fold_SD,nested,delta_vs_stage4_primary
TmApp__RESID_ADV_UNSAT_POLAR__Ridge100.0__lam1.0,TmApp,residual_model,ADV_UNSAT_POLAR,1.0,"{""alpha"": 100.0}",2.7392036094286647,0.3143718478267595,True,-0.0034050516662254005
TmApp__RESID_ADV_INVFOLD__Ridge1.0__lam0.25,TmApp,residual_model,ADV_INVFOLD,0.25,"{""alpha"": 1.0}",2.732051542611817,0.31111037246851186,True,-0.010557118483073058
TmApp__RESID_ADV_INVFOLD__Ridge1.0__lam0.5,TmApp,residual_model,ADV_INVFOLD,0.5,"{""alpha"": 1.0}",2.7372885688312,0.31467728745931844,True,-0.005320092263690235
TmApp__RESID_ADV_INVFOLD__Ridge1.0__lam1.0,TmApp,residual_model,ADV_INVFOLD,1.0,"{""alpha"": 1.0}",2.7807511993011236,0.3401782507587085,True,0.03814253820623348
TmApp__RESID_ADV_INVFOLD__Ridge10.0__lam0.25,TmApp,residual_model,ADV_INVFOLD,0.25,"{""alpha"": 10.0}",2.731825868947827,0.308032841645205,True,-0.010782792147062903
TmApp__RESID_ADV_INVFOLD__Ridge10.0__lam0.5,TmApp,residual_model,ADV_INVFOLD,0.5,"{""alpha"": 10.0}",2.73548165853507,0.3092211085476637,True,-0.007127002559820017
TmApp__RESID_ADV_INVFOLD__Ridge10.0__lam1.0,TmApp,residual_model,ADV_INVFOLD,1.0,"{""alpha"": 10.0}",2.769984872474897,0.32636625280203824,True,0.02737621138000712
TmApp__RESID_ADV_INVFOLD__Ridge100.0__lam0.25,TmApp,residual_model,ADV_INVFOLD,0.25,"{""alpha"": 100.0}",2.731868126994978,0.3061189102135689,True,-0.010740534099912047
TmApp__RESID_ADV_INVFOLD__Ridge100.0__lam0.5,TmApp,residual_model,ADV_INVFOLD,0.5,"{""alpha"": 100.0}",2.727925459716049,0.30036333954900174,True,-0.014683201378840938
TmApp__RESID_ADV_INVFOLD__Ridge100.0__lam1.0,TmApp,residual_model,ADV_INVFOLD,1.0,"{""alpha"": 100.0}",2.740961285384666,0.30086844218151515,True,-0.0016473757102239972
TmApp__RESID_COMPACT_PACK_INT__Ridge1.0__lam0.25,TmApp,residual_model,COMPACT_PACK_INT,0.25,"{""alpha"": 1.0}",2.7547927556965393,0.32301918897537724,True,0.012184094601649154
TmApp__RESID_COMPACT_PACK_INT__Ridge1.0__lam0.5,TmApp,residual_model,COMPACT_PACK_INT,0.5,"{""alpha"": 1.0}",2.829361026970801,0.29497982269678064,True,0.08675236587591106
TmApp__RESID_COMPACT_PACK_INT__Ridge1.0__lam1.0,TmApp,residual_model,COMPACT_PACK_INT,1.0,"{""alpha"": 1.0}",3.098646098834715,0.27693295148510066,True,0.356037437739825
TmApp__RESID_COMPACT_PACK_INT__Ridge10.0__lam0.25,TmApp,residual_model,COMPACT_PACK_INT,0.25,"{""alpha"": 10.0}",2.7447502766509144,0.32486047635125903,True,0.0021416155560243233
TmApp__RESID_COMPACT_PACK_INT__Ridge10.0__lam0.5,TmApp,residual_model,COMPACT_PACK_INT,0.5,"{""alpha"": 10.0}",2.8058926789900887,0.3029846783103922,True,0.06328401789519855
TmApp__RESID_COMPACT_PACK_INT__Ridge10.0__lam1.0,TmApp,residual_model,COMPACT_PACK_INT,1.0,"{""alpha"": 10.0}",3.0092557113537395,0.2537820501935202,True,0.2666470502588494
TmApp__RESID_COMPACT_PACK_INT__Ridge100.0__lam0.25,TmApp,residual_model,COMPACT_PACK_INT,0.25,"{""alpha"": 100.0}",2.7343935684879113,0.3261020605891978,True,-0.008215092606978835
TmApp__RESID_COMPACT_PACK_INT__Ridge100.0__lam0.5,TmApp,residual_model,COMPACT_PACK_INT,0.5,"{""alpha"": 100.0}",2.745546251348909,0.32668580360603566,True,0.0029375902540187404
TmApp__RESID_COMPACT_PACK_INT__Ridge100.0__lam1.0,TmApp,residual_model,COMPACT_PACK_INT,1.0,"{""alpha"": 100.0}",2.833435163160749,0.27638660557452527,True,0.09082650206585896
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge1.0__lam0.25,HIC,residual_model,STRUCT_SURFACE_CHEM,0.25,"{""alpha"": 1.0}",0.45813273439869906,0.047795945847242886,True,0.020861017244764357
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge1.0__lam0.5,HIC,residual_model,STRUCT_SURFACE_CHEM,0.5,"{""alpha"": 1.0}",0.5127825193294372,0.06348698287047057,True,0.07551080217550249
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge1.0__lam1.0,HIC,residual_model,STRUCT_SURFACE_CHEM,1.0,"{""alpha"": 1.0}",0.6769486088622414,0.10881070994962438,True,0.2396768917083067
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge10.0__lam0.25,HIC,residual_model,STRUCT_SURFACE_CHEM,0.25,"{""alpha"": 10.0}",0.44722724138339776,0.0502658508108642,True,0.009955524229463053
HIC__RESID_STRUCT_SURFACE_CHEM__Ridge10.0__lam0.5,HIC,residual_model,STRUCT_SURFACE_CHEM,0.5,"{""alpha"": 10.0}",0.4789563362988342,0.058856756294140854,True,0.041684619144899515
