experiment_code,experiment_id,family,representation,topology,annotation,notes,cv_primary_mae,cv_shadow_mae,cv_mean_mae,public_mae,private_mae,test_overall_mae,abs_PS,abs_pub_priv,is_factorial_200,is_surfaceish,provenance
EXP-H033,TRF_HIC_ESM2_FULL_HONLY_FUS_ESM2_SEQ_ARO,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.4345258935528036,0.4424008218270761,0.4384633576899398,0.4129469598840785,0.4980453283992814,0.4554961441416799,0.007874928274272497,0.08509836851520292,False,False,retrospective_historical
EXP-H030,TRF_HIC_SCRATCH_FULL_HONLY_FUS_ESM2_SEQ_ARO,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.4422034926708832,0.4413279370437435,0.4417657148573134,0.3976063614833502,0.4800338898646977,0.438820125674024,0.0008755556271397014,0.08242752838134748,False,False,retrospective_historical
EXP-H021,XGB_HIC_CONTINUOUS_SURFACE,XGBOOST,,,,overall_derivation=authoritative_overall_test_mae local_solution_check pub=0.447909 priv=0.464281 overall=0.456095 | prior_reproduction_status=PASS,0.4457530837353364,0.4448926999127424,0.4453228918240394,0.4479089538197459,0.4642807152830525,0.4560948345513991,0.000860383822594013,0.0163717614633066,False,True,retrospective_historical
EXP-H028,TRF_HIC_SCRATCH_FULL_HONLY_FUS_HYDRO_TITRATION,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.4434767347265172,0.4502519788545835,0.4468643567905503,0.4131651963598934,0.4715501337875553,0.4423576650737243,0.006775244128066293,0.058384937427661876,False,False,retrospective_historical
EXP-H107,TRF_HIC_SCRATCH_ARCH2_SURFACE_PLUS_HSP_EIS_R8_PROMOTED_V3,TRANSFORMER,,,,Scratch + SURFACE + P3 EIS-R8,0.4511917989754381,0.4440665744263448,0.4476291867008914,0.3913406966409565,0.3958980459519375,0.393619371296447,0.007125224549093312,0.004557349310981007,False,True,retrospective_historical
EXP-H047,SVR_HIC_HIC_HYDRO_TITRATION_ESM2_RASA_CDR3_SVR,LINEAR,,,,CLASSICAL_FEATURE_REFINEMENT; no ensemble; CV-selected then postcomp evaluated | prior_reproduction_status=PASS,0.4528784231371178,0.4439791471508914,0.4484287851440046,0.4075780250191751,0.4473670821096207,0.4274725535643979,0.008899275986226418,0.039789057090445556,False,True,retrospective_historical
EXP-H029,TRF_HIC_SCRATCH_FULL_HONLY_FUS_CONTINUOUS_SURFACE,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.4367691172847039,0.4602052170553324,0.4484871671700182,0.4291351329662181,0.4772241528357988,0.4531796429010084,0.023436099770628493,0.048089019869580696,False,True,retrospective_historical
EXP-H052,SVR_HIC_HIC_CONTINUOUS_SURFACE_ESM2_RASA_CDR3_SVR,LINEAR,,,,CLASSICAL_FEATURE_REFINEMENT; no ensemble; CV-selected then postcomp evaluated | prior_reproduction_status=PASS,0.4538794991423401,0.4459805377837694,0.4499300184630548,0.4148224959285339,0.4507828316528795,0.4328026637907066,0.00789896135857071,0.03596033572434565,False,True,retrospective_historical
EXP-H031,TRF_HIC_ESM2_FULL_HONLY_FUS_HYDRO_TITRATION,TRANSFORMER,,,,Phase2A historical Transformer backfill; representation_status=HISTORICAL_UNAVAILABLE; representation_aggregation_future=UNDECIDED; group=phase1_fus | prior_reproduction_status=PASS,0.449374951900278,0.4510437931170679,0.450209372508673,0.4107111196635681,0.4716763438472039,0.4411937317553861,0.0016688412167898958,0.06096522418363581,False,False,retrospective_historical
EXP-H022,XGB_HIC_HYDRO_TITRATION,XGBOOST,,,,overall_derivation=authoritative_overall_test_mae local_solution_check pub=0.42639 priv=0.452537 overall=0.439463 | prior_reproduction_status=PASS,0.4537766579051077,0.4546926663245683,0.454234662114838,0.426389658515836,0.4525372655421127,0.4394634620289744,0.0009160084194606011,0.02614760702627672,False,False,retrospective_historical
EXP-H108,TRF_HIC_ESM2_ARCH4_HSP_BM_R5_PROMOTED_V3,TRANSFORMER,,,,ESM2 + P1 BM-R5 HSP alone,0.4598795530531142,0.4533387031555175,0.4566091281043158,0.4514800829475308,0.4265870743739752,0.4390335786607531,0.006540849897596679,0.024893008573555586,False,True,retrospective_historical
