contrast,n_strata,mean_delta,median_delta,improve_fraction
IMGT-BASE,50,0.003079590109365926,0.0061170974072115025,0.34
REGION-BASE,50,-0.0010401198841613047,-0.0030157094178376587,0.58
FULL-BASE,50,-0.00394997940346049,-0.0007542835047214536,0.52
