experiment_code,experiment_id,family,representation,topology,annotation,notes,cv_primary_mae,cv_shadow_mae,cv_mean_mae,public_mae,private_mae,test_overall_mae,abs_PS,abs_pub_priv,is_factorial_200,is_surfaceish,provenance
EXP-H337,TRF_HIC_CURRAB_PAIRED_IMGT_D_MEAN_V3,TRANSFORMER,currab_paired,FUSE,IMGT,factorial external diagnosis,0.552333172739288,0.5176284440593956,0.5349808083993417,0.49032035300172383,0.4902379642062717,0.4902791586039978,0.0347047286798923,8.23887954521374e-05,True,False,prospective_factorial
EXP-H135,TRF_HIC_SCRATCH_GLOBAL_F1_GATED_RES_V3,TRANSFORMER,,,,H071 + global F1_SURFACE gated residual,0.5024769030912422,0.5176683162642113,0.5100726096777267,0.4080449870545184,0.407950207368827,0.4079975972116728,0.015191413172969126,9.477968569143735e-05,False,True,retrospective_historical
EXP-H248,TRF_HIC_ESM1B_BASE_B2_MEAN_V3,TRANSFORMER,esm1b,REG-SEP,BASE,factorial external diagnosis,0.5399277111100561,0.4885663720590096,0.5142470415845328,0.4634102864206571,0.46364048051245427,0.46352538346655575,0.0513613390510464,0.00023019409179714234,True,False,prospective_factorial
EXP-H065,TRF_HIC_ESM2_FULL_SEPARATE_CROSSATTN_GEOM_MEAN_V3,TRANSFORMER,,,,DL_FOLDLOCAL_COSINE_V3 ESM-2 ARCH-6G MEAN; OOF TEST in cv_*; VAL=0.4720/0.4358; params=551329,0.5430027574609827,0.4970959039381992,0.5200493306995909,0.480851975146635,0.4804550742632076,0.4806535247049213,0.04590685352278351,0.00039690088342742014,False,False,retrospective_historical
EXP-H071,TRF_HIC_SCRATCH_FULL_JOINT_SINGLE_REG_V3,TRANSFORMER,,,,DL_FOLDLOCAL_COSINE_V3 Scratch ARCH-2 single REG; OOF TEST in cv_*; VAL=0.4745/0.4611; params=323969,0.5284297512666679,0.4749465964988425,0.5016881738827552,0.4795710758162133,0.4800268844792872,0.4797989801477502,0.05348315476782539,0.0004558086630739311,False,False,retrospective_historical
EXP-H039,LIN_HIC_ALONE_ESM2_RASA_P1_RIDGE,LINEAR,,,,CLASSICAL_FEATURE_REFINEMENT; no ensemble; CV-selected then postcomp evaluated | prior_reproduction_status=PASS,0.4992563606770568,0.499834038762465,0.4995451997197609,0.5088335740760785,0.5083585987596922,0.5085960864178855,0.0005776780854082064,0.00047497531638629464,False,True,retrospective_historical
EXP-H192,TRF_HIC_ABLANG1_BASE_C_MEAN_V3,TRANSFORMER,ablang1,XREG,BASE,factorial external diagnosis,0.5442965401543511,0.5548412876835576,0.5495689139189543,0.4820915549949364,0.48268480032461636,0.4823881776597763,0.0105447475292064,0.00059324532967997,True,False,prospective_factorial
EXP-H323,TRF_HIC_CURRAB_PAIRED_FULL_A_MEAN_V3,TRANSFORMER,currab_paired,SEP,FULL,factorial external diagnosis,0.5663520055229281,0.53385310311965,0.550102554321289,0.4706387767085322,0.4713231455485025,0.47098096112851734,0.0324989024032781,0.0006843688399703063,True,False,prospective_factorial
EXP-H332,TRF_HIC_CURRAB_PAIRED_BASE_C_MEAN_V3,TRANSFORMER,currab_paired,XREG,BASE,factorial external diagnosis,0.5409400112010815,0.5522775931652681,0.5466088021831748,0.49481123201346683,0.493946448903025,0.494378840458246,0.0113375819641866,0.0008647831104418024,True,False,prospective_factorial
EXP-H244,TRF_HIC_ESM1B_BASE_B1_MEAN_V3,TRANSFORMER,esm1b,JOINT,BASE,factorial external diagnosis,0.5419995837741427,0.5085571312139064,0.5252783574940245,0.4608922935768409,0.4599925333658854,0.4604424134713631,0.0334424525602362,0.0008997602109555025,True,False,prospective_factorial
EXP-H153,TRF_HIC_SCRATCH_IMGT_C_MEAN_V3,TRANSFORMER,scratch,XREG,IMGT,factorial external diagnosis,0.5036775986942243,0.5167349243635013,0.5102062615288628,0.4970771373230736,0.4980803680419922,0.4975787526825329,0.0130573256692769,0.0010032307189185574,True,False,prospective_factorial
EXP-H186,TRF_HIC_ABLANG1_REGION_B1_MEAN_V3,TRANSFORMER,ablang1,JOINT,REGION,factorial external diagnosis,0.5366114169933177,0.5323492741525908,0.5344803455729543,0.4696052040759428,0.47061321541115086,0.4701092097435468,0.0042621428407269,0.0010080113352080589,True,False,prospective_factorial
EXP-H322,TRF_HIC_CURRAB_PAIRED_REGION_A_MEAN_V3,TRANSFORMER,currab_paired,SEP,REGION,factorial external diagnosis,0.5480642481203434,0.5196139820240162,0.5338391150721797,0.48692620472849146,0.48590043969801927,0.48641332221325534,0.0284502660963271,0.0010257650304721921,True,False,prospective_factorial
EXP-H236,TRF_HIC_ABLANG2_UNPAIRED_BASE_D_MEAN_V3,TRANSFORMER,ablang2_unpaired,FUSE,BASE,factorial external diagnosis,0.5591621814303928,0.5151136912122185,0.5371379363213056,0.4831007479443959,0.4841300241917738,0.48361538606808485,0.0440484902181742,0.0010292762473779193,True,False,prospective_factorial
EXP-H158,TRF_HIC_SCRATCH_REGION_D_MEAN_V3,TRANSFORMER,scratch,FUSE,REGION,factorial external diagnosis,0.5660545178166142,0.5330030519932877,0.5495287849049509,0.4949781908576873,0.496025914698471,0.4955020527780792,0.0330514658233265,0.0010477238407837208,True,False,prospective_factorial
EXP-H239,TRF_HIC_ABLANG2_UNPAIRED_FULL_D_MEAN_V3,TRANSFORMER,ablang2_unpaired,FUSE,FULL,factorial external diagnosis,0.5186338004594968,0.5336480930940605,0.5261409467767786,0.4901361185709636,0.4890547823493864,0.489595450460175,0.0150142926345636,0.0010813362215772448,True,False,prospective_factorial
EXP-H197,TRF_HIC_ABLANG1_IMGT_D_MEAN_V3,TRANSFORMER,ablang1,FUSE,IMGT,factorial external diagnosis,0.5278134214142222,0.5450956621523256,0.5364545417832739,0.49078127882215694,0.48964952313458504,0.490215400978371,0.0172822407381034,0.0011317556875719004,True,False,prospective_factorial
EXP-H268,TRF_HIC_ESM2_BASE_B2_MEAN_V3,TRANSFORMER,esm2,REG-SEP,BASE,factorial external diagnosis,0.5189972279866537,0.5104604469581887,0.5147288374724213,0.4724612968350634,0.47377339718665584,0.4731173470108595,0.008536781028465,0.00131210035159246,True,False,prospective_factorial
EXP-H314,TRF_HIC_CURRAB_UNPAIRED_REGION_C_MEAN_V3,TRANSFORMER,currab_unpaired,XREG,REGION,factorial external diagnosis,0.5403899506462945,0.5089383485111189,0.5246641495787067,0.48948539488992565,0.49084124963077475,0.49016332226035014,0.0314516021351756,0.001355854740849094,True,False,prospective_factorial
EXP-H191,TRF_HIC_ABLANG1_FULL_B2_MEAN_V3,TRANSFORMER,ablang1,REG-SEP,FULL,factorial external diagnosis,0.5521801866131064,0.5215987821037387,0.5368894843584225,0.4753678415557484,0.47399808285560124,0.47468296220567474,0.0305814045093677,0.0013697587001471612,True,False,prospective_factorial
