representation,split,n,mean,median,ci95_lo,ci95_hi,frac_improve
ablang1,test,162,-0.0779149391268506,-0.03887071609497017,-0.12845130484898884,-0.03149693164825423,0.5925925925925926
ablingua,test,162,-0.06017657013881344,-0.036617088317871804,-0.1035641567854233,-0.019374426533263295,0.5864197530864198
