representation,sham_code,real_code,cv_primary_sham,cv_primary_real,delta_cv_primary,cv_shadow_sham,cv_shadow_real,delta_cv_shadow,cv_mean_sham,cv_mean_real,delta_cv_mean
ablang1,EXP-H340,EXP-H341,0.5236985429834436,0.4756654593856246,-0.04803308359781905,0.5377991520916975,0.5166966467492374,-0.021102505342460054,0.5307488475375706,0.496181053067431,-0.03456779447013958
ablingua,EXP-H342,EXP-H343,0.49513655302259657,0.47927375840552056,-0.015862794617076015,0.5327797420642995,0.4697127017268428,-0.06306704033745664,0.513958147543448,0.4744932300661817,-0.039464917477266326
