representation,contrast,arm_a,arm_b,metric,scope,value_a,value_b,delta
ablang1,ARO_vs_SHAM,ARO_ONLY35,SHAM35,cv_primary,internal,0.5469314383518549,0.5236985429834436,0.02323289536841122
ablang1,ARO_vs_SHAM,ARO_ONLY35,SHAM35,cv_shadow,internal,0.503261871855936,0.5377991520916975,-0.034537280235761525
ablang1,ARO_vs_SHAM,ARO_ONLY35,SHAM35,cv_mean,internal,0.5250966551038954,0.5307488475375706,-0.005652192433675207
ablang1,ARO_vs_SHAM,ARO_ONLY35,SHAM35,public,external,0.44251762738639927,0.4657212313428338,-0.023203603956434504
ablang1,ARO_vs_SHAM,ARO_ONLY35,SHAM35,private,external,0.44782476929087717,0.4704142726380147,-0.02258950334713755
ablang1,ARO_vs_SHAM,ARO_ONLY35,SHAM35,test,external,0.4451711983386382,0.4680677519904243,-0.022896553651786056
ablang1,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,cv_primary,internal,0.5079083423849977,0.5236985429834436,-0.015790200598445936
ablang1,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,cv_shadow,internal,0.4903136303748613,0.5377991520916975,-0.047485521716836177
ablang1,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,cv_mean,internal,0.4991109863799295,0.5307488475375706,-0.031637861157641056
ablang1,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,public,external,0.40916890914351833,0.4657212313428338,-0.05655232219931544
ablang1,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,private,external,0.43818777494077316,0.4704142726380147,-0.03222649769724156
ablang1,HYDRO_vs_SHAM,HYDRO_ONLY35,SHAM35,test,external,0.4236783420421458,0.4680677519904243,-0.0443894099482785
ablang1,FULL_vs_SHAM,FULL35,SHAM35,cv_primary,internal,0.4756654593856246,0.5236985429834436,-0.04803308359781905
ablang1,FULL_vs_SHAM,FULL35,SHAM35,cv_shadow,internal,0.5166966467492374,0.5377991520916975,-0.021102505342460054
ablang1,FULL_vs_SHAM,FULL35,SHAM35,cv_mean,internal,0.496181053067431,0.5307488475375706,-0.03456779447013958
