representation,sham,real,delta_public,delta_private,delta_test,improve_public,improve_private,improve_test
ablang1,EXP-H340,EXP-H341,-0.09337186836902,-0.06245800988468109,-0.0779149391268506,True,True,True
ablingua,EXP-H342,EXP-H343,-0.069353719734851,-0.050999420542775786,-0.06017657013881339,True,True,True
