representation,scheme,sham_code,real_code,cv_sham,cv_real,delta_cv,boot_mean,boot_ci_lo,boot_ci_hi,n_high,mae_high_sham,mae_high_real,delta_mae_high,signed_high_sham,signed_high_real,delta_signed_high,delta_mae_nonhigh
ablang1,primary,EXP-H340,EXP-H341,0.5236985429834436,0.4756654593856246,-0.04803308359781905,-0.04803308359781909,-0.10397945446085047,0.0076437000133372434,6,2.6669903335571283,2.522720549265543,-0.14426978429158543,-2.6669903335571283,-2.522720549265543,0.14426978429158543,-0.04433167203267424
ablang1,shadow,EXP-H340,EXP-H341,0.5377991520916975,0.5166966467492374,-0.021102505342460054,-0.02110250534245998,-0.09485774279582657,0.052514095920986596,6,2.3793414967854822,2.390249464670817,0.010907967885334546,-2.3793414967854822,-2.390249464670817,-0.010907967885334546,-0.022333677389682838
ablingua,primary,EXP-H342,EXP-H343,0.49513655302259657,0.47927375840552056,-0.015862794617076015,-0.01586279461707591,-0.06958359996536627,0.03936552366916038,6,2.366357062021891,2.221772565205891,-0.14458449681599994,-2.366357062021891,-2.221772565205891,0.14458449681599994,-0.010911959917117298
ablingua,shadow,EXP-H342,EXP-H343,0.5327797420642995,0.4697127017268428,-0.06306704033745664,-0.06306704033745673,-0.11629588297973442,-0.012938889060786113,6,2.478856934865315,2.5336970227559408,0.05484008789062589,-2.478856934865315,-2.5336970227559408,-0.05484008789062589,-0.06760192988469066
