representation,scheme,n,mean,ci95_lo,ci95_hi
ablang1,primary,162,-0.04803308359781909,-0.10397945446085047,0.0076437000133372434
ablang1,shadow,162,-0.02110250534245998,-0.09485774279582657,0.052514095920986596
ablingua,primary,162,-0.01586279461707591,-0.06958359996536627,0.03936552366916038
ablingua,shadow,162,-0.06306704033745673,-0.11629588297973442,-0.012938889060786113
