contrast,n_strata,mean_delta,median_delta,improve_fraction
JOINT-SEP,40,-0.004389645392806467,-0.0035416203487065867,0.6
REG-SEP-SEP,40,0.0017661062264147764,0.0018492058883478324,0.475
XREG-SEP,40,0.0008157295062217962,0.0016366365456287613,0.45
FUSE-SEP,40,0.002767047825566035,0.005639259809329056,0.4
