representation,n_high,mae_high_sham,mae_high_real,delta_mae_high,signed_high_sham,signed_high_real,delta_signed_high,delta_mae_nonhigh
ablang1,7,2.7415532967703684,1.8098081305367608,-0.9317451662336076,-2.7415532967703684,-1.8089768992832729,0.9325763974870955,-0.03935486435428737
ablingua,7,2.701782407488141,1.937439753941127,-0.7643426535470141,-2.701782407488141,-1.892990947178432,0.808791460309709,-0.02837552121070125
