experiment_code,representation,arm,public_mae,private_mae,test_overall_mae,public_private_gap
EXP-H340,ablang1,SHAM35,0.4657212313428338,0.4704142726380147,0.4680677519904243,0.004693041295180944
EXP-H341,ablang1,REAL_F1_SURFACE35,0.37234936297381377,0.40795626275333363,0.3901528128635737,0.03560689977951986
EXP-H342,ablingua,SHAM35,0.44583160871340877,0.48076274937759206,0.4632971790455004,0.03493114066418329
EXP-H343,ablingua,REAL_F1_SURFACE35,0.3764778889785578,0.42976332883481627,0.403120608906687,0.0532854398562585
