kind,representation,annotation,topology,scheme,delta_mae,ci95_lo,ci95_hi,code_x,code_a,code_base,family
topology_gain_vs_A,ablingua,BASE,D,shadow,0.001874123090579186,-0.2200571784266719,0.22867385664103923,EXP-T181,EXP-T177,,
topology_gain_vs_A,ablingua,IMGT,B1,primary,0.04489743268048322,-0.14080861762717917,0.2203264154033896,EXP-T183,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,B1,shadow,-0.010396439352153303,-0.22340948669998734,0.1994518786300845,EXP-T183,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,B2,primary,0.09984612170560861,-0.11469057342152537,0.33371698473706657,EXP-T184,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,B2,shadow,-0.043505586223837815,-0.23353846396928957,0.15148660753980048,EXP-T184,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,C,primary,0.16372221487539787,-0.05934059354994032,0.395632188702807,EXP-T185,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,C,shadow,-0.1482269852249711,-0.36269958284166126,0.05678074801409666,EXP-T185,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,D,primary,-0.011545534487123843,-0.1725537735738872,0.15762186756840454,EXP-T186,EXP-T182,,
topology_gain_vs_A,ablingua,IMGT,D,shadow,-0.21958777345257044,-0.39627695083618164,-0.04987113976184242,EXP-T186,EXP-T182,,
topology_gain_vs_A,ablingua,REGION,B1,primary,-0.0445768568250868,-0.2795908456967201,0.20881301738597727,EXP-T188,EXP-T187,,
topology_gain_vs_A,ablingua,REGION,B1,shadow,0.04928610059950082,-0.1939042544659274,0.27583127316133454,EXP-T188,EXP-T187,,
topology_gain_vs_A,ablingua,REGION,B2,primary,-0.03839116037627797,-0.19989378893816914,0.13962862226698133,EXP-T189,EXP-T187,,
topology_gain_vs_A,ablingua,REGION,B2,shadow,0.07431359938633295,-0.0981064631615156,0.2525881178585098,EXP-T189,EXP-T187,,
topology_gain_vs_A,ablingua,REGION,C,primary,0.09830837485230999,-0.14506918236061378,0.3287473937611519,EXP-T190,EXP-T187,,
topology_gain_vs_A,ablingua,REGION,C,shadow,-0.041564093695746526,-0.22112306076803326,0.14470689443894363,EXP-T190,EXP-T187,,
topology_gain_vs_A,ablingua,REGION,D,primary,0.0473335642873505,-0.13992274602254232,0.23542246877411255,EXP-T191,EXP-T187,,
topology_gain_vs_A,ablingua,REGION,D,shadow,0.026795563874421297,-0.19547744091646171,0.2381905461535041,EXP-T191,EXP-T187,,
topology_gain_vs_A,ablingua,FULL,B1,primary,0.17111855966073491,-0.0278341870249054,0.39398623101505215,EXP-T081,EXP-T080,,
topology_gain_vs_A,ablingua,FULL,B1,shadow,0.17314642447012443,-0.03399953488950376,0.3740804089440238,EXP-T081,EXP-T080,,
topology_gain_vs_A,ablingua,FULL,B2,primary,-0.01700196442780671,-0.13568222964251483,0.11153033574422201,EXP-T082,EXP-T080,,
topology_gain_vs_A,ablingua,FULL,B2,shadow,0.057466342125409915,-0.14904808232813707,0.2584619045257568,EXP-T082,EXP-T080,,
topology_gain_vs_A,ablingua,FULL,C,primary,-0.02487841947579094,-0.15675913492838542,0.10318210389878994,EXP-T087,EXP-T080,,
topology_gain_vs_A,ablingua,FULL,C,shadow,-0.030238304609133917,-0.21570824634881672,0.15903111210575807,EXP-T087,EXP-T080,,
topology_gain_vs_A,ablingua,FULL,D,primary,0.11246791886694638,-0.025441898534327375,0.2513994169823917,EXP-T151,EXP-T080,,
topology_gain_vs_A,ablingua,FULL,D,shadow,0.027247275835202065,-0.17121790191273628,0.23707406020458813,EXP-T151,EXP-T080,,
topology_gain_vs_A,ablang2_paired,BASE,B1,primary,0.21617896468551076,-0.08736567556122189,0.505383021743209,EXP-T193,EXP-T192,,
topology_gain_vs_A,ablang2_paired,BASE,B1,shadow,-0.12970924377441412,-0.3774969677866241,0.11595861411388964,EXP-T193,EXP-T192,,
topology_gain_vs_A,ablang2_paired,BASE,B2,primary,0.08941240663881656,-0.19554823828332218,0.37529510215476675,EXP-T194,EXP-T192,,
topology_gain_vs_A,ablang2_paired,BASE,B2,shadow,0.06798572304808059,-0.1561580775696554,0.29192315030980964,EXP-T194,EXP-T192,,
topology_gain_vs_A,ablang2_paired,BASE,C,primary,-0.1078486265959563,-0.3606118478892762,0.14329635478832098,EXP-T195,EXP-T192,,
topology_gain_vs_A,ablang2_paired,BASE,C,shadow,-0.04262038807810093,-0.26103138982513807,0.16718329912350485,EXP-T195,EXP-T192,,
topology_gain_vs_A,ablang2_paired,BASE,D,primary,-0.08141887335129722,-0.3342337990984504,0.16023384141333302,EXP-T196,EXP-T192,,
topology_gain_vs_A,ablang2_paired,BASE,D,shadow,-0.2971638102590302,-0.5556828963903733,-0.05876434702932113,EXP-T196,EXP-T192,,
topology_gain_vs_A,ablang2_paired,IMGT,B1,primary,-0.030166932094244266,-0.3094583381841212,0.23234170277913366,EXP-T198,EXP-T197,,
topology_gain_vs_A,ablang2_paired,IMGT,B1,shadow,0.05335174372166763,-0.22658197614881728,0.32740559401335534,EXP-T198,EXP-T197,,
topology_gain_vs_A,ablang2_paired,IMGT,B2,primary,0.10635988211926127,-0.08628580481917765,0.2836394898685409,EXP-T199,EXP-T197,,
topology_gain_vs_A,ablang2_paired,IMGT,B2,shadow,-0.1005857255723741,-0.3553566008438298,0.15086747981883827,EXP-T199,EXP-T197,,
topology_gain_vs_A,ablang2_paired,IMGT,C,primary,0.07636414045169033,-0.22089354079446671,0.35744984297104754,EXP-T200,EXP-T197,,
topology_gain_vs_A,ablang2_paired,IMGT,C,shadow,0.1043070804925613,-0.1672840683548538,0.39210716235784837,EXP-T200,EXP-T197,,
topology_gain_vs_A,ablang2_paired,IMGT,D,primary,0.14000916186674145,-0.14530041659319842,0.4045716050230427,EXP-T201,EXP-T197,,
topology_gain_vs_A,ablang2_paired,IMGT,D,shadow,-0.0434936476342472,-0.2802106351028254,0.20120591293146572,EXP-T201,EXP-T197,,
topology_gain_vs_A,ablang2_paired,REGION,B1,primary,-0.028947241512345723,-0.23569117122226302,0.1762249145978759,EXP-T203,EXP-T202,,
topology_gain_vs_A,ablang2_paired,REGION,B1,shadow,0.16716486142005457,-0.16077038447062175,0.49612652519602846,EXP-T203,EXP-T202,,
topology_gain_vs_A,ablang2_paired,REGION,B2,primary,0.12714046902126733,-0.061977634312194066,0.3243500474058551,EXP-T204,EXP-T202,,
topology_gain_vs_A,ablang2_paired,REGION,B2,shadow,-0.10604429833682949,-0.34508387129983764,0.13545386702926082,EXP-T204,EXP-T202,,
topology_gain_vs_A,ablang2_paired,REGION,C,primary,-0.08033811310191209,-0.3085574944814046,0.14377960393458242,EXP-T205,EXP-T202,,
topology_gain_vs_A,ablang2_paired,REGION,C,shadow,-0.1975468058644989,-0.4885034979125598,0.09061662827009015,EXP-T205,EXP-T202,,
