A,B,scheme,delta_mae_A_minus_B,ci95_lo,ci95_hi
EXP-H128,EXP-H071,primary,0.01725464922116128,-0.045691273498535315,0.07923119803534608
EXP-H128,EXP-H071,shadow,0.0068128483148270505,-0.039090082581837826,0.05359419823399313
EXP-H128,EXP-H090,primary,0.08811364477652095,0.02102819932655054,0.16374435459301795
EXP-H128,EXP-H090,shadow,-0.003694278669945776,-0.0664058371779357,0.05594301623473955
EXP-H129,EXP-H071,primary,0.011774308522542423,-0.05254652578330331,0.07448743268707646
EXP-H129,EXP-H071,shadow,0.0204965647473748,-0.024714361695889975,0.07007796068662485
EXP-H129,EXP-H090,primary,0.08263330407790209,0.013604566324493106,0.15879265438715615
EXP-H129,EXP-H090,shadow,0.009989437762601975,-0.05313998304060935,0.07064033646995663
EXP-H130,EXP-H071,primary,0.014492401499807208,-0.02925050020100154,0.05458645412656992
EXP-H130,EXP-H071,shadow,0.044273680369059244,-0.0017184367380025194,0.09490205931957867
EXP-H130,EXP-H090,primary,0.08535139705516688,0.024971833510457835,0.14616441275043257
EXP-H130,EXP-H090,shadow,0.03376655338428642,-0.02846364847936755,0.0938849537143001
EXP-H131,EXP-H061,primary,0.0008782414565847376,-0.045730660038230314,0.044492314734281876
EXP-H131,EXP-H061,shadow,0.045019053235466115,-0.0003130550537578362,0.08879265647346599
EXP-H131,EXP-H086,primary,0.06250944787484615,0.0030333729437838166,0.12519387617699881
EXP-H131,EXP-H086,shadow,0.024325901172779395,-0.036847019911400984,0.08989474153871906
EXP-H132,EXP-H061,primary,-0.009517884148491874,-0.05712299407440945,0.03475467720973615
EXP-H132,EXP-H061,shadow,0.010227947941532768,-0.03222693727752311,0.052711709654772745
EXP-H132,EXP-H086,primary,0.05211332226976954,-0.008552182274100123,0.11527192889790483
EXP-H132,EXP-H086,shadow,-0.010465204121153955,-0.07179289572091739,0.049790343708462304
EXP-H133,EXP-H061,primary,-0.036939789148024746,-0.09322597780934103,0.01613133583775236
EXP-H133,EXP-H061,shadow,0.038028980678982104,-0.00033612669014633566,0.07921055951412788
EXP-H133,EXP-H086,primary,0.024691417270236663,-0.04103324398229145,0.08605878994788647
EXP-H133,EXP-H086,shadow,0.017335828616295384,-0.038059300991340826,0.07479493920479294
