scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.0001,1.0000000000000002e-06,18,126,9.824559221366101e-05,2.8150778105764678,48,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/primary_k0_lr1e-04_seed101.pt,649131418599f207,101
primary,1,0.001,1e-05,7,42,0.0009978031724785245,3.4586970011393228,37,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/primary_k1_lr1e-03_seed101.pt,649131418599f207,101
primary,2,0.001,1e-05,10,70,0.000995061710569696,3.102550745010376,40,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/primary_k2_lr1e-03_seed101.pt,649131418599f207,101
primary,3,0.0001,1.0000000000000002e-06,19,133,9.803453744100869e-05,2.6639366149902344,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/primary_k3_lr1e-04_seed101.pt,649131418599f207,101
primary,4,0.001,1e-05,45,315,0.0008864040551740157,3.024597406387329,75,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/primary_k4_lr1e-03_seed101.pt,649131418599f207,101
shadow,0,0.0001,1.0000000000000002e-06,18,126,9.824559221366101e-05,2.877504522150213,48,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,649131418599f207,101
shadow,1,0.0001,1.0000000000000002e-06,14,98,9.897152912577741e-05,3.156095266342163,44,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,649131418599f207,101
shadow,2,0.0001,1.0000000000000002e-06,23,161,9.707359806323417e-05,3.079678773880005,53,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/shadow_k2_lr1e-04_seed101.pt,649131418599f207,101
shadow,3,0.0001,1.0000000000000002e-06,19,133,9.803453744100869e-05,3.431938633774266,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/shadow_k3_lr1e-04_seed101.pt,649131418599f207,101
shadow,4,0.0001,1.0000000000000002e-06,26,182,9.623203685930869e-05,2.840669631958008,56,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T300_run/checkpoints/shadow_k4_lr1e-04_seed101.pt,649131418599f207,101
