code,scheme,delta_mae_zero_minus_base,base_mae,zero_mae
EXP-H134,primary,0.032509395646460215,,
EXP-H134,shadow,0.062070759055055325,,
EXP-H135,primary,0.04662852991363153,,
EXP-H135,shadow,-0.010340110072383113,,
EXP-H136,primary,0.05034208325986517,,
EXP-H136,shadow,0.0522963153697828,,
EXP-H137,primary,0.03753140621420775,,
EXP-H137,shadow,-0.015079480536190126,,
EXP-H138,primary,0.04143739836892957,,
EXP-H138,shadow,0.016358998333966313,,
EXP-H139,primary,0.04189825938660424,,
EXP-H139,shadow,0.062309071905819025,,
EXP-H090,primary,0.052001649173689435,,
EXP-H090,shadow,0.041158717732370564,,
EXP-H086,primary,0.05541796432306728,0.4714368941224652,0.5268548584455325
EXP-H086,shadow,0.02065244528688026,0.501216005537245,0.5218684508241253
