topology,annotation,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
A,IMGT,ablang2_paired,ablang1,shadow,0.12071053775740254,-0.1927389798340975,0.41007767901008496,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,esm1b,primary,0.21437058625397853,-0.11390684622305407,0.5580651389227965,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,esm1b,shadow,-0.17564458022882914,-0.5214191230726832,0.16281124397560393,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,esm2,primary,0.1637977317527488,-0.21687663160724413,0.5883060219847125,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,esm2,shadow,-0.33959506470480083,-0.7407436370849609,0.032908106438907694,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,esmc600m,primary,-0.14987952620894826,-0.4975489504543352,0.21638959602073315,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,esmc600m,shadow,0.039862361955053965,-0.2841198597425296,0.38045650882485466,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,currab_paired,primary,0.015107684665256076,-0.34649929705961247,0.37336141032937137,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,currab_paired,shadow,-0.14536440813982932,-0.4563228713141547,0.14807012817006052,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,currab_unpaired,primary,0.004969585089035933,-0.3271115974143699,0.34915966987609814,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_paired,currab_unpaired,shadow,0.1474696265326605,-0.1751008369304516,0.45128405947744016,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,ablang1,primary,-0.07346440538947965,-0.4330457463676547,0.2821636753317748,DiD=annot_gain(r1)-annot_gain(r2)
A,IMGT,ablang2_unpaired,ablang1,shadow,0.1032860367386429,-0.2684839319299769,0.4877935703889823,DiD=annot_gain(r1)-annot_gain(r2)
