scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,34,238,0.0009349725996469047,0.5150189962676077,64,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/primary_k0_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
primary,1,0.01,0.0001,4,24,0.009994504881061753,0.5274412159775241,34,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/primary_k1_lr1e-02_seed101.pt,f4efb3ed83fd3486,101
primary,2,0.001,1e-05,30,210,0.0009495236500015047,0.38778767800331126,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/primary_k2_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
primary,3,0.001,1e-05,19,133,0.0009803453744100868,0.44923684716224666,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/primary_k3_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
primary,4,0.001,1e-05,8,56,0.000997010672950314,0.44898742508888245,38,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/primary_k4_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
shadow,0,0.001,1e-05,47,329,0.0008763049794670775,0.45597556836677317,77,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
shadow,1,0.001,1e-05,32,224,0.0009424639868939033,0.4272835752964019,62,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
shadow,2,0.0001,1.0000000000000002e-06,10,70,9.95061710569696e-05,0.5158781802654266,40,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/shadow_k2_lr1e-04_seed101.pt,f4efb3ed83fd3486,101
shadow,3,0.001,1e-05,39,273,0.0009144048842659081,0.4621946593775893,69,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
shadow,4,0.001,1e-05,5,35,0.0009990232305719944,0.41796606707572936,35,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H335_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,f4efb3ed83fd3486,101
