scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,26,182,0.000962320368593087,2.6555242827444365,56,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/primary_k0_lr1e-03_seed101.pt,fa0471511187ccd1,101
primary,1,0.001,1e-05,22,132,0.0009733122526196349,3.340392372824929,52,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/primary_k1_lr1e-03_seed101.pt,fa0471511187ccd1,101
primary,2,0.0001,1.0000000000000002e-06,114,798,4.046202887985264e-05,2.9375061988830566,144,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/primary_k2_lr1e-04_seed101.pt,fa0471511187ccd1,101
primary,3,0.0001,1.0000000000000002e-06,82,574,6.505499609899905e-05,2.6887896060943604,112,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/primary_k3_lr1e-04_seed101.pt,fa0471511187ccd1,101
primary,4,0.001,1e-05,17,119,0.0009844486647586723,2.938236951828003,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/primary_k4_lr1e-03_seed101.pt,fa0471511187ccd1,101
shadow,0,0.001,1e-05,13,91,0.000991232189110701,2.549997503107244,43,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,fa0471511187ccd1,101
shadow,1,0.001,1e-05,38,266,0.0009187246438772938,3.0617363452911377,68,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,fa0471511187ccd1,101
shadow,2,0.001,1e-05,27,189,0.0009592885397135706,3.2248129844665527,57,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,fa0471511187ccd1,101
shadow,3,0.001,1e-05,52,364,0.0008494768343131955,3.376215616861979,82,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,fa0471511187ccd1,101
shadow,4,0.0001,1.0000000000000002e-06,55,385,8.323493733352077e-05,3.042076349258423,85,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T253_run/checkpoints/shadow_k4_lr1e-04_seed101.pt,fa0471511187ccd1,101
