experiment_code,scheme,fold,seed,lr_candidate,epoch,optimizer_step,train_loss,val_loss,val_mae,learning_rate,best_val_mae_so_far,epochs_since_improvement,is_best,stopped_early
EXP-T073,primary,0,101,2.9999999999999997e-05,1,7,0.5751938905034747,0.5161779622236887,3.3583293105616714,2.9999999999999997e-05,3.3583293105616714,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,2,14,0.49659308074374814,0.5051366488138834,3.348356998328007,2.9998149487224905e-05,3.348356998328007,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,3,21,0.5370869083063943,0.4992409845193227,3.3411613233161694,2.999259840548597e-05,3.3411613233161694,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,4,28,0.5354986701692853,0.5052024324735006,3.3389908761689155,2.998334812442955e-05,3.3389908761689155,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,5,35,0.5398508736065456,0.5005216101805369,3.3325431130149146,2.997040092642407e-05,3.3325431130149146,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,6,42,0.6210581362247467,0.503238171339035,3.329259930234967,2.9953760005996917e-05,3.329259930234967,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,7,49,0.6064077573163169,0.5016217132409414,3.3236576427112925,2.9933429469046195e-05,3.3236576427112925,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,8,56,0.8638391494750977,0.5202226340770721,3.3278422500147964,2.990941433182769e-05,3.3236576427112925,1,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,9,63,0.590417029602187,0.5296496748924255,3.32688857569839,2.9881720519717163e-05,3.3236576427112925,2,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,10,70,0.5179606761251178,0.5352749029795328,3.3225823604699336,2.9850354865748356e-05,3.3225823604699336,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,11,77,0.48719354612486704,0.5293593108654022,3.314568028305516,2.981532510892706e-05,3.314568028305516,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,12,84,0.49285239832741873,0.510225792725881,3.3013217810428506,2.97766398923216e-05,3.3013217810428506,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,13,91,0.7051549340997424,0.5038483639558157,3.293129892060251,2.9734308760930323e-05,3.293129892060251,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,14,98,0.6306904213769096,0.5009726484616598,3.2862715287642046,2.9688342159326477e-05,3.2862715287642046,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,15,105,0.5236887208053044,0.5100876291592916,3.2853488344134707,2.9638751429081203e-05,3.2853488344134707,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,16,112,0.47739093963588985,0.5295205513636271,3.286652304909446,2.958554880596514e-05,3.2853488344134707,1,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,17,119,0.48862758917467936,0.5363466342290243,3.2827973799272017,2.9528747416929457e-05,3.2827973799272017,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,18,126,0.6340970993041992,0.5127835869789124,3.2659979155569365,2.9468361276866963e-05,3.2659979155569365,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,19,133,0.7492430678435734,0.48984023928642273,3.2502360488429214,2.940440528515414e-05,3.2502360488429214,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,20,140,0.44807481650579056,0.48212655385335285,3.2448892304391572,2.9336895221974945e-05,3.2448892304391572,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,21,147,0.4364497914378132,0.4994792540868123,3.2427153153852983,2.9265847744427298e-05,3.2427153153852983,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,22,154,0.47296784818172455,0.5073890686035156,3.2400674530954072,2.919128038241317e-05,3.2400674530954072,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,23,161,0.4527077209869666,0.5194139579931895,3.23704482569839,2.9113211534313375e-05,3.23704482569839,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,24,168,0.46822656797511236,0.5097006062666575,3.2244565559156015,2.9031660462448004e-05,3.2244565559156015,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,25,175,0.44960841589740347,0.4982308844725291,3.2107647982510654,2.894664728832376e-05,3.2107647982510654,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,26,182,0.5596549808979034,0.5007790426413218,3.202940507368608,2.8858192987669293e-05,3.202940507368608,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,27,189,0.43108153552956147,0.5009658932685852,3.1970342000325522,2.8766319385259707e-05,3.1970342000325522,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,28,196,0.4430418387055397,0.49909598628679913,3.1897132179953833,2.8671049149531667e-05,3.1897132179953833,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,29,203,0.4209419648562159,0.48669933279355365,3.1814968224727744,2.8572405786990283e-05,3.1814968224727744,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,30,210,0.482020160981587,0.488217959801356,3.17306171764027,2.8470413636409223e-05,3.17306171764027,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,31,217,0.4331941620829249,0.4819950759410858,3.1766262632427793,2.8365097862825506e-05,3.17306171764027,1,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,32,224,0.6057484405381339,0.4914143780867259,3.155227892326586,2.8256484451330395e-05,3.155227892326586,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,33,231,0.4627357976777213,0.48957037925720215,3.1525520555900806,2.8144600200657943e-05,3.1525520555900806,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,34,238,0.6187215830598559,0.48985424637794495,3.149148652047822,2.8029472716572858e-05,3.149148652047822,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,35,245,0.4749464435236795,0.4918839732805888,3.1438083070697207,2.7911130405059144e-05,3.1438083070697207,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,36,252,0.5112039830003466,0.48941601316134137,3.1423506303267046,2.7789602465311374e-05,3.1423506303267046,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,37,259,0.5277615572725024,0.49330515662829083,3.130937287301728,2.7664918882530217e-05,3.130937287301728,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,38,266,0.4098076020766582,0.5031286279360453,3.117377078894413,2.7537110420524047e-05,3.117377078894413,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,39,273,0.4192199834755489,0.5124519268671671,3.115484295469342,2.7406208614118416e-05,3.115484295469342,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,40,280,0.4635080524853298,0.5038948257764181,3.1150702274206914,2.727224576137534e-05,3.1150702274206914,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,41,287,0.6180547092642102,0.496479868888855,3.1243198279178506,2.7135254915624203e-05,3.1150702274206914,1,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,42,294,0.4445407965353557,0.4960244397322337,3.128928213408499,2.6995269877306353e-05,3.1150702274206914,2,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,43,301,0.4376569985678153,0.49168992042541504,3.1396322539358428,2.6852325185635346e-05,3.1150702274206914,3,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,44,308,0.4039473046681711,0.5016084909439087,3.118232264663234,2.670645611007494e-05,3.1150702274206914,4,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,45,315,0.45058572718075346,0.4963572919368744,3.1249468254320547,2.6557698641636832e-05,3.1150702274206914,5,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,46,322,0.39381556319338934,0.5099767049153646,3.101551633892637,2.6406089484000458e-05,3.101551633892637,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,47,329,0.4311363228729793,0.5062451958656311,3.105047977331913,2.625166604445689e-05,3.101551633892637,1,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,48,336,0.38804033495086643,0.49706036845843,3.108732974890507,2.6094466424679137e-05,3.101551633892637,2,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,49,343,0.40207516721836456,0.4921099344889323,3.1127608328154595,2.5934529411321167e-05,3.101551633892637,3,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,50,350,0.4752795823982784,0.49753673871358234,3.1013024070046167,2.5771894466447827e-05,3.1013024070046167,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,51,357,0.4176808696772371,0.5072575509548187,3.0902996641216856,2.5606601717798206e-05,3.0902996641216856,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,52,364,0.40486130118370056,0.49772228797276813,3.093634171919389,2.5438691948884705e-05,3.0902996641216856,1,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,53,371,0.4899043100220816,0.4827867348988851,3.1237226544004497,2.5268206588930322e-05,3.0902996641216856,2,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,54,378,0.41763629019260406,0.4635603924592336,3.191148700136127,2.509518770264659e-05,3.0902996641216856,3,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,55,385,0.46539495246750967,0.4532674153645833,3.258387247721354,2.491967797985477e-05,3.0902996641216856,4,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,56,392,0.48820750628198895,0.46065934499104816,3.164114980986624,2.4741720724952747e-05,3.0902996641216856,5,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,57,399,0.5408427034105573,0.467522273461024,3.1293727990352744,2.456135984623034e-05,3.0902996641216856,6,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,58,406,0.3802449655319963,0.47495277722676593,3.100382255785393,2.4378639845035573e-05,3.0902996641216856,7,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,59,413,0.36474538567875114,0.4694608747959137,3.1071735728870737,2.419360580479464e-05,3.0902996641216856,8,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,60,420,0.3981325573154858,0.4479190210501353,3.189551151160038,2.4006303379888255e-05,3.0902996641216856,9,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,61,427,0.3831292755369629,0.44191181659698486,3.1852747599283853,2.3816778784387094e-05,3.0902996641216856,10,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,62,434,0.373549756194864,0.4473603169123332,3.087089769767992,2.3625078780649174e-05,3.087089769767992,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,63,441,0.4045291670731136,0.43792200088500977,3.0687750614050664,2.3431250667781958e-05,3.0687750614050664,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,64,448,0.39760701996939524,0.4329078594843547,3.0550206502278647,2.323534226997197e-05,3.0550206502278647,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,65,455,0.41974096638815744,0.42683396736780804,3.037938204678622,2.303740192468494e-05,3.037938204678622,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,66,462,0.41719920720372883,0.4158616264661153,3.0536140673088306,2.2837478470739224e-05,3.037938204678622,1,False,False
EXP-T073,primary,0,101,2.9999999999999997e-05,67,469,0.3894953855446407,0.41582030057907104,3.0254144379586885,2.2635621236255563e-05,3.0254144379586885,0,True,False
EXP-T073,primary,0,101,2.9999999999999997e-05,68,476,0.37938625095245826,0.43415793776512146,2.966261199026397,2.2431880026486107e-05,2.966261199026397,0,True,False
