scheme,fold,g_H,g_L,best_epoch,selected_initial_lr,lr_at_best_epoch
primary,0,-0.019342124462127686,-0.06278184056282043,14,0.001,0.0009897152912577741
primary,1,0.03028607740998268,-0.07468961924314499,51,0.001,0.000855017856687341
primary,2,-0.02383001521229744,0.056509118527173996,97,0.0001,5.360813071670102e-05
primary,3,0.06535250693559647,-0.06726695597171783,22,0.001,0.0009733122526196349
primary,4,0.07113394141197205,0.08779367059469223,30,0.001,0.0009495236500015047
shadow,0,-0.05227921903133392,-0.048423752188682556,77,0.0001,6.872216535789157e-05
shadow,1,-0.013529808260500431,-0.02986656315624714,48,0.0001,8.711173920144117e-05
shadow,2,-0.031111368909478188,-0.007535465061664581,20,0.001,0.0009781175423251734
shadow,3,0.05658082291483879,-0.05289482697844505,83,0.0001,6.431005974894185e-05
shadow,4,-0.021273735910654068,0.07561223953962326,58,0.001,0.0008144951148861742
