scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.0001,1.0000000000000002e-06,30,210,9.495236500015047e-05,2.643150560783617,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/primary_k0_lr1e-04_seed101.pt,0733bd612917a8b8,101
primary,1,0.01,0.0001,9,54,0.009960967771506667,3.56834365382339,39,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/primary_k1_lr1e-02_seed101.pt,0733bd612917a8b8,101
primary,2,0.0001,1.0000000000000002e-06,24,168,9.680447952607845e-05,3.212921142578125,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/primary_k2_lr1e-04_seed101.pt,0733bd612917a8b8,101
primary,3,0.0001,1.0000000000000002e-06,20,140,9.781175423251735e-05,2.5022854804992676,50,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/primary_k3_lr1e-04_seed101.pt,0733bd612917a8b8,101
primary,4,0.0001,1.0000000000000002e-06,2,14,9.99938933078422e-05,3.351517915725708,32,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/primary_k4_lr1e-04_seed101.pt,0733bd612917a8b8,101
shadow,0,0.001,1e-05,35,245,0.0009310673033669522,2.820763096664891,65,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,0733bd612917a8b8,101
shadow,1,0.0001,1.0000000000000002e-06,18,126,9.824559221366101e-05,3.076674461364746,48,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,0733bd612917a8b8,101
shadow,2,0.001,1e-05,17,119,0.0009844486647586723,2.8664205074310303,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,0733bd612917a8b8,101
shadow,3,0.01,0.0001,16,112,0.0098632311059685,3.5456279407848013,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/shadow_k3_lr1e-02_seed101.pt,0733bd612917a8b8,101
shadow,4,0.0001,1.0000000000000002e-06,26,182,9.623203685930869e-05,2.596600294113159,56,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T323_run/checkpoints/shadow_k4_lr1e-04_seed101.pt,0733bd612917a8b8,101
