experiment_code,scheme,fold,seed,initial_lr,eta_min,epoch,optimizer_step,train_loss,val_loss,val_mae,learning_rate,best_val_mae_so_far,best_epoch_so_far,epochs_since_improvement,is_best,stopped_early,numerical_failure
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,1,7,0.3931271476405008,0.32282324981254834,0.5807509055860115,1e-05,0.5807509055860115,1,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,2,14,0.43440680844443186,0.31770111957909347,0.5721899446429628,9.99938933078422e-06,0.5721899446429628,2,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,3,21,0.4527709015778133,0.31391986830082413,0.5650252727161753,9.997557473810373e-06,0.5650252727161753,3,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,4,28,0.38514180800744463,0.3114082827232778,0.5583139775594075,9.994504881061752e-06,0.5583139775594075,4,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,5,35,0.3967092090419361,0.310317006893456,0.5534076121937144,9.990232305719944e-06,0.5534076121937144,5,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,6,42,0.40036721314702717,0.3099142412344615,0.5499502741495766,9.984740801978984e-06,0.5499502741495766,6,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,7,49,0.39820923150650095,0.3098507433508833,0.5481289296005709,9.978031724785247e-06,0.5481289296005709,7,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,8,56,0.39348274070237366,0.30997544216612977,0.5460128996877958,9.97010672950314e-06,0.5460128996877958,8,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,9,63,0.41007396791662487,0.3099831761792302,0.5458922743363812,9.960967771506666e-06,0.5458922743363812,9,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,10,70,0.38792884030512403,0.31003701128065586,0.5454503763372246,9.950617105696961e-06,0.5454503763372246,10,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,11,77,0.4303661563566753,0.3102151273439328,0.5443446632154059,9.939057285945933e-06,0.5443446632154059,11,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,12,84,0.37872342339583803,0.3105663862079382,0.5427775740189984,9.926291164466131e-06,0.5427775740189984,12,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,13,91,0.521509702716555,0.3108182605355978,0.5418781435417405,9.91232189110701e-06,0.5418781435417405,13,0,True,False,False
EXP-H073,primary,0,101,1e-05,1.0000000000000001e-07,14,98,0.40784009652478354,0.31071167811751366,0.5421877698031337,9.897152912577742e-06,0.5418781435417405,13,1,False,False,False
