scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,27,189,0.0009592885397135706,2.902251503684304,57,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/primary_k0_lr1e-03_seed101.pt,242742585ab8f992,101
primary,1,0.001,1e-05,7,42,0.0009978031724785245,3.5789683948863638,37,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/primary_k1_lr1e-03_seed101.pt,242742585ab8f992,101
primary,2,0.001,1e-05,31,217,0.0009460482294732421,3.4379630088806152,61,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/primary_k2_lr1e-03_seed101.pt,242742585ab8f992,101
primary,3,0.0001,1.0000000000000002e-06,73,511,7.15760749324711e-05,2.7730917930603027,103,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/primary_k3_lr1e-04_seed101.pt,242742585ab8f992,101
primary,4,0.001,1e-05,34,238,0.0009349725996469047,2.698331117630005,64,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/primary_k4_lr1e-03_seed101.pt,242742585ab8f992,101
shadow,0,0.0001,1.0000000000000002e-06,75,525,7.015882058642164e-05,2.7129306215228457,105,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,242742585ab8f992,101
shadow,1,0.001,1e-05,28,196,0.0009561446219345453,3.1567983627319336,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,242742585ab8f992,101
shadow,2,0.001,1e-05,51,357,0.000855017856687341,3.0081206560134888,81,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,242742585ab8f992,101
shadow,3,0.0001,1.0000000000000002e-06,48,336,8.711173920144117e-05,3.5241863366329307,78,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/shadow_k3_lr1e-04_seed101.pt,242742585ab8f992,101
shadow,4,0.001,1e-05,21,147,0.0009757729755661011,3.009448766708374,51,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T277_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,242742585ab8f992,101
