scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.0001,1.0000000000000002e-06,16,112,9.8632311059685e-05,2.776597918886127,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/primary_k0_lr1e-04_seed101.pt,242742585ab8f992,101
primary,1,0.01,0.0001,17,102,0.009844486647586723,3.5522911765358667,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/primary_k1_lr1e-02_seed101.pt,242742585ab8f992,101
primary,2,0.001,1e-05,8,56,0.000997010672950314,3.242305040359497,38,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/primary_k2_lr1e-03_seed101.pt,242742585ab8f992,101
primary,3,0.0001,1.0000000000000002e-06,16,112,9.8632311059685e-05,2.599815845489502,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/primary_k3_lr1e-04_seed101.pt,242742585ab8f992,101
primary,4,0.001,1e-05,23,161,0.0009707359806323416,2.985743761062622,53,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/primary_k4_lr1e-03_seed101.pt,242742585ab8f992,101
shadow,0,0.0001,1.0000000000000002e-06,14,98,9.897152912577741e-05,2.889053113532789,44,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,242742585ab8f992,101
shadow,1,0.0001,1.0000000000000002e-06,13,91,9.91232189110701e-05,3.189467430114746,43,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,242742585ab8f992,101
shadow,2,0.001,1e-05,38,266,0.0009187246438772938,2.9215203523635864,68,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,242742585ab8f992,101
shadow,3,0.001,1e-05,7,49,0.0009978031724785245,3.465443466648911,37,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,242742585ab8f992,101
shadow,4,0.001,1e-05,28,196,0.0009561446219345453,2.6598788499832153,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T314_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,242742585ab8f992,101
