scheme,fold,seed,initial_lr,epoch,optimizer_step,learning_rate,train_loss,val_mae
primary,0,101,1e-05,1,7,1e-05,0.37574976423223105,0.5446834275216768
primary,0,101,1e-05,2,14,9.99938933078422e-06,0.3988255975501878,0.5444963628595526
primary,0,101,1e-05,3,21,9.997557473810373e-06,0.4061214668410165,0.5434256466952238
primary,0,101,1e-05,4,28,9.994504881061752e-06,0.38963658109852467,0.5422584071303859
primary,0,101,1e-05,5,35,9.990232305719944e-06,0.4050693331020219,0.5420244101322058
primary,0,101,1e-05,6,42,9.984740801978984e-06,0.4130745700427464,0.5418646552345969
primary,0,101,1e-05,7,49,9.978031724785247e-06,0.37276708361293587,0.5424629558216442
primary,0,101,1e-05,8,56,9.97010672950314e-06,0.38896113846983227,0.5423856793027936
primary,0,101,1e-05,9,63,9.960967771506666e-06,0.386594507843256,0.5433282563180635
primary,0,101,1e-05,10,70,9.950617105696961e-06,0.38968953490257263,0.5433269558530865
primary,0,101,1e-05,11,77,9.939057285945933e-06,0.4748641976288387,0.5419864365548799
primary,0,101,1e-05,12,84,9.926291164466131e-06,0.37741854707045214,0.5399062416770242
primary,0,101,1e-05,13,91,9.91232189110701e-06,0.49950945377349854,0.5387741146665631
primary,0,101,1e-05,14,98,9.897152912577742e-06,0.3952118882111141,0.5391282746286103
primary,0,101,1e-05,15,105,9.8807879715968e-06,0.4157289117574692,0.5381326386422822
primary,0,101,1e-05,16,112,9.8632311059685e-06,0.3770827434823981,0.5380629915179629
primary,0,101,1e-05,17,119,9.844486647586724e-06,0.5888466153826032,0.5377490592725349
primary,0,101,1e-05,18,126,9.824559221366101e-06,0.37712734937667847,0.5375137618093779
primary,0,101,1e-05,19,133,9.803453744100868e-06,0.4673652308327811,0.5371370315551758
primary,0,101,1e-05,20,140,9.781175423251734e-06,0.7811171667916434,0.5384726090864702
primary,0,101,1e-05,21,147,9.757729755661012e-06,0.3707912413602961,0.5396516973322089
primary,0,101,1e-05,22,154,9.73312252619635e-06,0.5674714956964765,0.5400027361783114
primary,0,101,1e-05,23,161,9.707359806323418e-06,0.37629805016331375,0.5402467612064246
primary,0,101,1e-05,24,168,9.680447952607845e-06,0.41860716683523996,0.5409224250099876
primary,0,101,1e-05,25,175,9.652393605146845e-06,0.41618103214672636,0.5416495872266365
primary,0,101,1e-05,26,182,9.62320368593087e-06,0.3947007954120636,0.5401377822413589
primary,0,101,1e-05,27,189,9.592885397135707e-06,0.41828620646681103,0.5386387507120768
primary,0,101,1e-05,28,196,9.561446219345455e-06,0.375451112864539,0.5384532466079249
primary,0,101,1e-05,29,203,9.528893909706798e-06,0.4403889264379229,0.5387693751942028
primary,0,101,1e-05,30,210,9.495236500015048e-06,0.40124799736908506,0.537963375900731
primary,0,101,1e-05,31,217,9.460482294732422e-06,0.38626032638213864,0.5376074530861594
primary,0,101,1e-05,32,224,9.424639868939035e-06,0.3842038150344576,0.5374304164539684
primary,0,101,1e-05,33,231,9.387718066217125e-06,0.5014838065419879,0.5375812992905126
primary,0,101,1e-05,34,238,9.349725996469047e-06,0.4158283280474799,0.53834478782885
primary,0,101,1e-05,35,245,9.310673033669522e-06,0.39177414029836655,0.5373162645282168
primary,0,101,1e-05,36,252,9.270568813552757e-06,0.390091849224908,0.5376866947520863
primary,0,101,1e-05,37,259,9.229423231234975e-06,0.37024330820090007,0.5377279917399088
primary,0,101,1e-05,38,266,9.18724643877294e-06,0.4005709992987769,0.5375941305449514
primary,0,101,1e-05,39,273,9.144048842659081e-06,0.38975673062460764,0.5365704334143436
primary,0,101,1e-05,40,280,9.099841101253867e-06,0.37428025315914837,0.5360805916063713
primary,0,101,1e-05,41,287,9.054634122155991e-06,0.3861275554767677,0.5354875217784535
primary,0,101,1e-05,42,294,9.0084390595111e-06,0.4557916820049286,0.5352206952644117
primary,0,101,1e-05,43,301,8.961267311259668e-06,0.40814286044665743,0.5357303041400332
primary,0,101,1e-05,44,308,8.913130516324733e-06,0.6145098145518985,0.5358616222034801
primary,0,101,1e-05,45,315,8.864040551740158e-06,0.41273680542196545,0.5362527731693152
primary,0,101,1e-05,46,322,8.814009529720155e-06,0.3670913363208196,0.536402500036991
primary,0,101,1e-05,47,329,8.763049794670776e-06,0.37765446385102613,0.5367824092055812
primary,0,101,1e-05,48,336,8.711173920144118e-06,0.4429003383432116,0.5377320954293916
primary,0,101,1e-05,49,343,8.658394705735988e-06,0.39656470928873333,0.5386323061856356
primary,0,101,1e-05,50,350,8.604725173927786e-06,0.3707740532034742,0.538053830464681
primary,0,101,1e-05,51,357,8.550178566873412e-06,0.36734539846293046,0.5372252030806108
primary,0,101,1e-05,52,364,8.494768343131955e-06,0.37756509453590426,0.5359766411058831
primary,0,101,1e-05,53,371,8.43850817434701e-06,0.38758016909871784,0.5349295934041342
primary,0,101,1e-05,54,378,8.381411941873379e-06,0.372839393094182,0.5348494558623342
primary,0,101,1e-05,55,385,8.323493733352078e-06,0.5990486570766994,0.5345569668394147
primary,0,101,1e-05,56,392,8.26476783923441e-06,0.3837481971297945,0.5350896372939601
primary,0,101,1e-05,57,399,8.205248749256014e-06,0.3595003302076033,0.5353549899476947
primary,0,101,1e-05,58,406,8.144951148861743e-06,0.3805763016321829,0.5357517473625414
primary,0,101,1e-05,59,413,8.083889915582235e-06,0.6446189028876168,0.535537372935902
primary,0,101,1e-05,60,420,8.022080115363127e-06,0.38345241653067724,0.5356620152791342
primary,0,101,1e-05,61,427,7.959536998847744e-06,0.5814354377133506,0.5345862128517844
primary,0,101,1e-05,62,434,7.89627599761423e-06,0.3853939101099968,0.5348871693466649
primary,0,101,1e-05,63,441,7.832312720368048e-06,0.36402101918689106,0.5343355410026781
primary,0,101,1e-05,64,448,7.767662949090754e-06,0.37673924437591005,0.5342282092932499
primary,0,101,1e-05,65,455,7.702342635146033e-06,0.381901635655335,0.5346720724394827
primary,0,101,1e-05,66,462,7.636367895343947e-06,0.37672076906476704,0.534278002652255
primary,0,101,1e-05,67,469,7.5697550079643376e-06,0.5344095826148987,0.5340937701138583
primary,0,101,1e-05,68,476,7.502520408740418e-06,0.3919803180864879,0.5340590621485855
primary,0,101,1e-05,69,483,7.43468068680349e-06,0.9149693548679352,0.5340312899965228
primary,0,101,1e-05,70,490,7.366252580589839e-06,0.3980717062950134,0.534537344267874
primary,0,101,1e-05,71,497,7.297252973710756e-06,0.4001582307474954,0.5349447943947532
primary,0,101,1e-05,72,504,7.227698890786779e-06,0.3668606329177107,0.5360439762924657
primary,0,101,1e-05,73,511,7.15760749324711e-06,0.3730799247111593,0.5368764183738015
primary,0,101,1e-05,74,518,7.086996075095289e-06,0.38337475274290356,0.5360433983080315
primary,0,101,1e-05,75,525,7.015882058642164e-06,0.3978279765163149,0.5352028933438387
primary,0,101,1e-05,76,532,6.9442829902071945e-06,0.36956612952053547,0.5349672490900214
primary,0,101,1e-05,77,539,6.8722165357891564e-06,0.5801175151552472,0.5344305327444365
primary,0,101,1e-05,78,546,6.799700476707323e-06,0.3877934345177242,0.5344922325827859
primary,0,101,1e-05,79,553,6.726752705214193e-06,0.4201206181730543,0.5344705870657256
primary,0,101,1e-05,80,560,6.65339122008084e-06,0.36859468477112906,0.5345295992764559
primary,0,101,1e-05,81,567,6.57963412215599e-06,0.3703115912420409,0.5349243626450048
primary,0,101,1e-05,82,574,6.505499609899905e-06,0.4396697623389108,0.5345083872477213
primary,0,101,1e-05,83,581,6.431005974894185e-06,0.36498371618134634,0.5344641136400627
primary,0,101,1e-05,84,588,6.356171597328595e-06,0.4065901445490973,0.5340236606019916
primary,0,101,1e-05,85,595,6.28101494146603e-06,0.4137036140475954,0.5339317610769561
primary,0,101,1e-05,86,602,6.205554551086732e-06,0.3681973894791944,0.533692995707194
primary,0,101,1e-05,87,609,6.129809044912887e-06,0.4594611738409315,0.5336817828091708
primary,0,101,1e-05,88,616,6.053797112014738e-06,0.3703259713947773,0.5337372693148527
primary,0,101,1e-05,89,623,5.977537507199338e-06,0.3688790598618133,0.534058513063373
primary,0,101,1e-05,90,630,5.901049046383077e-06,0.36774868092366625,0.5341312235051935
primary,0,101,1e-05,91,637,5.824350601949143e-06,0.3814738094806671,0.5337775259306936
primary,0,101,1e-05,92,644,5.7474610980910354e-06,0.3701764776903604,0.5334039745908795
primary,0,101,1e-05,93,651,5.6703995061433075e-06,0.3768087109284742,0.5332702000935873
primary,0,101,1e-05,94,658,5.5931848399006745e-06,0.6430514795439584,0.5328761303063595
primary,0,101,1e-05,95,665,5.515836150926646e-06,0.3585589662460344,0.5328148061578925
primary,0,101,1e-05,96,672,5.438372523852833e-06,0.36912508255669046,0.532739292491566
primary,0,101,1e-05,97,679,5.360813071670101e-06,0.7984242290258408,0.5319983164469401
primary,0,101,1e-05,98,686,5.283176931012731e-06,0.38191798648663927,0.5318745699795809
primary,0,101,1e-05,99,693,5.205483257436735e-06,0.7956816681793758,0.5317628744876746
primary,0,101,1e-05,100,700,5.127751220693512e-06,0.3878251186438969,0.5318555542916963
primary,0,101,1e-05,101,707,5.05e-06,0.3633907296295677,0.5321094339544122
primary,0,101,1e-05,102,714,4.972248779306488e-06,0.37611046539885656,0.5317959929957534
primary,0,101,1e-05,103,721,4.8945167425632645e-06,0.3759331628680229,0.5317323858087714
primary,0,101,1e-05,104,728,4.816823068987269e-06,0.37300688347646166,0.5320118701819218
primary,0,101,1e-05,105,735,4.7391869283298985e-06,0.36178203791080576,0.5323211785518762
primary,0,101,1e-05,106,742,4.661627476147168e-06,0.36645234163318363,0.5323299928144976
primary,0,101,1e-05,107,749,4.584163849073354e-06,0.37650720509035246,0.5325212189645478
primary,0,101,1e-05,108,756,4.506815160099326e-06,0.7482145939554486,0.5324736508456144
primary,0,101,1e-05,109,763,4.429600493856694e-06,0.3687681204506329,0.532885117964311
primary,0,101,1e-05,110,770,4.352538901908967e-06,0.37048984159316334,0.5327227910359701
primary,0,101,1e-05,111,777,4.275649398050858e-06,0.3627559140856777,0.5326148524428859
primary,0,101,1e-05,112,784,4.198950953616922e-06,0.3698705551879747,0.5323875311649207
primary,0,101,1e-05,113,791,4.122462492800663e-06,0.36034326974394,0.5323876178625858
primary,0,101,1e-05,114,798,4.046202887985263e-06,0.3715445511043072,0.5321751796838009
primary,0,101,1e-05,115,805,3.970190955087116e-06,0.37552979801382336,0.5321473208340731
primary,0,101,1e-05,116,812,3.894445448913268e-06,0.3679883549255984,0.5317264614683209
primary,0,101,1e-05,117,819,3.818985058533969e-06,0.3604853946183409,0.5316073099772135
primary,0,101,1e-05,118,826,3.7438284026714044e-06,0.36499992491943495,0.531269189083215
primary,0,101,1e-05,119,833,3.6689940251058153e-06,0.372155866718718,0.5308988744562323
primary,0,101,1e-05,120,840,3.594500390100096e-06,0.3686875855284078,0.5306164134632457
primary,0,101,1e-05,121,847,3.5203658778440116e-06,0.8343789620058877,0.5308059345592152
primary,0,101,1e-05,122,854,3.4466087799191603e-06,0.37182275112718344,0.5309711225105055
primary,0,101,1e-05,123,861,3.3732472947858077e-06,0.3685692697763443,0.5311243461840081
primary,0,101,1e-05,124,868,3.300299523292678e-06,0.36876664869487286,0.5315143700801965
primary,0,101,1e-05,125,875,3.227783464210845e-06,0.7247553957360131,0.5315398013953007
primary,0,101,1e-05,126,882,3.155717009792807e-06,0.4410356198038374,0.5318419716574929
primary,0,101,1e-05,127,889,3.0841179413578354e-06,0.3823371157050133,0.5320163784605084
primary,0,101,1e-05,128,896,3.0130039249047117e-06,0.40602921162332806,0.5322384978785659
primary,0,101,1e-05,129,903,2.9423925067528904e-06,0.3853613223348345,0.5323619264544863
primary,0,101,1e-05,130,910,2.87230110921322e-06,0.38231744297913145,0.5324457919958866
primary,0,101,1e-05,131,917,2.8027470262892435e-06,0.3901892197983606,0.532224481756037
primary,0,101,1e-05,132,924,2.7337474194101625e-06,0.8030738468681063,0.5321230454878374
primary,0,101,1e-05,133,931,2.6653193131965085e-06,0.35885938203760553,0.5321737636219371
primary,0,101,1e-05,134,938,2.5974795912595824e-06,0.3896939584187099,0.5319888375022195
primary,0,101,1e-05,135,945,2.530244992035662e-06,0.3695577989731516,0.5322555773185961
primary,0,101,1e-05,136,952,2.4636321046560533e-06,0.35837853242576656,0.5321913343487363
primary,0,101,1e-05,137,959,2.3976573648539653e-06,0.36663633664803846,0.5321211670384263
primary,0,101,1e-05,138,966,2.332337050909247e-06,0.3747494284595762,0.53201741883249
primary,0,101,1e-05,139,973,2.267687279631953e-06,0.38801478488104685,0.531854282725941
primary,0,101,1e-05,140,980,2.2037240023857708e-06,0.3633243176820023,0.5317847800977302
primary,0,101,1e-05,141,987,2.1404630011522584e-06,0.3694271039317495,0.5316443009810015
primary,0,101,1e-05,142,994,2.0779198846368745e-06,0.3792808534843581,0.5316074833725438
primary,0,101,1e-05,143,1001,2.0161100844177658e-06,0.3845597952604294,0.5315929181648024
primary,0,101,1e-05,144,1008,1.9550488511382593e-06,0.4232007584401539,0.5315376917521158
primary,0,101,1e-05,145,1015,1.894751250743986e-06,0.4176703191229275,0.5313667239564838
primary,0,101,1e-05,146,1022,1.8352321607655916e-06,0.37398306280374527,0.5314541441021543
primary,0,101,1e-05,147,1029,1.7765062666479242e-06,0.3582587369850704,0.5315184737696792
primary,0,101,1e-05,148,1036,1.7185880581266217e-06,0.36649096703955103,0.5316725355206113
primary,0,101,1e-05,149,1043,1.6614918256529908e-06,0.3673112414378141,0.5316863493485884
primary,0,101,1e-05,150,1050,1.6052316568680442e-06,0.37159481790981125,0.5317570368448893
primary,0,101,0.0001,1,7,0.0001,0.39895221271685194,0.5354455601085316
primary,0,101,0.0001,2,14,9.99938933078422e-05,0.39847998108182636,0.5341474648677942
primary,0,101,0.0001,3,21,9.997557473810373e-05,0.3889453187584877,0.534514484983502
primary,0,101,0.0001,4,28,9.994504881061753e-05,0.38921797807727543,0.5320243546457002
primary,0,101,0.0001,5,35,9.990232305719945e-05,0.3976128580314772,0.53394687536991
primary,0,101,0.0001,6,42,9.984740801978984e-05,0.43620132548468454,0.5347546375159061
primary,0,101,0.0001,7,49,9.978031724785247e-05,0.39502706272261484,0.5377561395818536
primary,0,101,0.0001,8,56,9.97010672950314e-05,0.3633785344926374,0.5301673484571052
primary,0,101,0.0001,9,63,9.960967771506667e-05,0.38010680249759127,0.5366463227705522
primary,0,101,0.0001,10,70,9.95061710569696e-05,0.36672092721398386,0.5369580297759085
primary,0,101,0.0001,11,77,9.939057285945933e-05,0.39176895788737703,0.5280140963467684
primary,0,101,0.0001,12,84,9.926291164466132e-05,0.36079819147042663,0.5260664044004498
primary,0,101,0.0001,13,91,9.91232189110701e-05,0.4871738404035568,0.5290163213556464
primary,0,101,0.0001,14,98,9.897152912577741e-05,0.3585802135722978,0.5353505972659949
primary,0,101,0.0001,15,105,9.8807879715968e-05,0.3902896387236459,0.5266432039665453
primary,0,101,0.0001,16,112,9.8632311059685e-05,0.3450157838607473,0.5274964245882902
primary,0,101,0.0001,17,119,9.844486647586725e-05,0.5318856452192579,0.5295081572099165
primary,0,101,0.0001,18,126,9.824559221366101e-05,0.3400298533961177,0.5275019732388583
primary,0,101,0.0001,19,133,9.803453744100869e-05,0.37533718773296904,0.5301524364587032
