scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,2,14,0.000999938933078422,0.5294687379779237,32,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/primary_k0_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
primary,1,0.001,1e-05,4,24,0.0009994504881061753,0.5308663602886778,34,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/primary_k1_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
primary,2,0.001,1e-05,55,385,0.0008323493733352077,0.3455685954093932,85,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/primary_k2_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
primary,3,0.001,1e-05,28,196,0.0009561446219345453,0.47731778049468987,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/primary_k3_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
primary,4,0.001,1e-05,16,112,0.00098632311059685,0.4570470802783967,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/primary_k4_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
shadow,0,0.001,1e-05,32,224,0.0009424639868939033,0.4282398177638198,62,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
shadow,1,0.001,1e-05,60,420,0.0008022080115363127,0.4582860627174377,90,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
shadow,2,0.001,1e-05,47,329,0.0008763049794670775,0.4905331983566284,77,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
shadow,3,0.001,1e-05,24,168,0.0009680447952607845,0.4880774089928829,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
shadow,4,0.001,1e-05,70,490,0.0007366252580589839,0.427149000644684,100,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H183_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,2d5cec2ac672a91a,101
