scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.0001,1.0000000000000002e-06,37,259,9.229423231234974e-05,2.7058577104048296,67,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/primary_k0_lr1e-04_seed101.pt,1e0cea8ee76ae170,101
primary,1,0.001,1e-05,5,30,0.0009990232305719944,3.325410091515743,35,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/primary_k1_lr1e-03_seed101.pt,1e0cea8ee76ae170,101
primary,2,0.001,1e-05,28,196,0.0009561446219345453,3.0723700523376465,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/primary_k2_lr1e-03_seed101.pt,1e0cea8ee76ae170,101
primary,3,0.0001,1.0000000000000002e-06,19,133,9.803453744100869e-05,2.567115545272827,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/primary_k3_lr1e-04_seed101.pt,1e0cea8ee76ae170,101
primary,4,0.0001,1.0000000000000002e-06,41,287,9.05463412215599e-05,3.15864360332489,71,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/primary_k4_lr1e-04_seed101.pt,1e0cea8ee76ae170,101
shadow,0,0.001,1e-05,12,84,0.000992629116446613,2.6547095558860083,42,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,1e0cea8ee76ae170,101
shadow,1,0.0001,1.0000000000000002e-06,21,147,9.757729755661011e-05,3.3361425399780273,51,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,1e0cea8ee76ae170,101
shadow,2,0.001,1e-05,22,154,0.0009733122526196349,3.2355458736419678,52,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,1e0cea8ee76ae170,101
shadow,3,0.001,1e-05,7,49,0.0009978031724785245,3.3071037061286694,37,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,1e0cea8ee76ae170,101
shadow,4,0.001,1e-05,6,42,0.0009984740801978985,2.9920101165771484,36,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T078_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,1e0cea8ee76ae170,101
