code,base_arch,d_model,layers,heads,FFN,params,TEST_P,TEST_S,TEST_mean,TEST_worst,Public,Private,Overall
EXP-T113,ARCH-3,128,2,4,256,,2.9950552575382186,3.2830708586139443,3.1390630580760814,3.2830708586139443,3.105441821063006,2.999122327639732,3.052282074351369
EXP-T121,ARCH-7,128,2,4,256,,3.0232212867265864,3.252085108815888,3.137653197771237,3.252085108815888,3.247434488932292,3.1936370378659102,3.220535763399101
EXP-T124,ARCH-3,128,3,4,256,515329,3.0575134607008945,3.3956371118992936,3.2265752863000943,3.3956371118992936,3.109783662395713,3.116225357997565,3.113004510196639
EXP-T125,ARCH-3,256,2,8,512,1322753,3.15643623728811,3.23955276866018,3.197994502974145,3.23955276866018,3.2546851169915856,3.060332102834443,3.1575086099130143
EXP-T126,ARCH-3,256,3,8,512,1849857,3.192165986991223,3.2897105040373624,3.2409382455142928,3.2897105040373624,3.1762648970992475,3.05673383547936,3.116499366289304
EXP-T127,ARCH-7,128,3,4,256,581377,3.088427390581296,3.3485706470630787,3.2184990188221874,3.3485706470630787,3.2676548428005643,3.1364733189712344,3.2020640808859
EXP-T128,ARCH-7,256,2,8,512,1585921,3.1443974059305075,3.209845107278706,3.1771212566046065,3.209845107278706,3.1931423516921056,3.0879307688018423,3.1405365602469737
EXP-T129,ARCH-7,256,3,8,512,2113025,3.159761311095438,3.2794667703134044,3.219614040704421,3.2794667703134044,3.250603899543668,3.0913213847595964,3.170962642151632
