delta_mae,ci95_lo,ci95_hi,n,contrast,name,scheme,split,model_a,model_b,sign
0.005161261852876639,-0.21658275686664347,0.2460448017826785,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-6,mean_vs_concat,primary,val,EXP-T085,EXP-T084,delta=MAE_a-MAE_b; negative => a better
0.08050358148268712,-0.11546764903598361,0.2741692613672326,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-6,mean_vs_concat,shadow,test,EXP-T085,EXP-T084,delta=MAE_a-MAE_b; negative => a better
-0.030909220377604168,-0.23563611183637453,0.17413409786459838,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-6,mean_vs_concat,shadow,val,EXP-T085,EXP-T084,delta=MAE_a-MAE_b; negative => a better
-0.13814320976351518,-0.33408259109214505,0.055131505448140924,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-7,mean_vs_concat,primary,test,EXP-T087,EXP-T086,delta=MAE_a-MAE_b; negative => a better
0.05319279800226659,-0.15363603285801264,0.2778358942196691,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-7,mean_vs_concat,primary,val,EXP-T087,EXP-T086,delta=MAE_a-MAE_b; negative => a better
-0.06167100977014617,-0.3164674252639583,0.18703994986451702,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-7,mean_vs_concat,shadow,test,EXP-T087,EXP-T086,delta=MAE_a-MAE_b; negative => a better
-0.04754549191321856,-0.26443905300564235,0.18729622452347366,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-7,mean_vs_concat,shadow,val,EXP-T087,EXP-T086,delta=MAE_a-MAE_b; negative => a better
-0.11250966860924233,-0.3603463938206802,0.12469330540409777,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-8,mean_vs_concat,primary,test,EXP-T089,EXP-T088,delta=MAE_a-MAE_b; negative => a better
0.09273988229257094,-0.12246746663694015,0.2984529477578622,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-8,mean_vs_concat,primary,val,EXP-T089,EXP-T088,delta=MAE_a-MAE_b; negative => a better
-0.07183447001892844,-0.258556189360442,0.1200186788299937,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-8,mean_vs_concat,shadow,test,EXP-T089,EXP-T088,delta=MAE_a-MAE_b; negative => a better
-0.0867558467535325,-0.2935341422940478,0.10951027222621583,162,MEAN_vs_CONCAT_ABLINGUA_ARCH-8,mean_vs_concat,shadow,val,EXP-T089,EXP-T088,delta=MAE_a-MAE_b; negative => a better
-0.05613706141342356,-0.33892986391797475,0.24464886394547802,162,MEAN_vs_CONCAT_SCRATCH_ARCH-1,mean_vs_concat,primary,test,EXP-T091,EXP-T090,delta=MAE_a-MAE_b; negative => a better
0.07645543416341145,-0.18916742889969435,0.32662709083086156,162,MEAN_vs_CONCAT_SCRATCH_ARCH-1,mean_vs_concat,primary,val,EXP-T091,EXP-T090,delta=MAE_a-MAE_b; negative => a better
-0.07968464604130497,-0.36296331028879425,0.19730842731617115,162,MEAN_vs_CONCAT_SCRATCH_ARCH-1,mean_vs_concat,shadow,test,EXP-T091,EXP-T090,delta=MAE_a-MAE_b; negative => a better
0.01899375444577064,-0.262568512669316,0.27409116721447563,162,MEAN_vs_CONCAT_SCRATCH_ARCH-1,mean_vs_concat,shadow,val,EXP-T091,EXP-T090,delta=MAE_a-MAE_b; negative => a better
-0.14411827369972507,-0.42763733687224204,0.1485908131540557,162,MEAN_vs_CONCAT_SCRATCH_ARCH-3,mean_vs_concat,primary,test,EXP-T094,EXP-T093,delta=MAE_a-MAE_b; negative => a better
0.10031245667257427,-0.15314270537576558,0.3716103812794626,162,MEAN_vs_CONCAT_SCRATCH_ARCH-3,mean_vs_concat,primary,val,EXP-T094,EXP-T093,delta=MAE_a-MAE_b; negative => a better
0.09956722494996624,-0.11936173262419524,0.3203324282610851,162,MEAN_vs_CONCAT_SCRATCH_ARCH-3,mean_vs_concat,shadow,test,EXP-T094,EXP-T093,delta=MAE_a-MAE_b; negative => a better
-0.023200612009307484,-0.2810061572510519,0.222024447829635,162,MEAN_vs_CONCAT_SCRATCH_ARCH-3,mean_vs_concat,shadow,val,EXP-T094,EXP-T093,delta=MAE_a-MAE_b; negative => a better
-0.05601977124626254,-0.29002532605771664,0.18227258022920567,162,MEAN_vs_CONCAT_SCRATCH_ARCH-4,mean_vs_concat,primary,test,EXP-T096,EXP-T095,delta=MAE_a-MAE_b; negative => a better
0.07848956261152103,-0.15160851890658156,0.304901533950994,162,MEAN_vs_CONCAT_SCRATCH_ARCH-4,mean_vs_concat,primary,val,EXP-T096,EXP-T095,delta=MAE_a-MAE_b; negative => a better
-0.23206809714988427,-0.43337426597689405,-0.03979059384192972,162,MEAN_vs_CONCAT_SCRATCH_ARCH-4,mean_vs_concat,shadow,test,EXP-T096,EXP-T095,delta=MAE_a-MAE_b; negative => a better
-0.0045872911994839895,-0.23984237953468604,0.23059895951070877,162,MEAN_vs_CONCAT_SCRATCH_ARCH-4,mean_vs_concat,shadow,val,EXP-T096,EXP-T095,delta=MAE_a-MAE_b; negative => a better
-0.1698389877507716,-0.444214794959551,0.099063837969744,162,MEAN_vs_CONCAT_SCRATCH_ARCH-5,mean_vs_concat,primary,test,EXP-T098,EXP-T097,delta=MAE_a-MAE_b; negative => a better
0.11753082275390625,-0.1402428756525487,0.3712928677782598,162,MEAN_vs_CONCAT_SCRATCH_ARCH-5,mean_vs_concat,primary,val,EXP-T098,EXP-T097,delta=MAE_a-MAE_b; negative => a better
0.04186342969352812,-0.1709089361591104,0.26103188844374625,162,MEAN_vs_CONCAT_SCRATCH_ARCH-5,mean_vs_concat,shadow,test,EXP-T098,EXP-T097,delta=MAE_a-MAE_b; negative => a better
0.055210914140866124,-0.14930929490077643,0.2391474146901823,162,MEAN_vs_CONCAT_SCRATCH_ARCH-5,mean_vs_concat,shadow,val,EXP-T098,EXP-T097,delta=MAE_a-MAE_b; negative => a better
-0.05715951801818094,-0.32320310569103855,0.20134997544465164,162,MEAN_vs_CONCAT_SCRATCH_ARCH-6,mean_vs_concat,primary,test,EXP-T100,EXP-T099,delta=MAE_a-MAE_b; negative => a better
-0.03848318406093268,-0.2612590330618399,0.19444362734570914,162,MEAN_vs_CONCAT_SCRATCH_ARCH-6,mean_vs_concat,primary,val,EXP-T100,EXP-T099,delta=MAE_a-MAE_b; negative => a better
0.26637875592267074,-0.009258988462848427,0.5526810080916792,162,MEAN_vs_CONCAT_SCRATCH_ARCH-6,mean_vs_concat,shadow,test,EXP-T100,EXP-T099,delta=MAE_a-MAE_b; negative => a better
-0.04125338424870997,-0.31737131895842374,0.23213854248141041,162,MEAN_vs_CONCAT_SCRATCH_ARCH-6,mean_vs_concat,shadow,val,EXP-T100,EXP-T099,delta=MAE_a-MAE_b; negative => a better
0.08476035977587287,-0.15763347413804796,0.3236069891187879,162,MEAN_vs_CONCAT_SCRATCH_ARCH-7,mean_vs_concat,primary,test,EXP-T102,EXP-T101,delta=MAE_a-MAE_b; negative => a better
0.019909540812174522,-0.19562753159322854,0.23890394870145812,162,MEAN_vs_CONCAT_SCRATCH_ARCH-7,mean_vs_concat,primary,val,EXP-T102,EXP-T101,delta=MAE_a-MAE_b; negative => a better
-0.06261340482735339,-0.30723227512689283,0.1835545033584404,162,MEAN_vs_CONCAT_SCRATCH_ARCH-7,mean_vs_concat,shadow,test,EXP-T102,EXP-T101,delta=MAE_a-MAE_b; negative => a better
