scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,24,168,0.0009680447952607845,2.6923085992986504,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/primary_k0_lr1e-03_seed101.pt,5618b48dc1c06a31,101
primary,1,0.001,1e-05,28,168,0.0009561446219345453,3.4881490071614585,58,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/primary_k1_lr1e-03_seed101.pt,5618b48dc1c06a31,101
primary,2,0.001,1e-05,16,112,0.00098632311059685,2.968036651611328,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/primary_k2_lr1e-03_seed101.pt,5618b48dc1c06a31,101
primary,3,0.0001,1.0000000000000002e-06,24,168,9.680447952607845e-05,2.624696731567383,54,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/primary_k3_lr1e-04_seed101.pt,5618b48dc1c06a31,101
primary,4,0.0001,1.0000000000000002e-06,10,70,9.95061710569696e-05,3.3314971923828125,40,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/primary_k4_lr1e-04_seed101.pt,5618b48dc1c06a31,101
shadow,0,0.001,1e-05,17,119,0.0009844486647586723,2.7593827681107954,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,1,0.001,1e-05,16,112,0.00098632311059685,3.289022445678711,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,2,0.001,1e-05,32,224,0.0009424639868939033,2.9952269792556763,62,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,3,0.001,1e-05,30,210,0.0009495236500015047,3.40640605579723,60,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,4,0.001,1e-05,32,224,0.0009424639868939033,3.00872802734375,62,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T182_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,5618b48dc1c06a31,101
