target,code,representation,architecture,merge,geometry,params,VAL_P,VAL_S,TEST_P,TEST_S,TEST_mean,TEST_worst,Public,Private,Overall
TmApp,EXP-T075,,,concat,False,501633,2.9722461935914595,3.1202480645827304,3.5121436413423517,3.2919499903549383,3.402046815848645,3.5121436413423517,3.478784688313802,3.2874020988558543,3.383093393584828
TmApp,EXP-T076,,,concat,False,485121,2.987128457905334,3.012171827716592,3.2431085374620228,3.4057385950912664,3.3244235662766446,3.4057385950912664,3.522669709758994,3.1587429658866224,3.340706337822808
TmApp,EXP-T077,,,concat,False,501633,2.9868352442611883,3.0241819782021606,3.3727822009428046,3.3694478729624806,3.3711150369526424,3.3727822009428046,3.4870225317684227,3.285887711136429,3.3864551214524257
TmApp,EXP-T078,,,concat,False,501633,2.9664936536624107,3.1035690778567466,3.425690003383307,3.359061912254051,3.392375957818679,3.425690003383307,3.457031918749397,3.241629348566503,3.3493306336579507
TmApp,EXP-T079,,,concat,False,567683,2.9142766410921825,3.004834210431134,3.236323227117091,3.2670682271321616,3.251695727124626,3.2670682271321616,3.5363635027850107,3.328504067880136,3.4324337853325733
TmApp,EXP-T080,ABLINGUA,ARCH-1,mean,False,485249,3.0160808798707563,3.035996566584081,3.2602498089825667,3.3066721786687405,3.2834609938256536,3.3066721786687405,3.5794110521858133,3.332932761863426,3.4561719070246197
TmApp,EXP-T081,ABLINGUA,ARCH-3,mean,False,485249,2.9896052325213396,2.9604737552595726,3.4313683686433016,3.479818603138865,3.4555934858910833,3.479818603138865,3.514498223198785,3.2373442379044906,3.3759212305516377
TmApp,EXP-T082,ABLINGUA,ARCH-4,mean,False,485249,3.0210310382607544,3.0081045127209323,3.2432478445547597,3.36413852079415,3.303693182674455,3.36413852079415,3.499388094301577,3.29397130895544,3.3966797016285084
TmApp,EXP-T083,ABLINGUA,ARCH-5,mean,False,551299,3.023215658870744,3.06092259913315,3.382470448811849,3.2330845491385753,3.307777498975212,3.382470448811849,3.546098497178821,3.3219960813169123,3.4340472892478666
TmApp,EXP-T084,ABLINGUA,ARCH-6,concat,False,567681,2.9768850302990573,3.078463990011333,3.322090455043463,3.264489162115403,3.2932898085794333,3.322090455043463,3.528008128978588,3.241633690728081,3.3848209098533353
