target,code,representation,architecture,merge,geometry,params,VAL_P,VAL_S,TEST_P,TEST_S,TEST_mean,TEST_worst,Public,Private,Overall
HIC,EXP-H054,ESM2,ARCH-H0,h_only,False,485249,0.4519823499608923,0.43843495997676146,0.502150705361072,0.5129733341358326,0.5075620197484523,0.5129733341358326,0.4833591800265841,0.4627873586960781,0.47307326936133104
HIC,EXP-H055,ESM2,ARCH-1,concat,False,501633,0.45169116309837054,0.43302510532332056,0.5295236088788068,0.5236995230309758,0.5266115659548913,0.5295236088788068,0.505941643703131,0.4641491541921356,0.4850453989476334
HIC,EXP-H056,ESM2,ARCH-1,mean,False,485249,0.4610457145785108,0.4362537810714156,0.5154798495445722,0.5085656110975476,0.5120227303210598,0.5154798495445722,0.4852008645328475,0.45914281708517185,0.47217184080900965
HIC,EXP-H057,ESM2,ARCH-2,,False,485121,0.44346474593362684,0.449794032815062,0.5447029318161952,0.491356187702697,0.5180295597594461,0.5447029318161952,0.49923365143199017,0.47706398339919104,0.4881488174155906
HIC,EXP-H058,ESM2,ARCH-3,concat,False,501633,0.4606612644431031,0.45962115600962705,0.5151987339537821,0.5288577420740952,0.5220282380139387,0.5288577420740952,0.4868102494228034,0.4576602501574856,0.47223524979014453
HIC,EXP-H059,ESM2,ARCH-3,mean,False,485249,0.45865329097229757,0.4224286980805574,0.5132576631616662,0.5190813029724874,0.5161694830670769,0.5190813029724874,0.4925876585407022,0.4666098856984833,0.47959877211959273
HIC,EXP-H060,ESM2,ARCH-4,concat,False,501633,0.46180521637716415,0.4424370031003598,0.5517478636282461,0.5134319962395563,0.5325899299339012,0.5517478636282461,0.49648142383716715,0.45801797993977866,0.47724970188847293
HIC,EXP-H061,ESM2,ARCH-4,mean,False,485249,0.45679617822906116,0.4382358740347403,0.5330681005407263,0.4805228534745581,0.5067954770076422,0.5330681005407263,0.48163518693712026,0.46151962496910576,0.471577405953113
HIC,EXP-H062,ESM2,ARCH-6,concat,False,567681,0.44576049729335443,0.44560490130200797,0.5719192008501218,0.5175434777530623,0.544731339301592,0.5719192008501218,0.4852825205296646,0.47191761798623166,0.4786000692579482
HIC,EXP-H063,ESM2,ARCH-6,mean,False,551297,0.4718881494969497,0.43364612075428893,0.531473920798596,0.5172349734365204,0.5243544471175582,0.531473920798596,0.4979901280344269,0.4795107209947374,0.4887504245145821
HIC,EXP-H064,ESM2,ARCH-6G,concat,True,567713,0.44540596003591276,0.423779648769049,0.5797964527930743,0.5198421396326136,0.549819296212844,0.5797964527930743,0.49069931746117856,0.47120043512038245,0.4809498762907805
HIC,EXP-H065,ESM2,ARCH-6G,mean,True,551329,0.4720067946351604,0.4357538199719087,0.5430027574609827,0.4970959039381992,0.5200493306995909,0.5430027574609827,0.480851975146635,0.4804550742632076,0.4806535247049213
HIC,EXP-H066,ESM2,ARCH-8,concat,False,567681,0.46031811627046554,0.4410962492860393,0.5159922823493863,0.511632691512873,0.5138124869311297,0.5159922823493863,0.46709604399881244,0.46557400437343277,0.46633502418612266
HIC,EXP-H067,ESM2,ARCH-8,mean,False,551297,0.45130630808700745,0.41835926974261245,0.5457440129032841,0.5204454283066738,0.533094720604979,0.5457440129032841,0.4814884491908698,0.4771376982323917,0.4793130737116308
HIC,EXP-H068,SCRATCH,ARCH-H0,h_only,False,324097,0.4591367333494586,0.4389601103700237,0.5467886065730342,0.525400857007062,0.5360947317900481,0.5467886065730342,0.5156464140150282,0.508253860756203,0.5119501373856156
HIC,EXP-H069,SCRATCH,ARCH-1,concat,False,340481,0.47037359670945156,0.45779933416107554,0.5643535693133319,0.5071089262314784,0.5357312477724052,0.5643535693133319,0.48253850376458823,0.4894224869527934,0.4859804953586908
HIC,EXP-H070,SCRATCH,ARCH-1,mean,False,324097,0.4535313575650439,0.4599499593193148,0.5605257277312102,0.49119079571005736,0.5258582617206338,0.5605257277312102,0.4722508399869189,0.5149108676674925,0.4935808538272057
HIC,EXP-H071,SCRATCH,ARCH-2,,False,323969,0.4745217752338927,0.4611378543053144,0.5284297512666679,0.4749465964988425,0.5016881738827552,0.5284297512666679,0.47957107581621333,0.48002688447928726,0.47979898014775024
HIC,EXP-H072,SCRATCH,ARCH-3,concat,False,340481,0.4659405335791317,0.4697597441025722,0.532464554115578,0.47944139527685853,0.5059529746962182,0.532464554115578,0.48414992636221427,0.4825197322515794,0.48333482930689675
HIC,EXP-H073,SCRATCH,ARCH-3,mean,False,324097,0.46868194231574917,0.43890168154681175,0.5353125088538653,0.49546737981725625,0.5153899443355607,0.5353125088538653,0.48069928392951883,0.47453804910918806,0.4776186665193534
HIC,EXP-H074,SCRATCH,ARCH-4,concat,False,340481,0.4617415920775613,0.4499625298770857,0.5177603890689803,0.5168080570550612,0.5172842230620207,0.5177603890689803,0.4606035178855614,0.46815102320541563,0.46437727054548844
HIC,EXP-H075,SCRATCH,ARCH-4,mean,False,324097,0.4592937923478491,0.46213898486855587,0.5058164079454209,0.5132760109136134,0.5095462094295171,0.5132760109136134,0.4859148870397499,0.4919952441556954,0.4889550655977226
HIC,EXP-H076,SCRATCH,ARCH-6,concat,False,406529,0.4768617352615167,0.46465670338383414,0.5491884164221492,0.5641470692010574,0.5566677428116034,0.5641470692010574,0.48846663439715343,0.49812899704921393,0.49329781572318365
HIC,EXP-H077,SCRATCH,ARCH-6,mean,False,390145,0.4647835510159716,0.4429710850185818,0.533580958566548,0.5068919924041371,0.5202364754853426,0.533580958566548,0.4713397905326183,0.5031741460164387,0.4872569682745286
HIC,EXP-H078,SCRATCH,ARCH-6G,concat,True,406561,0.462606777096972,0.44776237506630984,0.516869805606795,0.5042749463776012,0.5105723759921981,0.516869805606795,0.4851690006020628,0.4894786040694624,0.4873238023357627
