code,seq_to_surf_mean,surf_to_seq_mean,seq_to_seq_mean,surf_to_surf_mean,n
EXP-H136,0.9999109506607056,0.38529783487319946,8.90915107447654e-05,0.6147022247314453,32
EXP-H139,0.9999991059303284,0.5038658976554871,9.188528906634019e-07,0.49613410234451294,32
