family,topology,annotation,delta_P,delta_S,delta_mean,both_improve,code_paired,code_separate
ablang2,SEP,BASE,-0.0005350306946553252,0.043082429673936606,0.02127369948964064,False,EXP-H220,EXP-H200
ablang2,SEP,IMGT,0.04838402938842756,-0.0012500478014533245,0.023566990793487008,False,EXP-H221,EXP-H201
ablang2,SEP,REGION,0.022350784725613138,-0.09868246554150983,-0.03816584040794835,False,EXP-H222,EXP-H202
ablang2,SEP,FULL,-0.026735526190863612,0.0006511061868549328,-0.01304221000200434,False,EXP-H223,EXP-H203
ablang2,JOINT,BASE,0.020173371868368983,0.012231291782708875,0.016202331825538985,False,EXP-H224,EXP-H204
ablang2,JOINT,IMGT,0.053010248678701966,0.006958030088448197,0.029984139383575026,False,EXP-H225,EXP-H205
ablang2,JOINT,REGION,-0.029466638541515988,-0.03799624417151937,-0.03373144135651762,True,EXP-H226,EXP-H206
ablang2,JOINT,FULL,0.01140791104163652,-4.6383233717972594e-05,0.005680763903959329,False,EXP-H227,EXP-H207
ablang2,REG-SEP,BASE,0.045999336713626104,-0.012546052155671283,0.016726642278977466,False,EXP-H228,EXP-H208
ablang2,REG-SEP,IMGT,0.009615840252534924,0.04330720967422308,0.026461524963379057,False,EXP-H229,EXP-H209
ablang2,REG-SEP,REGION,0.025555971922697762,-0.01834499745310092,0.0036054872347984768,False,EXP-H230,EXP-H210
ablang2,REG-SEP,FULL,0.00801559707264865,0.014736191879084037,0.0113758944758664,False,EXP-H231,EXP-H211
ablang2,XREG,BASE,0.02571958890373338,-0.006287809913541054,0.009715889495096164,False,EXP-H232,EXP-H212
ablang2,XREG,IMGT,0.0009040044619713639,-0.023613507777084597,-0.011354751657556506,False,EXP-H233,EXP-H213
ablang2,XREG,REGION,0.006334121044771268,-0.01031311247083877,-0.001989495713033751,False,EXP-H234,EXP-H214
ablang2,XREG,FULL,-0.013189335811285341,0.02079102706909164,0.003800845628903149,False,EXP-H235,EXP-H215
ablang2,FUSE,BASE,0.014311757876549147,-0.03752097848020952,-0.011604610301830243,False,EXP-H236,EXP-H216
ablang2,FUSE,IMGT,-0.010240643630793134,-0.008211423614878921,-0.009226033622836027,True,EXP-H237,EXP-H217
ablang2,FUSE,REGION,0.03177937053162372,-0.026266087849934894,0.0027566413408444124,False,EXP-H238,EXP-H218
ablang2,FUSE,FULL,-0.029106925728880295,0.005139213797486941,-0.011983855965696733,False,EXP-H239,EXP-H219
currab,SEP,BASE,-0.015123988022038959,-0.01426304682978874,-0.01469351742591396,True,EXP-H320,EXP-H300
currab,SEP,IMGT,-0.014690895975371876,-0.01642759582142772,-0.015559245898399743,True,EXP-H321,EXP-H301
currab,SEP,REGION,-0.0013376859500082716,-0.02792131414531185,-0.014629500047660171,True,EXP-H322,EXP-H302
currab,SEP,FULL,0.035425465383647436,-0.0007718909934715246,0.017326787195087956,False,EXP-H323,EXP-H303
currab,JOINT,BASE,-0.0046888804023647035,-0.006069370834915766,-0.005379125618640179,True,EXP-H324,EXP-H304
currab,JOINT,IMGT,0.06880183151621877,-0.019393081994704242,0.024704374760757264,False,EXP-H325,EXP-H305
currab,JOINT,REGION,0.01997646463653202,0.021542380909860825,0.020759422773196423,False,EXP-H326,EXP-H306
currab,JOINT,FULL,-0.04389476380524826,0.0009499464623721199,-0.02147240867143818,False,EXP-H327,EXP-H307
currab,REG-SEP,BASE,0.02181528906174668,0.01994562780121223,0.020880458431479454,False,EXP-H328,EXP-H308
currab,REG-SEP,IMGT,-0.010381912937870719,-0.01534031088558252,-0.012861111911726675,True,EXP-H329,EXP-H309
currab,REG-SEP,REGION,0.005944952835271411,-0.019849622137752654,-0.006952334651240677,False,EXP-H330,EXP-H310
currab,REG-SEP,FULL,-0.0013298932770152705,0.024540665002516726,0.011605385862750728,False,EXP-H331,EXP-H311
currab,XREG,BASE,-0.004288494675247723,0.005257755703396261,0.00048463051407421354,False,EXP-H332,EXP-H312
currab,XREG,IMGT,-0.0066782392807948066,0.03338619387591324,0.013353977297559272,False,EXP-H333,EXP-H313
currab,XREG,REGION,0.0034556974246179317,0.024636998729941406,0.014046348077279669,False,EXP-H334,EXP-H314
currab,XREG,FULL,0.0023055660577467885,0.0006455305593985328,0.0014755483085726606,False,EXP-H335,EXP-H315
currab,FUSE,BASE,0.013245977990421265,0.0017238161534439689,0.007484897071932672,False,EXP-H336,EXP-H316
currab,FUSE,IMGT,0.016260695092472077,-0.018262525723304113,-0.0010009153154160177,False,EXP-H337,EXP-H317
currab,FUSE,REGION,-0.005685822428008636,0.0022297866256147936,-0.001728017901196921,False,EXP-H338,EXP-H318
currab,FUSE,FULL,0.018315723042429122,-0.006100927188072758,0.006107397927178182,False,EXP-H339,EXP-H319
