scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed,config_hash,fusion_bundle_id
primary,0,0.001,1e-05,26,182,0.000962320368593087,0.47080328970244434,56,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/primary_k0_lr1e-03_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
primary,1,0.0001,1.0000000000000002e-06,52,312,8.494768343131955e-05,0.5070896437673857,82,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/primary_k1_lr1e-04_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
primary,2,0.001,1e-05,23,161,0.0009707359806323416,0.46311527490615845,53,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/primary_k2_lr1e-03_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
primary,3,0.0001,1.0000000000000002e-06,67,469,7.569755007964338e-05,0.49506518244743347,97,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/primary_k3_lr1e-04_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
primary,4,0.01,0.0001,22,154,0.009733122526196349,0.4726438522338867,52,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/primary_k4_lr1e-02_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
shadow,0,0.001,1e-05,56,392,0.000826476783923441,0.42405527288263495,86,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
shadow,1,0.001,1e-05,47,329,0.0008763049794670775,0.48947614431381226,77,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
shadow,2,0.001,1e-05,9,63,0.0009960967771506667,0.47118499875068665,39,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
shadow,3,0.01,0.0001,51,357,0.00855017856687341,0.47241413232051965,81,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/shadow_k3_lr1e-02_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
shadow,4,0.0001,1.0000000000000002e-06,54,378,8.381411941873378e-05,0.4303435981273651,84,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H092_run/checkpoints/shadow_k4_lr1e-04_seed101.pt,18425fc88d5d9e54,101,a97b1866d069787198c869ccc9e1611a7d7e2af405028bee1935240877a1c79a,F3_LOCAL_RASA_CDR3
