scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.001,1e-05,44,308,0.0008913130516324732,2.514783917051373,74,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/primary_k0_lr1e-03_seed101.pt,5618b48dc1c06a31,101
primary,1,0.0001,1.0000000000000002e-06,43,258,8.961267311259666e-05,3.57356562758937,73,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/primary_k1_lr1e-04_seed101.pt,5618b48dc1c06a31,101
primary,2,0.0001,1.0000000000000002e-06,103,721,4.894516742563265e-05,2.9914236068725586,133,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/primary_k2_lr1e-04_seed101.pt,5618b48dc1c06a31,101
primary,3,0.001,1e-05,17,119,0.0009844486647586723,2.6538007259368896,47,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/primary_k3_lr1e-03_seed101.pt,5618b48dc1c06a31,101
primary,4,0.001,1e-05,16,112,0.00098632311059685,3.1148805618286133,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/primary_k4_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,0,0.001,1e-05,48,336,0.0008711173920144117,2.7321837454131157,78,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,1,0.001,1e-05,23,161,0.0009707359806323416,3.036653995513916,53,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,2,0.001,1e-05,20,140,0.0009781175423251734,3.22123384475708,50,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,5618b48dc1c06a31,101
shadow,3,0.0001,1.0000000000000002e-06,48,336,8.711173920144117e-05,3.4834229440400093,78,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/shadow_k3_lr1e-04_seed101.pt,5618b48dc1c06a31,101
shadow,4,0.001,1e-05,53,371,0.0008438508174347009,3.04149854183197,83,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T255_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,5618b48dc1c06a31,101
