target,feature_set,dropped_block,cv_primary_mae,cv_shadow_mae,cv_worst_mae,delta_primary,delta_shadow,delta_worst
TmApp,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FB_AL2_FR_CDR_SPLIT,2.7315081192186206,2.7764865938934293,2.7764865938934293,0.008170458430211358,0.041691314779253474,0.041691314779253474
TmApp,FS_TM_ABLINGUA_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL_CDR3,FB_AL_CDR3,2.7259437647062876,2.749309773802948,2.749309773802948,0.0026061039178784107,0.014514494688772306,0.014514494688772306
TmApp,FS_TM_ABLINGUA_GLOBAL+FB_AL_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL2_RASA_CDR,FB_AL_CDR3,2.775472204898414,2.785266974985113,2.785266974985113,0.0322897856375266,0.05744562510665574,0.04208455572422576
TmApp,FS_TM_ABLINGUA_GLOBAL+FB_AL_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL2_RASA_CDR,FB_AL2_FR_CDR_SPLIT,2.7686204856821277,2.744163126697774,2.7686204856821277,0.025438066421240357,0.01634177681931659,0.025438066421240357
TmApp,FS_TM_ABLINGUA_GLOBAL+FB_AL_CDR3+FB_AL2_FR_CDR_SPLIT+FB_AL2_RASA_CDR,FB_AL2_RASA_CDR,2.7259437647062876,2.749309773802948,2.749309773802948,-0.01723865455459972,0.021488423924490796,0.006127354542060814
TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FB_AL_CDR3,2.729156940820395,2.7771215779957052,2.7771215779957052,0.023142374177874903,0.04817335641199838,0.04817335641199838
TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FB_AL2_RASA_CDR,2.71401425261044,2.761707561437799,2.761707561437799,0.007999685967919667,0.03275933985409196,0.03275933985409196
TmApp,FS_TM_BIOEMU_MPNN+FB_AL_CDR3+FB_AL2_RASA_CDR+FB_AL_CDR_ALL,FB_AL_CDR_ALL,2.6792244272834878,2.7423190157992403,2.7423190157992403,-0.026790139359032406,0.013370794215533444,0.013370794215533444
HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,FB_ESM2_RASA_CDR3,0.5117587462219736,0.5572906295667209,0.5572906295667209,0.0024384307737957966,0.00020285828887067758,0.00020285828887067758
HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,FB_ESM2_RASA_CDR3,0.5196694539611042,0.5503511666325117,0.5503511666325117,0.007135823749640835,0.001758610542247685,0.001758610542247685
HIC,FS_HIC_ESM2_SEQ_AROMATIC+FB_ESM2_RASA_P2+FB_ESM2_RASA_P1,FB_ESM2_RASA_P2,0.5289842715164913,0.5588706941795437,0.5588706941795437,-0.0010449012694965232,0.0012805950174648029,0.0012805950174648029
HIC,FS_HIC_ESM2_SEQ_AROMATIC+FB_ESM2_RASA_P2+FB_ESM2_RASA_P1,FB_ESM2_RASA_P1,0.5293728163904049,0.5576420310266547,0.5576420310266547,-0.0006563563955829244,5.193186457574939e-05,5.193186457574939e-05
