experiment_code,experiment_id,source_model_id,target,group,transformer_type,plm_source,score_source,source_oof_path,source_oof_sha256,source_test_path,source_test_sha256,dest_oof_primary_sha256,dest_oof_shadow_sha256,dest_test_sha256,primary_oof_available,shadow_oof_available,test_available,oof_value_max_abs_delta,test_value_max_abs_delta,architecture_config_source,selection_policy_at_creation,selection_policy_evidence,license_status,license_evidence,representation_status,feature_path,feature_space,input_space,input_asset_ref,fusion_feature_set_id,cv_primary_mae,cv_shadow_mae,public_mae,private_mae,test_overall_mae
EXP-T032,TRF_TM_SCRATCH_FULL_MEAN_FUS_ABLINGUA_CDR3,TMS3__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE,TmApp,phase1_fus,FUSION,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMS3__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE_03a66450edbe8f11.npz,0c9425c21fed35230468deca24bab73f7479541fbf38406812d17cc0e9d102c6,top_models_feature_bundle/advanced_outputs/predictions/TmApp__fusion__TMS3__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE__test.csv,62d5a0495cdc1f322a43b6f484b0cb49cce952ee2c8a1ae0b128cb5416327f24,7ef2180187225ddd9e93d144fb39774eddb68fb9d9c4ada154c6aebea958b2d3,c237f2edd30188193400efa2b547d1babfc5ca5360c306a63f3be363e5b3e8a5,e03ca679f4828f886a29492367232e72c4cc709a97a6f3e8f33fd5202e3af496,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMS3__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED) | fusion fixed branch FS_TM_ABLINGUA_CDR3: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,FS_TM_ABLINGUA_CDR3,2.769434548209233,2.900661892361111,3.076469233006607,3.182338196554302,3.1294037147804543
EXP-T033,TRF_TM_SCRATCH_FULL_MEAN_FUS_ABLINGUA_GLOBAL,TMS3__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TmApp,phase1_fus,FUSION,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMS3__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE_528029aa612a6ab7.npz,9f2d060cff19af7a59dd103a26caba0b00cdb3a2a6acac2b8f8da9cc79c7df6a,top_models_feature_bundle/advanced_outputs/predictions/TmApp__fusion__TMS3__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE__test.csv,2181a7a1d190e2e23f2f036ef921c96b2e6b19cb9576b1fb31bca09e282516e4,6507592d96ceb211d644c47b69073be091200dcac518f6e881241037708300ea,dac491f3e80511a42bbd794427efd97204b8c02d12e50a3267da335e9428bcdf,8596dbf7bc97c763202fdf3e66cf7c749b4e88896cff733b5d83e45c8db907bd,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMS3__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED) | fusion fixed branch FS_TM_ABLINGUA_GLOBAL: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,FS_TM_ABLINGUA_GLOBAL,2.7264024789441272,2.8779582506344648,3.1918426325291764,3.1535706696686923,3.172706651098934
EXP-T034,TRF_TM_SCRATCH_FULL_MEAN_FUS_BIOEMU_MPNN,TMS3__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE,TmApp,phase1_fus,FUSION,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMS3__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE_85e8e05ec1b75a79.npz,ddaa5f2bb16e49340239ab07125675819583bbd69e7db3c109c20f38441f746a,top_models_feature_bundle/advanced_outputs/predictions/TmApp__fusion__TMS3__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE__test.csv,67731d67c8f3504d5022ebb90c39c52475638b1dc8593c74fefea278c2888717,296db03296735cb9770507665164d0cdacfd475c566fee2bafb5e37f6c2474d9,c44ca3ecd217b0c3781a08a56d5488a7d0915fa0ff3a4fb898dde3daa8f79c7a,2dee85d3d6ac421bcacbe0848a7a19ec3c6e8f704362e2b789b066f76f9a13b5,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMS3__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED) | fusion fixed branch FS_TM_BIOEMU_MPNN: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,FS_TM_BIOEMU_MPNN,2.7522207110997576,2.96677258966391,3.116622359664352,3.267218318986304,3.191920339325328
EXP-T035,TRF_TM_ABLINGUA_FULL_CONCAT_FUS_ABLINGUA_CDR3,TMF2__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE,TmApp,phase1_fus,FUSION,ABLINGUA,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMF2__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE_e90be082221a2a12.npz,d9391c1bf63fbbafd586ee64afc60af97a68e2bbea3ceeac2360c5cc93b2280f,top_models_feature_bundle/advanced_outputs/predictions/TmApp__fusion__TMF2__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE__test.csv,a04856e0c73a480159ee33b0e8720804cceed4146c2ec9765d7552d97a9d7f16,303ac6cb8dd124bc6a43e8427a43893e1ea3094936444845876a2ba685113d9a,6d63c2cb8848f45db6fc717b1e56482530aff1577bbf4373282450d2006c3a91,68e1d9a3f9e10f70e41013161a4e5f50a2515e58f48a889e9e50fa6515305ca9,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMF2__FUSION__TM_PARENT_ABLINGUA_CDR3__RIDGE public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablingua600m metadata license_status=REVIEW_MODEL_OUTPUT | fusion fixed branch FS_TM_ABLINGUA_CDR3: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#ablingua600m,FS_TM_ABLINGUA_CDR3,2.7468702057261534,2.8230488231643243,3.284899393717448,3.188081764880522,3.2364905792989846
EXP-T036,TRF_TM_ABLINGUA_FULL_CONCAT_FUS_ABLINGUA_GLOBAL,TMF2__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE,TmApp,phase1_fus,FUSION,ABLINGUA,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMF2__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE_4bdf868e4742e8ab.npz,5823d23f326815a2832855b0a37849b4f3558f31c9db72b3285f830a3ac5c838,top_models_feature_bundle/advanced_outputs/predictions/TmApp__fusion__TMF2__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE__test.csv,a06c8ccab5e70ffc92e7683cbe1ff57f8f78b2299619e1a8ef1bec3c4dc37ebd,8fbec72a83f51a68cc9665071837352875f1163fc280a508f9c0cfd9184a1918,a97872cde86edbd4e5dcbf3961770bd7f6cbcc1689a6c189ce7f4d9666deeb86,f1c75501a7583e5e6fe27816795174e7f2bad7b35e7774cb5e1bd3063cb34728,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMF2__FUSION__TM_PARENT_ABLINGUA_GLOBAL__RIDGE public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablingua600m metadata license_status=REVIEW_MODEL_OUTPUT | fusion fixed branch FS_TM_ABLINGUA_GLOBAL: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#ablingua600m,FS_TM_ABLINGUA_GLOBAL,2.758065282562632,2.799007486414027,3.2866464308750483,3.2090721601321373,3.2478592955035928
EXP-T037,TRF_TM_ABLINGUA_FULL_CONCAT_FUS_BIOEMU_MPNN,TMF2__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE,TmApp,phase1_fus,FUSION,ABLINGUA,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_TMF2__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE_c8a3d89c11718657.npz,71f8e52d2d005d420342df90238811934b4e3cbdbff53a202d78563ddee4dac0,top_models_feature_bundle/advanced_outputs/predictions/TmApp__fusion__TMF2__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE__test.csv,70f91a302807137270bb269e7b5fb14f61e6dd87e00485fdd83e11ec94ec8d57,b7e2b2d822d8ece28157b6ad02824346f11ba70415a9222df69d97c0e46dbb7b,d1a168d507bf3f23d5f5c005524a12e4fd86e9b472ce4518d3baa73e66601bdd,8ed2b7efcb8a55d1649eddc3950407d738e87de8f4a27b7440c6d695b08dd80d,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=TMF2__FUSION__TM_BASE_BIOEMU_MPNN__RIDGE public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablingua600m metadata license_status=REVIEW_MODEL_OUTPUT | fusion fixed branch FS_TM_BIOEMU_MPNN: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#ablingua600m,FS_TM_BIOEMU_MPNN,2.753815709808727,2.772998134785718,3.267984555091387,3.2807702900450906,3.274377422568239
EXP-H028,TRF_HIC_SCRATCH_FULL_HONLY_FUS_HYDRO_TITRATION,HICS2__FUSION__HIC_HYDRO_TITRATION__LASSO,HIC,phase1_fus,FUSION,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICS2__FUSION__HIC_HYDRO_TITRATION__LASSO_8eb54002cd7b56d8.npz,21b42d35bf233df7034868e2710f5a82d615ec0a32d5fc351fe21490c76b9421,top_models_feature_bundle/advanced_outputs/predictions/HIC__fusion__HICS2__FUSION__HIC_HYDRO_TITRATION__LASSO__test.csv,cc34e6afd1b047e9daea057ccbd80e6e20bb3ae0ea0176441a0a59d34cc16857,a1973f2822598986e01d306c475887bf8a7dc43b74dc7830d7240851178a35ae,78a608b0881065099daa4b9b76d3cdd7dffc31115ca1b891c01ca5e07a47b310,9cce6f79c6ed4300e32127865685d36cbb3789b06538568573b17d3f6e097eb3,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICS2__FUSION__HIC_HYDRO_TITRATION__LASSO public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED) | fusion fixed branch FS_HIC_HYDRO_TITRATION: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,FS_HIC_HYDRO_TITRATION,0.4434767347265172,0.4502519788545835,0.4131651963598934,0.4715501337875553,0.4423576650737243
EXP-H029,TRF_HIC_SCRATCH_FULL_HONLY_FUS_CONTINUOUS_SURFACE,HICS2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO,HIC,phase1_fus,FUSION,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICS2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO_11f8560b2408eb16.npz,1d994606d57c4ccbfa35e77b08111ee0845d35db75d196d2d9e387c4bd7630d2,top_models_feature_bundle/advanced_outputs/predictions/HIC__fusion__HICS2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO__test.csv,a19eccd5db7608e414060cf15bb19fac91613db0a265f01fc3cc033fc6cbaf13,2c9072c003033695e3f4a6d13d7b2fe36e12eb5e9d9c8d1b2dc9a4b779a496db,4f0804073e8f81d32b38547472400f4bd89038947b35388838f92a3ac59b076e,3316a9421d0c4c42d7c6acc9158cc963ea909408ec3d1affe13a878e14efca91,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICS2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED) | fusion fixed branch FS_HIC_CONTINUOUS_SURFACE: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,FS_HIC_CONTINUOUS_SURFACE,0.4367691172847039,0.4602052170553324,0.4291351329662181,0.4772241528357988,0.4531796429010084
EXP-H030,TRF_HIC_SCRATCH_FULL_HONLY_FUS_ESM2_SEQ_ARO,HICS2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO,HIC,phase1_fus,FUSION,NONE,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICS2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO_a452dd916d7f1e1f.npz,498a504b407016a0e0257cbd7ad44f6d54168c5f4f16e0d6cc506817926b860a,top_models_feature_bundle/advanced_outputs/predictions/HIC__fusion__HICS2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO__test.csv,1d5fb6248b5e1fdf97e6a052f8f2c18c2642860d0638d6836ee80a0e80b1ec04,885f964068224cb444fb062b5e195e88e2e4de34e8f1c0fd39fba488ca3deb3e,d8005c8c04c058d08b539450522d1f8c6a462e0ed43fb82fc6f05ee1482da5d3,df2d20a3b2847c13bfeff101c8eddd3a4517e1744b4036fb2725352c6d5e9926,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICS2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | scratch AA from competition sequences (OK_COMPETITION_DERIVED) | fusion fixed branch FS_HIC_ESM2_SEQ_AROMATIC: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#annotations+scratch_sequences,FS_HIC_ESM2_SEQ_AROMATIC,0.4422034926708832,0.4413279370437435,0.3976063614833502,0.4800338898646977,0.438820125674024
EXP-H031,TRF_HIC_ESM2_FULL_HONLY_FUS_HYDRO_TITRATION,HICF2__FUSION__HIC_HYDRO_TITRATION__LASSO,HIC,phase1_fus,FUSION,ESM2,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICF2__FUSION__HIC_HYDRO_TITRATION__LASSO_6230724a1feeb94b.npz,4af1c3f22a42e7c247980279f728fe16eace19ad366e27a70ed402afc7a4ac43,top_models_feature_bundle/advanced_outputs/predictions/HIC__fusion__HICF2__FUSION__HIC_HYDRO_TITRATION__LASSO__test.csv,52de9d7a787ee8a308e066f7ea56d19db67733dc4da391bb1bde43d0814a2180,1caa4779064e8b6490a0df75f53d654d957ea0953f50534e77753a8d57e61736,e0f2c8582592aacea6cd44ed97778339aedd6cf531d53f3796e395487b25f212,0168d62def45730e3bd9363268b2a3cff45f449e7dbf9af1c1cfe99ca9906ff2,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICF2__FUSION__HIC_HYDRO_TITRATION__LASSO public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/esm2 metadata license_status=REVIEW_MODEL_OUTPUT | fusion fixed branch FS_HIC_HYDRO_TITRATION: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#esm2,FS_HIC_HYDRO_TITRATION,0.449374951900278,0.4510437931170679,0.4107111196635681,0.4716763438472039,0.4411937317553861
EXP-H032,TRF_HIC_ESM2_FULL_HONLY_FUS_CONTINUOUS_SURFACE,HICF2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO,HIC,phase1_fus,FUSION,ESM2,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICF2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO_1d3f1c945c8f1e48.npz,a72755d26b89e8c9226fdf296e45c139692c5e2344c335521b4a41eb959429ed,top_models_feature_bundle/advanced_outputs/predictions/HIC__fusion__HICF2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO__test.csv,9f48b330fa8e7bdd8d7d53a475c9cbc7356854028d598a0f3f4c628ed355e523,eddf711ad019a51098cab8d9d9146b756667f45c7d68706c63009e72876ee48c,22053959546ada0bede506e21ca54589ed3f5c11cbfb7bb7a8aa3bca5437a162,679fb7c363d1b527e3dcab01e489123ce43ae02cdd35be8fe8953ce368ae4f45,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICF2__FUSION__HIC_ARO_CONTINUOUS_SURFACE__LASSO public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/esm2 metadata license_status=REVIEW_MODEL_OUTPUT | fusion fixed branch FS_HIC_CONTINUOUS_SURFACE: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#esm2,FS_HIC_CONTINUOUS_SURFACE,0.4475720075128499,0.4723787205700029,0.429567148750211,0.4784063694329908,0.4539867590916009
EXP-H033,TRF_HIC_ESM2_FULL_HONLY_FUS_ESM2_SEQ_ARO,HICF2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO,HIC,phase1_fus,FUSION,ESM2,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/logs/oof_HICF2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO_912822b65c8a9e5d.npz,a11a484b61bd123aec8f8cfb4ed6c01a79e7471ce78e76b1290e17f3c901d10e,top_models_feature_bundle/advanced_outputs/predictions/HIC__fusion__HICF2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO__test.csv,5e92f43d568c7c9d08a534feed1f2dea975959ec21719e1381b9bcb9fbf7ed80,0c0e979141e8b83771bdb8e4197de2d613766272b3b2dda22bc4511b0873ab2e,1ee539d5a3ea2b7dbbfacaa77c0a3063a6f31877088590074644ad0b55896036,397c52e4e878573bfff2d0e3bf36692f32d001f0132c3f51e28eedf12279aeb7,YES,YES,YES,1.7763568394002505e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,MODEL_BENCHMARK_SUMMARY model_id=HICF2__FUSION__HIC_ESM2_SEQ_AROMATIC__LASSO public_private_role=POSTMORTEM_ONLY cv_protocol=canonical_simple_tvt_primary_shadow; ADVANCED_MODEL_RESULTS notes contain POSTMORTEM ONLY; run_benchmark.py marks family winners by CV then scores Public/Private postmortem,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/esm2 metadata license_status=REVIEW_MODEL_OUTPUT | fusion fixed branch FS_HIC_ESM2_SEQ_AROMATIC: Phase1 FS license aggregate REVIEW,HISTORICAL_UNAVAILABLE,,,RESIDUE_PLUS_FIXED_FEATURES,assets/transformer/residue_asset_manifest.yaml#esm2,FS_HIC_ESM2_SEQ_AROMATIC,0.4345258935528036,0.4424008218270761,0.4129469598840785,0.4980453283992814,0.4554961441416799
EXP-T038,TRF_TM_ABLANG2_MIN_CONCAT,AL2F1_MIN_CONCAT,TmApp,ablang2,FROZEN_PLM,ABLANG2,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/ablang2_followup/oof_AL2F1_MIN_CONCAT_caa0f18e77b6aa45.npz,a52bfc755d60e07fe245b9ae964d294d6dcc67a62cb20c38421563c3a026a57e,top_models_feature_bundle/advanced_outputs/ablang2_followup/predictions/TmApp__seq__AL2F1_MIN_CONCAT__test.csv,5af71bdf954e3f9a66267bacb3772d9e7a327e052c947409048e86ce6c41ce62,faae15f17a2dedc8fd5b46ab7808adb9403fe5c6975e07d810d714cc048ab9da,692acb1a05fee9c6559915bdac619cb812f1c4514b1efedcbea19e67c3fa926f,9961d31fc355d48f686ab3615735199225849ca4a3f0a10907e5399bd4ac6d5e,YES,YES,YES,7.105427357601002e-15,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,ABLANG2_FOLLOWUP_PLAN.json selection.primary_key=cv_worst; public_private=POSTMORTEM_ONLY; FOLLOWUP_RUN_LOG Public/Private selection forbidden; MODEL_BENCHMARK_SUMMARY.public_private_role=POSTMORTEM_ONLY,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablang2 metadata license_status=REVIEW_MODEL_OUTPUT,HISTORICAL_UNAVAILABLE,,,FROZEN_RESIDUE_EMBEDDING,assets/transformer/residue_asset_manifest.yaml#ablang2,,3.156795187742132,3.318617965949416,3.037158888888889,3.300404098765432,3.16878149382716
EXP-T039,TRF_TM_ABLANG2_FULL_CONCAT,AL2F2_FULL_CONCAT,TmApp,ablang2,FROZEN_PLM,ABLANG2,top_models_feature_bundle/results/MODEL_BENCHMARK_SUMMARY.csv,top_models_feature_bundle/advanced_outputs/ablang2_followup/oof_AL2F2_FULL_CONCAT_1244f57f9acc0346.npz,bc0d1a63271cb534bba328cce1d6e6dc2e84f7622c4cc5ed5b6d4bca34170d61,top_models_feature_bundle/advanced_outputs/ablang2_followup/predictions/TmApp__seq__AL2F2_FULL_CONCAT__test.csv,5f24a0583dba80634ef383ba38dd7d6d4be356191fde324eecb626aa8ca7b42e,0bb240c47d2e93e02334cdd2c0a6b70d5f1c7da55cbbfa4748814733ccae79bd,85be9b404e873403a9c5c6493f06e37db8f89706f642a43d4a54aec67d7457fb,0a9db10e258105549d4b9d94b15a1d27ce502f91aa14a20423d5aeb530399014,YES,YES,YES,0.0,0.0,advanced_models/presets.json + presets variants / ablang2 followup plan,CV_SELECTED_POSTCOMP_EVALUATED,ABLANG2_FOLLOWUP_PLAN.json selection.primary_key=cv_worst; public_private=POSTMORTEM_ONLY; FOLLOWUP_RUN_LOG Public/Private selection forbidden; MODEL_BENCHMARK_SUMMARY.public_private_role=POSTMORTEM_ONLY,REVIEW,residue_level annotations: IMGT_residue_annotations OK_COMPETITION_DERIVED | residue_level/ablang2 metadata license_status=REVIEW_MODEL_OUTPUT,HISTORICAL_UNAVAILABLE,,,FROZEN_RESIDUE_EMBEDDING,assets/transformer/residue_asset_manifest.yaml#ablang2,,3.1948206002820183,3.10791802111967,3.2675945308641983,3.0929794197530875,3.180286975308643
