cv_scheme,fold,seed,head,a_h,ell_h_angstrom,initial_ell_angstrom,best_epoch
primary,0,101,0,0.005608034785836935,22.4040584564209,22.41965961456299,26
primary,0,101,1,0.004665447399020195,22.403873443603516,22.41965961456299,26
primary,0,101,2,0.002993541769683361,22.403846740722656,22.41965961456299,26
primary,0,101,3,-3.615715104388073e-05,22.403850555419922,22.41965961456299,26
primary,1,101,0,0.0008605702314525843,22.401920318603516,22.404322624206543,4
primary,1,101,1,0.00203715986572206,22.401912689208984,22.404322624206543,4
primary,1,101,2,-0.00031581788789480925,22.401918411254883,22.404322624206543,4
primary,1,101,3,0.000863822060637176,22.401891708374023,22.404322624206543,4
primary,2,101,0,-0.00029854083550162613,22.410173416137695,22.417994499206543,13
primary,2,101,1,-0.004527990706264973,22.41021156311035,22.417994499206543,13
primary,2,101,2,-0.0003147817333228886,22.410165786743164,22.417994499206543,13
primary,2,101,3,0.0005050836480222642,22.41014862060547,22.417994499206543,13
primary,3,101,0,0.003241172758862376,22.415081024169922,22.42641830444336,19
primary,3,101,1,0.00416257930919528,22.414857864379883,22.42641830444336,19
primary,3,101,2,0.002671250607818365,22.41496467590332,22.42641830444336,19
primary,3,101,3,0.007534957490861416,22.415016174316406,22.42641830444336,19
primary,4,101,0,-0.005170100834220648,22.41705894470215,22.4345121383667,29
primary,4,101,1,-0.0036122805904597044,22.41705894470215,22.4345121383667,29
primary,4,101,2,-0.0018606854137033224,22.41718101501465,22.4345121383667,29
primary,4,101,3,0.012642793357372284,22.416942596435547,22.4345121383667,29
primary,0,202,0,-0.001199711230583489,22.407155990600586,22.41965961456299,21
primary,0,202,1,0.002237440785393119,22.40717315673828,22.41965961456299,21
primary,0,202,2,-0.0034262738190591335,22.406949996948242,22.41965961456299,21
primary,0,202,3,0.00038882234366610646,22.407068252563477,22.41965961456299,21
primary,1,202,0,-0.0006807100726291537,22.401918411254883,22.404322624206543,4
primary,1,202,1,-0.0006904393085278571,22.401918411254883,22.404322624206543,4
primary,1,202,2,-0.002545252675190568,22.40192222595215,22.404322624206543,4
primary,1,202,3,0.003702750662341714,22.401918411254883,22.404322624206543,4
primary,2,202,0,0.0053555527701973915,22.411340713500977,22.417994499206543,11
primary,2,202,1,0.000351940281689167,22.41138458251953,22.417994499206543,11
primary,2,202,2,-0.0011138124391436577,22.41141128540039,22.417994499206543,11
primary,2,202,3,-0.0034607937559485435,22.411407470703125,22.417994499206543,11
primary,3,202,0,-0.0029193232767283916,22.417865753173828,22.42641830444336,14
primary,3,202,1,0.0002250357501907274,22.41797637939453,22.42641830444336,14
primary,3,202,2,-0.006832956336438656,22.41798210144043,22.42641830444336,14
primary,3,202,3,0.0029845330864191055,22.417978286743164,22.42641830444336,14
primary,4,202,0,-0.016548365354537964,22.370025634765625,22.4345121383667,100
primary,4,202,1,-0.0010623050620779395,22.37504005432129,22.4345121383667,100
primary,4,202,2,0.010231991298496723,22.373300552368164,22.4345121383667,100
primary,4,202,3,-0.005077093839645386,22.375642776489258,22.4345121383667,100
primary,0,303,0,-0.0034536549355834723,22.41071128845215,22.41965961456299,15
primary,0,303,1,0.003862622659653425,22.410757064819336,22.41965961456299,15
primary,0,303,2,-0.000330896902596578,22.410680770874023,22.41965961456299,15
primary,0,303,3,0.001175365992821753,22.410615921020508,22.41965961456299,15
primary,1,303,0,-0.004103291314095259,22.395957946777344,22.404322624206543,14
primary,1,303,1,-0.003979972098022699,22.395984649658203,22.404322624206543,14
primary,1,303,2,-0.0002719534677453339,22.395999908447266,22.404322624206543,14
primary,1,303,3,-0.0010880022309720516,22.39591407775879,22.404322624206543,14
primary,2,303,0,-0.00812313612550497,22.4088191986084,22.417994499206543,15
primary,2,303,1,0.007474003825336695,22.40894889831543,22.417994499206543,15
primary,2,303,2,0.004024903289973736,22.40894317626953,22.417994499206543,15
primary,2,303,3,-0.001271023298613727,22.40898895263672,22.417994499206543,15
primary,3,303,0,-0.0054144528694450855,22.419954299926758,22.42641830444336,11
primary,3,303,1,0.0047502098605036736,22.41977310180664,22.42641830444336,11
primary,3,303,2,-0.002530104946345091,22.419828414916992,22.42641830444336,11
primary,3,303,3,-0.0006350934272632003,22.419816970825195,22.42641830444336,11
primary,4,303,0,0.0003866862098220736,22.412185668945312,22.4345121383667,37
primary,4,303,1,-0.006835607346147299,22.412309646606445,22.4345121383667,37
primary,4,303,2,0.011029865592718124,22.412002563476562,22.4345121383667,37
primary,4,303,3,0.012266400270164013,22.41219711303711,22.4345121383667,37
shadow,0,101,0,0.0018139235908165574,22.413434982299805,22.424882888793945,19
shadow,0,101,1,0.0058431364595890045,22.413326263427734,22.424882888793945,19
shadow,0,101,2,-0.002141015138477087,22.413471221923828,22.424882888793945,19
shadow,0,101,3,0.008028506301343441,22.4134521484375,22.424882888793945,19
shadow,1,101,0,0.0024759152438491583,22.412128448486328,22.421783447265625,16
shadow,1,101,1,-0.0011573079973459244,22.412086486816406,22.421783447265625,16
shadow,1,101,2,0.0026479836087673903,22.41216468811035,22.421783447265625,16
shadow,1,101,3,0.00026036144117824733,22.412179946899414,22.421783447265625,16
shadow,2,101,0,0.004641760140657425,22.399938583374023,22.41989517211914,33
shadow,2,101,1,-0.0008255878346972167,22.399967193603516,22.41989517211914,33
shadow,2,101,2,0.0015062304446473718,22.40003204345703,22.41989517211914,33
shadow,2,101,3,0.009589365683495998,22.399316787719727,22.41989517211914,33
shadow,3,101,0,-0.007078605238348246,22.402925491333008,22.409568786621094,11
shadow,3,101,1,0.0004941129009239376,22.4029541015625,22.409568786621094,11
shadow,3,101,2,-0.006421627476811409,22.402992248535156,22.409568786621094,11
shadow,3,101,3,0.0002917377860285342,22.402965545654297,22.409568786621094,11
shadow,4,101,0,0.006019169464707375,22.411447525024414,22.426390647888184,25
shadow,4,101,1,-0.0015987805090844631,22.411182403564453,22.426390647888184,25
shadow,4,101,2,0.0003590487176552415,22.411134719848633,22.426390647888184,25
shadow,4,101,3,-0.0006892311503179371,22.411413192749023,22.426390647888184,25
shadow,0,202,0,-0.003424112219363451,22.416423797607422,22.424882888793945,14
shadow,0,202,1,-0.001998533960431814,22.416536331176758,22.424882888793945,14
shadow,0,202,2,-0.005878925789147615,22.41659164428711,22.424882888793945,14
shadow,0,202,3,0.002387637970969081,22.416473388671875,22.424882888793945,14
shadow,1,202,0,-0.0037345108576118946,22.414640426635742,22.421783447265625,12
shadow,1,202,1,0.0010002290364354849,22.414579391479492,22.421783447265625,12
shadow,1,202,2,0.00171161990147084,22.414531707763672,22.421783447265625,12
shadow,1,202,3,-0.0007019929471425712,22.414581298828125,22.421783447265625,12
shadow,2,202,0,-0.0041997963562607765,22.392297744750977,22.41989517211914,46
shadow,2,202,1,-8.47076007630676e-05,22.392396926879883,22.41989517211914,46
shadow,2,202,2,0.005873179528862238,22.39223289489746,22.41989517211914,46
shadow,2,202,3,0.003144202521070838,22.392148971557617,22.41989517211914,46
shadow,3,202,0,-0.001825804472900927,22.405351638793945,22.409568786621094,7
shadow,3,202,1,-0.00027235382003709674,22.405364990234375,22.409568786621094,7
shadow,3,202,2,-0.0019267003517597914,22.405363082885742,22.409568786621094,7
shadow,3,202,3,0.0006112042465247214,22.405336380004883,22.409568786621094,7
shadow,4,202,0,-0.003528594970703125,22.413578033447266,22.426390647888184,21
shadow,4,202,1,0.0008606009068898857,22.413759231567383,22.426390647888184,21
shadow,4,202,2,0.004853715188801289,22.41376495361328,22.426390647888184,21
shadow,4,202,3,-0.006471899803727865,22.41376495361328,22.426390647888184,21
shadow,0,303,0,0.0005210099625401199,22.415924072265625,22.424882888793945,15
shadow,0,303,1,-0.003563408274203539,22.41591453552246,22.424882888793945,15
shadow,0,303,2,-0.003734685480594635,22.415878295898438,22.424882888793945,15
shadow,0,303,3,-0.002913297154009342,22.415868759155273,22.424882888793945,15
shadow,1,303,0,-0.005213427823036909,22.409908294677734,22.421783447265625,20
shadow,1,303,1,0.0033501731231808662,22.409883499145508,22.421783447265625,20
shadow,1,303,2,2.4530712835257873e-05,22.409772872924805,22.421783447265625,20
shadow,1,303,3,-0.004889401141554117,22.409870147705078,22.421783447265625,20
shadow,2,303,0,-0.005578444804996252,22.40506935119629,22.41989517211914,25
shadow,2,303,1,-0.004029001574963331,22.40467071533203,22.41989517211914,25
shadow,2,303,2,0.001628116355277598,22.40492820739746,22.41989517211914,25
shadow,2,303,3,0.0030964442994445562,22.404775619506836,22.41989517211914,25
shadow,3,303,0,-0.009687966667115688,22.401216506958008,22.409568786621094,14
shadow,3,303,1,-0.0033285554964095354,22.40113639831543,22.409568786621094,14
shadow,3,303,2,-0.003678099950775504,22.401226043701172,22.409568786621094,14
shadow,3,303,3,-0.0007679151021875441,22.40121078491211,22.409568786621094,14
shadow,4,303,0,-0.006143821403384209,22.41680145263672,22.426390647888184,16
shadow,4,303,1,0.00530577078461647,22.416772842407227,22.426390647888184,16
shadow,4,303,2,0.0021481020376086235,22.41678810119629,22.426390647888184,16
shadow,4,303,3,0.0006522872135974467,22.416719436645508,22.426390647888184,16
full_dev,-1,101,0,-0.0030469263438135386,22.406530380249023,22.42064094543457,19
full_dev,-1,101,1,0.003040663432329893,22.406757354736328,22.42064094543457,19
full_dev,-1,101,2,-0.002770763821899891,22.40684700012207,22.42064094543457,19
full_dev,-1,101,3,-0.007253412157297134,22.406532287597656,22.42064094543457,19
full_dev,-1,202,0,-0.0030014459043741226,22.410306930541992,22.42064094543457,14
full_dev,-1,202,1,0.0025059105828404427,22.410490036010742,22.42064094543457,14
full_dev,-1,202,2,0.0016059515764936805,22.410411834716797,22.42064094543457,14
full_dev,-1,202,3,-0.0046760612167418,22.41034507751465,22.42064094543457,14
full_dev,-1,303,0,0.005349651910364628,22.409666061401367,22.42064094543457,15
full_dev,-1,303,1,-0.005035236477851868,22.409564971923828,22.42064094543457,15
full_dev,-1,303,2,-0.002407021587714553,22.40957260131836,22.42064094543457,15
full_dev,-1,303,3,0.003709244541823864,22.409713745117188,22.42064094543457,15
