scheme,fold,best_epoch,selected_initial_lr,lr_at_best_epoch,w_h0_b0,w_h0_b1,w_h0_b2,w_h0_b3,w_h0_b4,w_h0_b5,w_h0_b6,w_h0_b7,w_h1_b0,w_h1_b1,w_h1_b2,w_h1_b3,w_h1_b4,w_h1_b5,w_h1_b6,w_h1_b7,w_h2_b0,w_h2_b1,w_h2_b2,w_h2_b3,w_h2_b4,w_h2_b5,w_h2_b6,w_h2_b7,w_h3_b0,w_h3_b1,w_h3_b2,w_h3_b3,w_h3_b4,w_h3_b5,w_h3_b6,w_h3_b7
primary,0,48,0.0001,8.711173920144117e-05,-0.004664091393351555,-0.006648438051342964,-0.008050150237977505,-0.008103115484118462,-0.006811794359236956,-0.0039246524684131145,-0.0018428844632580876,0.007280928082764149,0.0027653423603624105,0.0016556605696678162,0.000995976966805756,0.0018903177697211504,0.0026377514004707336,7.74720774643356e-06,-0.0033875207882374525,-0.0033261135686188936,-0.001694548991508782,-0.006539630237966776,-0.010355831123888493,-0.011357594281435013,-0.01172321941703558,-0.01674787886440754,-0.01691719889640808,-0.010115784592926502,0.002024259651079774,0.00016035436419770122,-0.0029488804284483194,-0.005333548411726952,-0.006661472842097282,-0.010197190567851067,-0.012908491306006908,-0.012345817871391773
primary,1,8,0.01,0.00997010672950314,-0.033942315727472305,-0.041262436658144,-0.06139545887708664,-0.011102769523859024,0.03600948303937912,0.012464298866689205,-0.08969725668430328,-0.0936305820941925,-0.08188891410827637,-0.07706304639577866,-0.04956265538930893,-0.020191578194499016,-0.022732339799404144,-0.09846995025873184,-0.0160081684589386,-0.031143296509981155,0.13396094739437103,0.1115897074341774,0.06508566439151764,0.00191303004976362,0.020094137638807297,0.06370462477207184,0.046543534845113754,0.1016346886754036,0.11586525291204453,0.11619848757982254,0.06925848126411438,0.0922095850110054,0.08469783514738083,0.03267620876431465,-0.01600727066397667,-0.00794281903654337
primary,2,30,0.001,0.0009495236500015047,0.044035654515028,0.0315675362944603,0.016217539086937904,0.007717268541455269,0.009715682826936245,0.000513751117978245,0.002362298546358943,0.019506175071001053,-0.0003888639039359987,0.008594823069870472,0.018967829644680023,0.023080017417669296,0.014983859844505787,-0.016281314194202423,-0.0030906619504094124,0.008723363280296326,0.006602694280445576,-0.003377252956852317,-0.007565266918390989,-0.0049616554751992226,-0.0008632119279354811,0.0018920577131211758,-0.005394205916672945,0.01938994601368904,0.004948514513671398,0.010228489525616169,0.018255457282066345,0.023587513715028763,0.012312112376093864,-0.014441169798374176,0.021548865363001823,0.02400391548871994
primary,3,45,0.0001,8.864040551740158e-05,0.0009394500521011651,0.0018853484652936459,0.0024867618922144175,0.002468202728778124,0.0019549820572137833,0.0015309437876567245,0.0002614454715512693,0.0032752640545368195,0.008255582302808762,0.00853015948086977,0.008446130901575089,0.007264132145792246,0.005291517358273268,0.0029403900261968374,-0.0005742691573686898,-0.010089965537190437,0.00011905382416443899,-0.0021751285530626774,-0.003426676383242011,-0.003543974831700325,-0.004263162612915039,-0.00891969446092844,-0.008837340399622917,-0.004623478278517723,-0.0019522394286468625,-0.003979158122092485,-0.005800802260637283,-0.006522740237414837,-0.00741377379745245,-0.009506945498287678,-0.006611425895243883,-0.0057171364314854145
primary,4,25,0.001,0.0009652393605146844,-0.0028733862563967705,-0.000589338131248951,-0.003822442376986146,-0.013049252331256866,-0.018040399998426437,-0.00877078715711832,-0.01146309357136488,0.01657073013484478,-0.003459150902926922,-0.0036342586390674114,-0.01310854684561491,-0.025867894291877747,-0.028110047802329063,-0.007650547660887241,0.0287950336933136,0.03879887983202934,0.005830271635204554,0.0019868810195475817,-0.005173652432858944,-0.014008077792823315,-0.021742867305874825,-0.014843311160802841,-0.00305574806407094,-0.0012321702670305967,-0.006515491288155317,-0.014983205124735832,-0.02452600747346878,-0.030901126563549042,-0.032300110906362534,-0.017954178154468536,-0.007979336194694042,0.02404731512069702
shadow,0,60,0.0001,8.022080115363127e-05,0.010478382930159569,0.011708961799740791,0.008737912401556969,0.0036406058352440596,0.000477100518764928,0.005244403146207333,0.0046092127449810505,0.003149669850245118,0.008619900792837143,0.0074171447195112705,0.005336452275514603,0.0034411039669066668,0.0021641089115291834,0.0007097304333001375,-0.0004924190579913557,0.0008621212327852845,-0.0006185555248521268,-0.001655998290516436,-0.0008644163026474416,0.0004116740601602942,-0.000384207145543769,-0.004735701251775026,0.0025036188308149576,0.003959021531045437,-0.002039741724729538,-0.00356302154250443,-0.0050470344722270966,-0.0060446904972195625,-0.006668540183454752,-0.007727301679551601,-0.007523283828049898,-0.0034740581177175045
shadow,1,18,0.001,0.00098245592213661,-0.013461454771459103,-0.009862994775176048,-0.003955812659114599,-0.00013156625209376216,-0.0038642012514173985,-0.00023031055752653629,0.0056337532587349415,-0.017282580956816673,-0.013050861656665802,-0.018871275708079338,-0.020313454791903496,-0.014091488905251026,-0.010300340130925179,-0.023495085537433624,-0.0208584051579237,0.01423114538192749,0.005857748910784721,0.010251745581626892,0.013474185019731522,0.01439815852791071,0.01669720746576786,0.02352018468081951,0.01658373698592186,-0.004168502986431122,0.015720784664154053,0.0167592354118824,0.023213129490613937,0.031778834760189056,0.032656144350767136,3.7754383811261505e-05,0.004805486183613539,-0.030508138239383698
shadow,2,48,0.001,0.0008711173920144117,-0.024802256375551224,-0.03647098317742348,-0.035489652305841446,-0.025637591257691383,-0.015306822024285793,-0.014486451633274555,0.02398967184126377,0.040011484175920486,-0.003693158971145749,-0.013570430688560009,-0.02223614789545536,-0.01612372323870659,9.552593837724999e-05,0.02250303141772747,0.030541015788912773,0.02095315419137478,0.0270070880651474,0.014944823458790779,0.002902042819187045,-8.010162127902731e-05,0.006350046023726463,-0.002136884955689311,0.009508972056210041,0.031001878902316093,0.04986292123794556,0.06373457610607147,0.07548229396343231,0.0729370266199112,0.05147798731923103,-0.014316086657345295,-0.05749670788645744,-0.03847327455878258
shadow,3,14,0.01,0.00989715291257774,0.05744252726435661,0.10519856214523315,0.11667176336050034,0.08998823165893555,0.05898966267704964,0.03220292180776596,0.0953739732503891,0.046784114092588425,-0.06361117959022522,-0.01551763154566288,0.005618441384285688,-0.019732343032956123,-0.06386672705411911,-0.08950794488191605,-0.07412635535001755,0.11165653169155121,-0.02074417844414711,0.02085142768919468,-0.0005896529764868319,-0.0015850375639274716,0.011599026620388031,-0.01641121320426464,-0.020376401022076607,0.0795871689915657,-0.11503956466913223,-0.14098118245601654,-0.07784771919250488,-0.027577221393585205,-0.052935607731342316,0.0073411292396485806,0.058019835501909256,0.020996466279029846
shadow,4,27,0.001,0.0009592885397135706,-0.011632374487817287,-0.007041359320282936,-0.0049727316945791245,-0.008044782094657421,-0.011651964858174324,-0.004582979716360569,0.0017388761043548584,0.010004764422774315,0.01627103053033352,0.010062904097139835,0.0067389896139502525,0.005277236923575401,0.0005913535133004189,0.001454040640965104,0.006271418649703264,-0.0021891496144235134,-0.02836773917078972,-0.022262465208768845,-0.017425047233700752,-0.014182494021952152,-0.012044788338243961,-0.016496501863002777,-0.02241896279156208,-0.04919339343905449,-0.02192104421555996,-0.030578702688217163,-0.04040220379829407,-0.04943057894706726,-0.05008866265416145,-0.021848786622285843,0.0011111707426607609,0.009022523649036884
