kind,plm,topology,scheme,model_a,model_b,delta_mae,ci95_lo,ci95_hi,note
within_plm_pairwise,ablingua,B2_vs_C,primary,EXP-T082,EXP-T087,0.007876455047984225,-0.14918723871678483,0.16978770715219,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,ablingua,B2_vs_C,shadow,EXP-T082,EXP-T087,0.08770464673454383,-0.1280181301964654,0.2913617634478907,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,ablang2,B1_vs_B2,primary,EXP-T113,EXP-T115,-0.24569457254292051,-0.4361225622671621,-0.06191052036520877,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,ablang2,B1_vs_B2,shadow,EXP-T113,EXP-T115,-0.028778688407238618,-0.2700798276029987,0.22120381166905528,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,ablang2,B1_vs_C,primary,EXP-T113,EXP-T121,-0.0281660291883681,-0.2954462887328348,0.23885424225418625,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,ablang2,B1_vs_C,shadow,EXP-T113,EXP-T121,0.03098574979805652,-0.21022220364323368,0.2751825991971993,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,ablang2,B2_vs_C,primary,EXP-T115,EXP-T121,0.21752854335455243,-0.03604054686463913,0.4523772068965582,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,ablang2,B2_vs_C,shadow,EXP-T115,EXP-T121,0.05976443820529514,-0.13611355357699925,0.25145569259737743,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,esm2,B1_vs_B2,primary,EXP-T153,EXP-T154,-0.0009921980492862655,-0.19902765132762767,0.1996535348303523,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,esm2,B1_vs_B2,shadow,EXP-T153,EXP-T154,0.05404481770079817,-0.16430503880536115,0.2825081707518777,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,esm2,B1_vs_C,primary,EXP-T153,EXP-T155,0.07642840161735628,-0.13994079990151487,0.28988118819248526,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,esm2,B1_vs_C,shadow,EXP-T153,EXP-T155,-0.10315937466091575,-0.3316365353855085,0.12798233208832926,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,esm2,B2_vs_C,primary,EXP-T154,EXP-T155,0.07742059966664255,-0.10004527009563681,0.25904497688199263,delta=MAE_a-MAE_b; negative => a better
within_plm_pairwise,esm2,B2_vs_C,shadow,EXP-T154,EXP-T155,-0.15720419236171393,-0.3484711093667113,0.02914749192602817,delta=MAE_a-MAE_b; negative => a better
DiD,ablingua_vs_ablang2,B1,primary,EXP-T081,EXP-T113,0.3789837213210118,0.07532541074870545,0.713499105123826,DiD bootstrap
DiD,ablingua_vs_ablang2,B1,shadow,EXP-T081,EXP-T113,0.17036539242591386,-0.1334599730409222,0.4579537438757625,DiD bootstrap
DiD,ablingua_vs_esm2,B1,primary,EXP-T081,EXP-T153,0.29397783161681373,0.003908149107002918,0.6013637831181654,DiD bootstrap
DiD,ablingua_vs_esm2,B1,shadow,EXP-T081,EXP-T153,0.3097135520275728,0.017900380970519266,0.5737591390256527,DiD bootstrap
DiD,ablang2_vs_esm2,B1,primary,EXP-T113,EXP-T153,-0.08500588970419806,-0.41281281341741116,0.22070528901653502,DiD bootstrap
DiD,ablang2_vs_esm2,B1,shadow,EXP-T113,EXP-T153,0.13934815960165892,-0.1668828116522895,0.4594080471698146,DiD bootstrap
DiD,ablingua_vs_ablang2,B2,primary,EXP-T082,EXP-T115,-0.05483137531045038,-0.30015763235680837,0.18747047789302843,DiD bootstrap
DiD,ablingua_vs_ablang2,B2,shadow,EXP-T082,EXP-T115,0.025906621673960746,-0.29839656971119066,0.3310580600926904,DiD bootstrap
DiD,ablingua_vs_esm2,B2,primary,EXP-T082,EXP-T154,0.10486510947898582,-0.10431901378396116,0.32317198235311595,DiD bootstrap
DiD,ablingua_vs_esm2,B2,shadow,EXP-T082,EXP-T154,0.24807828738365645,-0.03377167560436107,0.518757585242942,DiD bootstrap
DiD,ablang2_vs_esm2,B2,primary,EXP-T115,EXP-T154,0.1596964847894362,-0.09770857610820256,0.4158012201756605,DiD bootstrap
DiD,ablang2_vs_esm2,B2,shadow,EXP-T115,EXP-T154,0.2221716657096957,-0.07296848061644001,0.519027583981737,DiD bootstrap
DiD,ablingua_vs_ablang2,C,primary,EXP-T087,EXP-T121,0.15482071299611783,-0.0840502338644899,0.40728671168103614,DiD bootstrap
DiD,ablingua_vs_ablang2,C,shadow,EXP-T087,EXP-T121,-0.002033586855287949,-0.2963748390291945,0.294934879703286,DiD bootstrap
DiD,ablingua_vs_esm2,C,primary,EXP-T087,EXP-T155,0.17440925409764416,-0.06952654756145712,0.4249230225880938,DiD bootstrap
DiD,ablingua_vs_esm2,C,shadow,EXP-T087,EXP-T155,0.003169448287398683,-0.262504643569758,0.2920305776007377,DiD bootstrap
DiD,ablang2_vs_esm2,C,primary,EXP-T121,EXP-T155,0.01958854110152633,-0.28143677299405323,0.31001720192991655,DiD bootstrap
DiD,ablang2_vs_esm2,C,shadow,EXP-T121,EXP-T155,0.0052030351426866316,-0.31035674766257954,0.3111199926446985,DiD bootstrap
DiD,ablingua_vs_ablang2,D,primary,EXP-T151,EXP-T149,0.09208363662531346,-0.20968128133703162,0.3895147141115164,DiD bootstrap
