experiment_code,experiment_id,target,source_model_id,issued_at_phase,status,legacy_experiment_code,notes
EXP-H079,TRF_HIC_SCRATCH_FULL_SEPARATE_CROSSATTN_GEOM_MEAN_V3,HIC,DL_FOLDLOCAL_COSINE_V3::HIC_TRANSFER,V3_T105_HIC_TRANSFER_GEOMETRY,ACTIVE,,Scratch ARCH-6G MEAN
EXP-H080,TRF_HIC_SCRATCH_FULL_SEPARATE_WITHIN_CHAIN_EXTRA_CONCAT_V3,HIC,DL_FOLDLOCAL_COSINE_V3::HIC_TRANSFER,V3_T105_HIC_TRANSFER_GEOMETRY,ACTIVE,,Scratch ARCH-8 CONCAT
EXP-H081,TRF_HIC_SCRATCH_FULL_SEPARATE_WITHIN_CHAIN_EXTRA_MEAN_V3,HIC,DL_FOLDLOCAL_COSINE_V3::HIC_TRANSFER,V3_T105_HIC_TRANSFER_GEOMETRY,ACTIVE,,Scratch ARCH-8 MEAN
EXP-T124,TRF_TM_ABLANG2_FULL_ARCH3_MEAN_DEEP_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T113,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,AbLang2 ARCH-3 MEAN DEEP d128 L3
EXP-T125,TRF_TM_ABLANG2_FULL_ARCH3_MEAN_WIDE_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T113,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,AbLang2 ARCH-3 MEAN WIDE d256 H8
EXP-T126,TRF_TM_ABLANG2_FULL_ARCH3_MEAN_DEEP_WIDE_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T113,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,AbLang2 ARCH-3 MEAN DEEP_WIDE
EXP-T127,TRF_TM_ABLANG2_FULL_ARCH7_MEAN_DEEP_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T121,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,AbLang2 ARCH-7 MEAN DEEP d128 L3
EXP-T128,TRF_TM_ABLANG2_FULL_ARCH7_MEAN_WIDE_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T121,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,AbLang2 ARCH-7 MEAN WIDE d256 H8
EXP-T129,TRF_TM_ABLANG2_FULL_ARCH7_MEAN_DEEP_WIDE_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T121,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,AbLang2 ARCH-7 MEAN DEEP_WIDE
EXP-H082,TRF_HIC_ESM2_ARCHH0_F1_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H054,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H054 + F1 late fusion
EXP-H083,TRF_HIC_ESM2_ARCHH0_F2_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H054,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H054 + F2 late fusion
EXP-H084,TRF_HIC_ESM2_ARCHH0_F3_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H054,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H054 + F3 late fusion
EXP-H085,TRF_HIC_ESM2_ARCHH0_F4_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H054,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H054 + F4 late fusion
EXP-H086,TRF_HIC_ESM2_ARCH4_F1_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H061 + F1 late fusion
EXP-H087,TRF_HIC_ESM2_ARCH4_F2_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H061 + F2 late fusion
EXP-H088,TRF_HIC_ESM2_ARCH4_F3_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H061 + F3 late fusion
EXP-H089,TRF_HIC_ESM2_ARCH4_F4_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H061 + F4 late fusion
EXP-H090,TRF_HIC_SCRATCH_ARCH2_F1_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H071 + F1 late fusion
EXP-H091,TRF_HIC_SCRATCH_ARCH2_F2_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H071 + F2 late fusion
EXP-H092,TRF_HIC_SCRATCH_ARCH2_F3_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H071 + F3 late fusion
EXP-H093,TRF_HIC_SCRATCH_ARCH2_F4_LATEFUSION_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_T124_H082_CAPACITY_FUSION,ACTIVE,,EXP-H071 + F4 late fusion
EXP-T130,TRF_TM_ABLINGUA_FULL_ARCH-1_UNSHARED_ENCODER_CONCAT_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T075,V3_T130_ENCODER_SHARING,ACTIVE,,ABLINGUA ARCH-1 CONCAT UNSHARED encoder (control EXP-T075)
EXP-T131,TRF_TM_ABLINGUA_FULL_ARCH-1_UNSHARED_ENCODER_MEAN_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T080,V3_T130_ENCODER_SHARING,ACTIVE,,ABLINGUA ARCH-1 MEAN UNSHARED encoder (control EXP-T080)
EXP-T132,TRF_TM_ABLINGUA_FULL_ARCH-7_UNSHARED_ENCODER_CONCAT_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T086,V3_T130_ENCODER_SHARING,ACTIVE,,ABLINGUA ARCH-7 CONCAT UNSHARED encoder (control EXP-T086)
EXP-T133,TRF_TM_ABLINGUA_FULL_ARCH-7_UNSHARED_ENCODER_MEAN_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T087,V3_T130_ENCODER_SHARING,ACTIVE,,ABLINGUA ARCH-7 MEAN UNSHARED encoder (control EXP-T087)
EXP-T134,TRF_TM_SCRATCH_FULL_ARCH-1_UNSHARED_ENCODER_CONCAT_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T090,V3_T130_ENCODER_SHARING,ACTIVE,,SCRATCH ARCH-1 CONCAT UNSHARED encoder (control EXP-T090)
EXP-T135,TRF_TM_SCRATCH_FULL_ARCH-1_UNSHARED_ENCODER_MEAN_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T091,V3_T130_ENCODER_SHARING,ACTIVE,,SCRATCH ARCH-1 MEAN UNSHARED encoder (control EXP-T091)
EXP-T136,TRF_TM_SCRATCH_FULL_ARCH-7_UNSHARED_ENCODER_CONCAT_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T101,V3_T130_ENCODER_SHARING,ACTIVE,,SCRATCH ARCH-7 CONCAT UNSHARED encoder (control EXP-T101)
EXP-T137,TRF_TM_SCRATCH_FULL_ARCH-7_UNSHARED_ENCODER_MEAN_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T102,V3_T130_ENCODER_SHARING,ACTIVE,,SCRATCH ARCH-7 MEAN UNSHARED encoder (control EXP-T102)
EXP-T138,TRF_TM_ABLANG2_FULL_ARCH-1_UNSHARED_ENCODER_CONCAT_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T109,V3_T130_ENCODER_SHARING,ACTIVE,,ABLANG2 ARCH-1 CONCAT UNSHARED encoder (control EXP-T109)
EXP-T139,TRF_TM_ABLANG2_FULL_ARCH-1_UNSHARED_ENCODER_MEAN_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T110,V3_T130_ENCODER_SHARING,ACTIVE,,ABLANG2 ARCH-1 MEAN UNSHARED encoder (control EXP-T110)
EXP-T140,TRF_TM_ABLANG2_FULL_ARCH-7_UNSHARED_ENCODER_CONCAT_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T120,V3_T130_ENCODER_SHARING,ACTIVE,,ABLANG2 ARCH-7 CONCAT UNSHARED encoder (control EXP-T120)
EXP-T141,TRF_TM_ABLANG2_FULL_ARCH-7_UNSHARED_ENCODER_MEAN_V3,TmApp,DL_FOLDLOCAL_COSINE_V3::EXP-T121,V3_T130_ENCODER_SHARING,ACTIVE,,ABLANG2 ARCH-7 MEAN UNSHARED encoder (control EXP-T121)
EXP-H094,TRF_HIC_SCRATCH_ARCH2_STATIC_SAP_KD_GLOBAL3_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H094_STATIC_SAP_KD,ACTIVE,,H071 Scratch + STATIC_SAP_KD SAP3 late fusion
EXP-H095,TRF_HIC_SCRATCH_ARCH2_STATIC_SAP_KD_CHAIN9_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H094_STATIC_SAP_KD,ACTIVE,,H071 Scratch + STATIC_SAP_KD SAP9 late fusion
EXP-H096,TRF_HIC_SCRATCH_ARCH2_SURFACE_STATIC_SAP_KD_CHAIN9_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H094_STATIC_SAP_KD,ACTIVE,,H071 Scratch + SURFACE + STATIC_SAP_KD SAP9 late fusion
EXP-H097,TRF_HIC_SCRATCH_ARCH2_F4_STATIC_SAP_KD_CHAIN9_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H094_STATIC_SAP_KD,ACTIVE,,H071 Scratch + F4 + STATIC_SAP_KD SAP9 late fusion
EXP-H098,TRF_HIC_ESM2_ARCH4_STATIC_SAP_KD_GLOBAL3_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H094_STATIC_SAP_KD,ACTIVE,,H061 ESM2 ARCH-4 + STATIC_SAP_KD SAP3 late fusion
EXP-H099,TRF_HIC_ESM2_ARCH4_STATIC_SAP_KD_CHAIN9_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H094_STATIC_SAP_KD,ACTIVE,,H061 ESM2 ARCH-4 + STATIC_SAP_KD SAP9 late fusion
EXP-H100,TRF_HIC_ESM2_ARCH4_SURFACE_STATIC_SAP_KD_CHAIN9_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H094_STATIC_SAP_KD,ACTIVE,,H061 ESM2 ARCH-4 + SURFACE + STATIC_SAP_KD SAP9 late fusion
EXP-H101,TRF_HIC_ESM2_ARCH4_F4_STATIC_SAP_KD_CHAIN9_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H094_STATIC_SAP_KD,ACTIVE,,H061 ESM2 ARCH-4 + F4 + STATIC_SAP_KD SAP9 late fusion
EXP-H102,TRF_HIC_SCRATCH_ARCH2_HSP_BM_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H102_HSP_PROMOTED,ACTIVE,,Scratch + P1 BM-R5 HSP alone
EXP-H103,TRF_HIC_SCRATCH_ARCH2_SURFACE_PLUS_HSP_BM_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H102_HSP_PROMOTED,ACTIVE,,Scratch + SURFACE + P1 BM-R5
EXP-H104,TRF_HIC_SCRATCH_ARCH2_HSP_FP_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H102_HSP_PROMOTED,ACTIVE,,Scratch + P2 FP-R5 HSP alone
EXP-H105,TRF_HIC_SCRATCH_ARCH2_SURFACE_PLUS_HSP_FP_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H102_HSP_PROMOTED,ACTIVE,,Scratch + SURFACE + P2 FP-R5
EXP-H106,TRF_HIC_SCRATCH_ARCH2_HSP_EIS_R8_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H102_HSP_PROMOTED,ACTIVE,,Scratch + P3 EIS-R8 HSP alone
EXP-H107,TRF_HIC_SCRATCH_ARCH2_SURFACE_PLUS_HSP_EIS_R8_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H102_HSP_PROMOTED,ACTIVE,,Scratch + SURFACE + P3 EIS-R8
EXP-H108,TRF_HIC_ESM2_ARCH4_HSP_BM_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H102_HSP_PROMOTED,ACTIVE,,ESM2 + P1 BM-R5 HSP alone
EXP-H109,TRF_HIC_ESM2_ARCH4_SURFACE_PLUS_HSP_BM_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H102_HSP_PROMOTED,ACTIVE,,ESM2 + SURFACE + P1 BM-R5
EXP-H110,TRF_HIC_ESM2_ARCH4_HSP_FP_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H102_HSP_PROMOTED,ACTIVE,,ESM2 + P2 FP-R5 HSP alone
EXP-H111,TRF_HIC_ESM2_ARCH4_SURFACE_PLUS_HSP_FP_R5_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H102_HSP_PROMOTED,ACTIVE,,ESM2 + SURFACE + P2 FP-R5
EXP-H112,TRF_HIC_ESM2_ARCH4_HSP_EIS_R8_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H102_HSP_PROMOTED,ACTIVE,,ESM2 + P3 EIS-R8 HSP alone
EXP-H113,TRF_HIC_ESM2_ARCH4_SURFACE_PLUS_HSP_EIS_R8_PROMOTED_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H102_HSP_PROMOTED,ACTIVE,,ESM2 + SURFACE + P3 EIS-R8
EXP-H114,TRF_HIC_SCRATCH_ARCH2_SOURCE_SAP24_DIRECT_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H114_SOURCE24_FUSION,ACTIVE,,Scratch + SAP24 DIRECT
EXP-H115,TRF_HIC_SCRATCH_ARCH2_SOURCE_SAP24_AUX32_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H114_SOURCE24_FUSION,ACTIVE,,Scratch + SAP24 AUX32
EXP-H116,TRF_HIC_SCRATCH_ARCH2_SOURCE_SCM24_DIRECT_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H114_SOURCE24_FUSION,ACTIVE,,Scratch + SCM24 DIRECT
EXP-H117,TRF_HIC_SCRATCH_ARCH2_SOURCE_SCM24_AUX32_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H114_SOURCE24_FUSION,ACTIVE,,Scratch + SCM24 AUX32
EXP-H118,TRF_HIC_SCRATCH_ARCH2_SOURCE_SAP24_SCM24_DIRECT_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H114_SOURCE24_FUSION,ACTIVE,,Scratch + COMBINED48 DIRECT
EXP-H119,TRF_HIC_SCRATCH_ARCH2_SOURCE_SAP24_SCM24_AUX32_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H071,V3_H114_SOURCE24_FUSION,ACTIVE,,Scratch + COMBINED48 AUX32
EXP-H120,TRF_HIC_ESM2_ARCH4_SOURCE_SAP24_DIRECT_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H114_SOURCE24_FUSION,ACTIVE,,ESM2 + SAP24 DIRECT
EXP-H121,TRF_HIC_ESM2_ARCH4_SOURCE_SAP24_AUX32_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H114_SOURCE24_FUSION,ACTIVE,,ESM2 + SAP24 AUX32
EXP-H122,TRF_HIC_ESM2_ARCH4_SOURCE_SCM24_DIRECT_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H114_SOURCE24_FUSION,ACTIVE,,ESM2 + SCM24 DIRECT
EXP-H123,TRF_HIC_ESM2_ARCH4_SOURCE_SCM24_AUX32_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H114_SOURCE24_FUSION,ACTIVE,,ESM2 + SCM24 AUX32
EXP-H124,TRF_HIC_ESM2_ARCH4_SOURCE_SAP24_SCM24_DIRECT_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H114_SOURCE24_FUSION,ACTIVE,,ESM2 + COMBINED48 DIRECT
EXP-H125,TRF_HIC_ESM2_ARCH4_SOURCE_SAP24_SCM24_AUX32_V3,HIC,DL_FOLDLOCAL_COSINE_V3::EXP-H061,V3_H114_SOURCE24_FUSION,ACTIVE,,ESM2 + COMBINED48 AUX32
EXP-H126,XGB_HIC_SOURCE_SAP24_DEPTH2_FOLDLOCAL,HIC,SOURCE_SAP24_XGB_DEPTH2,H126_SOURCE_SAP24_XGB,ACTIVE,,SOURCE_SAP24 shallow XGBoost depth=2 fold-local
EXP-H127,XGB_HIC_SOURCE_SAP24_DEPTH3_FOLDLOCAL,HIC,SOURCE_SAP24_XGB_DEPTH3,H126_SOURCE_SAP24_XGB,ACTIVE,,SOURCE_SAP24 shallow XGBoost depth=3 fold-local (sensitivity)
EXP-H128,TRF_HIC_SCRATCH_RESIDUE_F1_ADDITIVE_V3,HIC,RESIDUE_F1_ADDITIVE,H128_RESIDUE_F1_SURFACE,ACTIVE,,H071 + residue F1 SURFACE additive
EXP-H129,TRF_HIC_SCRATCH_RESIDUE_F1_GATED_V3,HIC,RESIDUE_F1_GATED,H128_RESIDUE_F1_SURFACE,ACTIVE,,H071 + residue F1 SURFACE gated
EXP-H130,TRF_HIC_SCRATCH_RESIDUE_F1_POOL_V3,HIC,RESIDUE_F1_SURFACE_AWARE_POOLING,H128_RESIDUE_F1_SURFACE,ACTIVE,,H071 + residue F1 SURFACE-aware pooling
EXP-H131,TRF_HIC_ESM2_RESIDUE_F1_ADDITIVE_V3,HIC,RESIDUE_F1_ADDITIVE,H128_RESIDUE_F1_SURFACE,ACTIVE,,H061 + residue F1 SURFACE additive
EXP-H132,TRF_HIC_ESM2_RESIDUE_F1_GATED_V3,HIC,RESIDUE_F1_GATED,H128_RESIDUE_F1_SURFACE,ACTIVE,,H061 + residue F1 SURFACE gated
EXP-H133,TRF_HIC_ESM2_RESIDUE_F1_POOL_V3,HIC,RESIDUE_F1_SURFACE_AWARE_POOLING,H128_RESIDUE_F1_SURFACE,ACTIVE,,H061 + residue F1 SURFACE-aware pooling
EXP-H134,TRF_HIC_SCRATCH_GLOBAL_F1_FILM_V3,HIC,GLOBAL_F1_GLOBAL_SURFACE_FILM,H134_GLOBAL_F1_CONDITIONING,ACTIVE,,H071 + global F1_SURFACE FiLM conditioning
EXP-H135,TRF_HIC_SCRATCH_GLOBAL_F1_GATED_RES_V3,HIC,GLOBAL_F1_GLOBAL_SURFACE_GATED_RESIDUAL,H134_GLOBAL_F1_CONDITIONING,ACTIVE,,H071 + global F1_SURFACE gated residual
EXP-H136,TRF_HIC_SCRATCH_GLOBAL_F1_TOKEN_ATTN_V3,HIC,GLOBAL_F1_GLOBAL_SURFACE_TOKEN_ATTENTION,H134_GLOBAL_F1_CONDITIONING,ACTIVE,,H071 + global F1_SURFACE 2-token attention
EXP-H137,TRF_HIC_ESM2_GLOBAL_F1_FILM_V3,HIC,GLOBAL_F1_GLOBAL_SURFACE_FILM,H134_GLOBAL_F1_CONDITIONING,ACTIVE,,H061 + global F1_SURFACE FiLM conditioning
EXP-H138,TRF_HIC_ESM2_GLOBAL_F1_GATED_RES_V3,HIC,GLOBAL_F1_GLOBAL_SURFACE_GATED_RESIDUAL,H134_GLOBAL_F1_CONDITIONING,ACTIVE,,H061 + global F1_SURFACE gated residual
EXP-H139,TRF_HIC_ESM2_GLOBAL_F1_TOKEN_ATTN_V3,HIC,GLOBAL_F1_GLOBAL_SURFACE_TOKEN_ATTENTION,H134_GLOBAL_F1_CONDITIONING,ACTIVE,,H061 + global F1_SURFACE 2-token attention
EXP-T142,TRF_TM_ABLANG2_C1_SCALAR_GATE_V3,TmApp,CD_C1,T142_CD_ARCHITECTURE,ACTIVE,,C1 sample-dependent scalar cross gate on ARCH-7
EXP-T143,TRF_TM_ABLANG2_C2_FEATURE_GATE_V3,TmApp,CD_C2,T142_CD_ARCHITECTURE,ACTIVE,,C2 low-rank feature-wise cross gate on ARCH-7
EXP-T144,TRF_TM_ABLANG2_C3_FFN_ADAPTER_V3,TmApp,CD_C3,T142_CD_ARCHITECTURE,ACTIVE,,C3 REG cross + shared FFN adapter on ARCH-7
EXP-T145,TRF_TM_ABLANG2_C4_TWO_READ_V3,TmApp,CD_C4,T142_CD_ARCHITECTURE,ACTIVE,,C4 two-read REG cross-attention on ARCH-7
EXP-T146,TRF_TM_ABLANG2_C5_TWO_QUERY_V3,TmApp,CD_C5,T142_CD_ARCHITECTURE,ACTIVE,,C5 two-query REG cross-attention on ARCH-7
EXP-T147,TRF_TM_ABLANG2_D1_BILINEAR_SCORE_V3,TmApp,CD_D1,T142_CD_ARCHITECTURE,ACTIVE,,D1 low-rank bilinear H/L pair score
EXP-T148,TRF_TM_ABLANG2_D2_HADAMARD_RES_V3,TmApp,CD_D2,T142_CD_ARCHITECTURE,ACTIVE,,D2 low-rank Hadamard residual pair interaction
EXP-T149,TRF_TM_ABLANG2_D3_SYMMETRIC_MLP_V3,TmApp,CD_D3,T142_CD_ARCHITECTURE,ACTIVE,,D3 symmetric pair-feature MLP
EXP-T150,TRF_TM_ABLANG2_D4_TOKEN_ATTN_V3,TmApp,CD_D4,T142_CD_ARCHITECTURE,ACTIVE,,D4 two-token summary attention
EXP-T151,TRF_TM_ABLINGUA_D3_SYMMETRIC_MLP_V3,TmApp,PLM_TOPO_D,T151_PLM_TOPOLOGY_MATRIX,ACTIVE,,AbLingua + D3 symmetric pair interaction
EXP-T152,TRF_TM_ESM2_FULL_SEPARATE_DUAL_MEAN_V3,TmApp,PLM_TOPO_A,T151_PLM_TOPOLOGY_MATRIX,ACTIVE,,ESM-2 + topology A independent dual REG
EXP-T153,TRF_TM_ESM2_FULL_JOINT_DUAL_MEAN_V3,TmApp,PLM_TOPO_B1,T151_PLM_TOPOLOGY_MATRIX,ACTIVE,,ESM-2 + topology B1 ARCH-3 joint dual REG
EXP-T154,TRF_TM_ESM2_FULL_JOINT_CHAIN_SPECIFIC_DUAL_MEAN_V3,TmApp,PLM_TOPO_B2,T151_PLM_TOPOLOGY_MATRIX,ACTIVE,,ESM-2 + topology B2 ARCH-4 chain-specific dual REG
EXP-T155,TRF_TM_ESM2_FULL_SEPARATE_REG_ONLY_CROSS_MEAN_V3,TmApp,PLM_TOPO_C,T151_PLM_TOPOLOGY_MATRIX,ACTIVE,,ESM-2 + topology C ARCH-7 REG-only cross
EXP-T156,TRF_TM_ESM2_D3_SYMMETRIC_MLP_V3,TmApp,PLM_TOPO_D,T151_PLM_TOPOLOGY_MATRIX,ACTIVE,,ESM-2 + topology D D3 pair MLP
EXP-T157,TRF_TM_ABLANG1_FULL_SEPARATE_REG_ONLY_CROSS_MEAN_V3,TmApp,NEW_PLM_C_FULL_SMOKE,T157_NEW_PLM_SMOKE,ACTIVE,,AbLang1 residue + C + FULL smoke
EXP-T158,TRF_TM_ESM1B_FULL_SEPARATE_REG_ONLY_CROSS_MEAN_V3,TmApp,NEW_PLM_C_FULL_SMOKE,T157_NEW_PLM_SMOKE,ACTIVE,,ESM-1b residue + C + FULL smoke
EXP-T159,TRF_TM_ESMC600M_FULL_SEPARATE_REG_ONLY_CROSS_MEAN_V3,TmApp,NEW_PLM_C_FULL_SMOKE,T157_NEW_PLM_SMOKE,ACTIVE,,ESM-C 600M residue + C + FULL smoke
EXP-T160,TRF_TM_CURRAB_FULL_SEPARATE_REG_ONLY_CROSS_MEAN_V3,TmApp,NEW_PLM_C_FULL_SMOKE,T157_NEW_PLM_SMOKE,ACTIVE,,CurrAb paired-native residue + C + FULL smoke
EXP-T161,TRF_TM_SCRATCH_FULL_D_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/D/FULL
EXP-T162,TRF_TM_SCRATCH_BASE_A_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/A/BASE
EXP-T163,TRF_TM_SCRATCH_BASE_B1_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/B1/BASE
EXP-T164,TRF_TM_SCRATCH_BASE_B2_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/B2/BASE
EXP-T165,TRF_TM_SCRATCH_BASE_C_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/C/BASE
EXP-T166,TRF_TM_SCRATCH_BASE_D_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/D/BASE
EXP-T167,TRF_TM_SCRATCH_IMGT_A_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/A/IMGT
EXP-T168,TRF_TM_SCRATCH_IMGT_B1_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/B1/IMGT
EXP-T169,TRF_TM_SCRATCH_IMGT_B2_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/B2/IMGT
EXP-T170,TRF_TM_SCRATCH_IMGT_C_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/C/IMGT
EXP-T171,TRF_TM_SCRATCH_IMGT_D_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/D/IMGT
EXP-T172,TRF_TM_SCRATCH_REGION_A_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/A/REGION
EXP-T173,TRF_TM_SCRATCH_REGION_B1_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/B1/REGION
EXP-T174,TRF_TM_SCRATCH_REGION_B2_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/B2/REGION
EXP-T175,TRF_TM_SCRATCH_REGION_C_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/C/REGION
EXP-T176,TRF_TM_SCRATCH_REGION_D_MEAN_V3,TmApp,REP_TOPO_ANNOT_FACTORIAL,T161_FACTORIAL_RESERVE,ACTIVE,,reserve scratch/D/REGION
