representation,plm_family,plm_source,content_mode,subdir,representation_context,paired_match_group,topology,annotation,annotation_mode,experiment_code,execution_status,reuse_source,raw_dim,config_path,primary_mae,shadow_mae,mean_ps,worst_ps,notes
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,D,BASE,base,EXP-T181,COMPLETE,,1280,experiments/configs/EXP-T181.yaml,3.349750401061258,3.3534093079743563,3.3515798545178073,3.3534093079743563,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,A,IMGT,imgt,EXP-T182,COMPLETE,,1280,experiments/configs/EXP-T182.yaml,3.2398286984290605,3.4817896713445218,3.360809184886791,3.4817896713445218,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B1,IMGT,imgt,EXP-T183,COMPLETE,,1280,experiments/configs/EXP-T183.yaml,3.2847261311095437,3.4713932319923684,3.378059681550956,3.4713932319923684,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B2,IMGT,imgt,EXP-T184,COMPLETE,,1280,experiments/configs/EXP-T184.yaml,3.339674820134669,3.4382840851206837,3.3889794526276766,3.4382840851206837,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,C,IMGT,imgt,EXP-T185,COMPLETE,,1280,experiments/configs/EXP-T185.yaml,3.4035509133044584,3.3335626861195506,3.3685567997120045,3.4035509133044584,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,D,IMGT,imgt,EXP-T186,COMPLETE,,1280,experiments/configs/EXP-T186.yaml,3.2282831639419367,3.262201897891951,3.245242530916944,3.262201897891951,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,A,REGION,region,EXP-T187,COMPLETE,,1280,experiments/configs/EXP-T187.yaml,3.3175583827642745,3.3516597983277876,3.334609090546031,3.3516597983277876,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B1,REGION,region,EXP-T188,COMPLETE,,1280,experiments/configs/EXP-T188.yaml,3.272981525939188,3.4009458989272883,3.336963712433238,3.4009458989272883,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,B2,REGION,region,EXP-T189,COMPLETE,,1280,experiments/configs/EXP-T189.yaml,3.2791672223879966,3.4259733977141202,3.3525703100510587,3.4259733977141202,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,C,REGION,region,EXP-T190,COMPLETE,,1280,experiments/configs/EXP-T190.yaml,3.415866757616585,3.3100957046320407,3.362981231124313,3.415866757616585,
ablingua,ablingua,ablingua,frozen,ablingua600m,SEPARATE_CHAIN,,D,REGION,region,EXP-T191,COMPLETE,,1280,experiments/configs/EXP-T191.yaml,3.364891947051625,3.378455362202209,3.371673654626917,3.378455362202209,
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,A,FULL,full,EXP-T110,REUSE,EXP-T110,480,,3.2029204191984952,3.280289826569734,3.2416051228841143,3.280289826569734,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B1,FULL,full,EXP-T113,REUSE,EXP-T113,480,,2.9950552575382186,3.2830708586139443,3.139063058076081,3.2830708586139443,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,B2,FULL,full,EXP-T115,REUSE,EXP-T115,480,,3.240749830081139,3.311849547021183,3.276299688551161,3.311849547021183,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,C,FULL,full,EXP-T121,REUSE,EXP-T121,480,,3.0232212867265864,3.252085108815888,3.137653197771237,3.252085108815888,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
ablang2_paired,ablang2,ablang2,frozen,ablang2,SEPARATE_CHAIN,ablang2,D,FULL,full,EXP-T149,REUSE,EXP-T149,480,,3.2233047014401284,3.37154711028676,3.2974259058634443,3.37154711028676,ASSET AUDIT: historical ablang2 bundle uses SEPARATE_CHAIN formats (<H>| / |<L>) with ablang2-paired checkpoint; name retains historical label.
