code,mode,entropy_H_mean,entropy_L_mean,top1_H_mean,top5_H_mean,top1_L_mean,top5_L_mean,n_H,n_L,mean_nres_H,mean_nres_L
EXP-H130,surface_aware_pooling,3.648308595021566,3.9960615355291482,0.17458733235037438,0.44238347061162375,0.10564986699732182,0.3105945418370359,324,324,122.5925925925926,109.20987654320987
EXP-H133,surface_aware_pooling,4.158668303195341,4.214080844396427,0.09746065308673331,0.28651917649915926,0.07854970823398527,0.24058312154662462,324,324,122.5925925925926,109.20987654320987
