scheme,fold,seed,initial_lr,epoch,optimizer_step,learning_rate,train_loss,val_mae
primary,0,101,1e-05,1,7,1e-05,0.4549892864056996,0.6168858788230203
primary,0,101,1e-05,2,14,9.99938933078422e-06,0.43791529749120983,0.6056686748157848
primary,0,101,1e-05,3,21,9.997557473810373e-06,0.45814235721315655,0.5962432225545248
primary,0,101,1e-05,4,28,9.994504881061752e-06,0.41456498950719833,0.5871571627530184
primary,0,101,1e-05,5,35,9.990232305719944e-06,0.404031902551651,0.5781503735166608
primary,0,101,1e-05,6,42,9.984740801978984e-06,0.40747894985335215,0.5707772572835287
primary,0,101,1e-05,7,49,9.978031724785247e-06,0.40256727806159426,0.5655920144283411
primary,0,101,1e-05,8,56,9.97010672950314e-06,0.38750104207013336,0.5600512244484641
primary,0,101,1e-05,9,63,9.960967771506666e-06,0.3903888985514641,0.5563710819591176
primary,0,101,1e-05,10,70,9.950617105696961e-06,0.3987994981663568,0.5530424985018644
primary,0,101,1e-05,11,77,9.939057285945933e-06,0.41713596667562214,0.549540866505016
primary,0,101,1e-05,12,84,9.926291164466131e-06,0.38637309787528856,0.5462077458699545
primary,0,101,1e-05,13,91,9.91232189110701e-06,0.49661511182785034,0.543537255489465
primary,0,101,1e-05,14,98,9.897152912577742e-06,0.3837996226336275,0.5419312390414152
primary,0,101,1e-05,15,105,9.8807879715968e-06,0.38865503668785095,0.5397421807953806
primary,0,101,1e-05,16,112,9.8632311059685e-06,0.3710987836654697,0.5383629365400835
primary,0,101,1e-05,17,119,9.844486647586724e-06,0.5992005254541125,0.5373335173635772
primary,0,101,1e-05,18,126,9.824559221366101e-06,0.3881638523723398,0.5368478081443093
primary,0,101,1e-05,19,133,9.803453744100868e-06,0.42636375767844065,0.5362944169477983
primary,0,101,1e-05,20,140,9.781175423251734e-06,0.7579309982912881,0.5363741210012725
primary,0,101,1e-05,21,147,9.757729755661012e-06,0.3695590035832928,0.536577166933002
primary,0,101,1e-05,22,154,9.73312252619635e-06,0.539665699005127,0.5366396759495591
primary,0,101,1e-05,23,161,9.707359806323418e-06,0.37861302223089816,0.5364341735839844
primary,0,101,1e-05,24,168,9.680447952607845e-06,0.40922075297151295,0.53607515855269
primary,0,101,1e-05,25,175,9.652393605146845e-06,0.39685486257076263,0.5357709364457564
primary,0,101,1e-05,26,182,9.62320368593087e-06,0.3714884365243571,0.5348950588341915
primary,0,101,1e-05,27,189,9.592885397135707e-06,0.3997547541345869,0.5339847622495709
primary,0,101,1e-05,28,196,9.561446219345455e-06,0.37656682463628904,0.5336383761781635
primary,0,101,1e-05,29,203,9.528893909706798e-06,0.4169914573431015,0.5331575509273645
primary,0,101,1e-05,30,210,9.495236500015048e-06,0.422095320054463,0.5324269497033322
primary,0,101,1e-05,31,217,9.460482294732422e-06,0.37190538781162885,0.5320096738410719
primary,0,101,1e-05,32,224,9.424639868939035e-06,0.37982807357496184,0.5319679433649237
primary,0,101,1e-05,33,231,9.387718066217125e-06,0.49305727013519834,0.5325894789262251
primary,0,101,1e-05,34,238,9.349725996469047e-06,0.38843361128653797,0.5335878892378374
primary,0,101,1e-05,35,245,9.310673033669522e-06,0.3774631108556475,0.5334603280732126
primary,0,101,1e-05,36,252,9.270568813552757e-06,0.37728858339999405,0.5336461211695815
primary,0,101,1e-05,37,259,9.229423231234975e-06,0.3713789325307256,0.5333316109397195
primary,0,101,1e-05,38,266,9.18724643877294e-06,0.44356552405016764,0.5332712693647905
primary,0,101,1e-05,39,273,9.144048842659081e-06,0.4008747317961284,0.5328415379379735
primary,0,101,1e-05,40,280,9.099841101253867e-06,0.3666429938748479,0.5324687957763672
primary,0,101,1e-05,41,287,9.054634122155991e-06,0.39622936504227774,0.532036607915705
primary,0,101,1e-05,42,294,9.0084390595111e-06,0.4365029888493674,0.5317843466094045
primary,0,101,1e-05,43,301,8.961267311259668e-06,0.40002558699675966,0.5321244326504794
primary,0,101,1e-05,44,308,8.913130516324733e-06,0.581384610916887,0.5321687062581381
primary,0,101,1e-05,45,315,8.864040551740158e-06,0.46169648851667133,0.5324001023263643
primary,0,101,1e-05,46,322,8.814009529720155e-06,0.3825614902057818,0.5329478870738636
primary,0,101,1e-05,47,329,8.763049794670776e-06,0.3666036602641855,0.5335083296804717
primary,0,101,1e-05,48,336,8.711173920144118e-06,0.40508819477898733,0.5340173605716589
primary,0,101,1e-05,49,343,8.658394705735988e-06,0.4081082322767803,0.5345817912708629
primary,0,101,1e-05,50,350,8.604725173927786e-06,0.38592319722686497,0.5344606457334576
primary,0,101,1e-05,51,357,8.550178566873412e-06,0.37621291034987997,0.534184658166134
primary,0,101,1e-05,52,364,8.494768343131955e-06,0.38336996601096224,0.5335763006499319
primary,0,101,1e-05,53,371,8.43850817434701e-06,0.4147565897021975,0.5335371711037376
primary,0,101,1e-05,54,378,8.381411941873379e-06,0.3771614003858628,0.5338926604299834
primary,0,101,1e-05,55,385,8.323493733352078e-06,0.6031126848288945,0.53392540324818
primary,0,101,1e-05,56,392,8.26476783923441e-06,0.3867517475570951,0.5341591979518081
primary,0,101,1e-05,57,399,8.205248749256014e-06,0.37339244796956855,0.5337911952625621
primary,0,101,1e-05,58,406,8.144951148861743e-06,0.3744145578571728,0.5338868227871981
primary,0,101,1e-05,59,413,8.083889915582235e-06,0.6701394021511078,0.5337336569121389
primary,0,101,1e-05,60,420,8.022080115363127e-06,0.38176283133881433,0.5338177825465347
primary,0,101,1e-05,61,427,7.959536998847744e-06,0.5781172854559762,0.5330632816661488
primary,0,101,1e-05,62,434,7.89627599761423e-06,0.38308012166193556,0.5333287210175486
primary,0,101,1e-05,63,441,7.832312720368048e-06,0.3763091843242624,0.5330066391915986
primary,0,101,1e-05,64,448,7.767662949090754e-06,0.37247501307034064,0.5329708908543442
primary,0,101,1e-05,65,455,7.702342635146033e-06,0.3752266349537032,0.5331525513620088
primary,0,101,1e-05,66,462,7.636367895343947e-06,0.3905470392533711,0.5328212217851118
primary,0,101,1e-05,67,469,7.5697550079643376e-06,0.5468579158186913,0.5324993422537139
primary,0,101,1e-05,68,476,7.502520408740418e-06,0.39376447456223623,0.5323904499863134
primary,0,101,1e-05,69,483,7.43468068680349e-06,0.8977281834397998,0.5322259556163441
primary,0,101,1e-05,70,490,7.366252580589839e-06,0.38824926955359323,0.5325826009114584
primary,0,101,1e-05,71,497,7.297252973710756e-06,0.41327968665531706,0.5329658623897668
primary,0,101,1e-05,72,504,7.227698890786779e-06,0.3789858983031341,0.5335755492701675
primary,0,101,0.0001,1,7,0.0001,0.4088789772774492,0.5400657653808594
primary,0,101,0.0001,2,14,9.99938933078422e-05,0.37780561085258213,0.5327357378872958
primary,0,101,0.0001,3,21,9.997557473810373e-05,0.40095991109098705,0.5301500089240797
primary,0,101,0.0001,4,28,9.994504881061753e-05,0.37590982221133473,0.5295693079630533
primary,0,101,0.0001,5,35,9.990232305719945e-05,0.3754397867513554,0.5388567953398733
primary,0,101,0.0001,6,42,9.984740801978984e-05,0.38327644765377045,0.5418033888845732
primary,0,101,0.0001,7,49,9.978031724785247e-05,0.36816201714931857,0.5379763805505001
primary,0,101,0.0001,8,56,9.97010672950314e-05,0.3800606589232172,0.5308373191139915
primary,0,101,0.0001,9,63,9.960967771506667e-05,0.37777025412235943,0.5400826714255593
primary,0,101,0.0001,10,70,9.95061710569696e-05,0.3759492497359003,0.539548295916933
primary,0,101,0.0001,11,77,9.939057285945933e-05,0.39679171570709776,0.5287679903434984
