model_a,model_b,target,scheme,split,delta_mae,ci95_lo,ci95_hi,sign
EXP-H085,EXP-H083,HIC,shadow,test,-0.029990746910189426,-0.07438014544734231,0.01604426461678964,delta=MAE_a-MAE_b; negative => a better
EXP-H085,EXP-H084,HIC,primary,test,-0.05781002449694982,-0.11379024056210925,-0.0015485590228328909,delta=MAE_a-MAE_b; negative => a better
EXP-H085,EXP-H084,HIC,shadow,test,-0.017325117605703804,-0.07116285973183901,0.03797118204964541,delta=MAE_a-MAE_b; negative => a better
EXP-H086,EXP-H061,HIC,primary,test,-0.061631206418261406,-0.13357925431404594,0.0031979248670879422,delta=MAE_a-MAE_b; negative => a better
EXP-H086,EXP-H061,HIC,shadow,test,0.020693152062686723,-0.03623776404062926,0.07945709724308504,delta=MAE_a-MAE_b; negative => a better
EXP-H087,EXP-H061,HIC,primary,test,-0.00402616378407436,-0.06911605126534,0.05728508816707253,delta=MAE_a-MAE_b; negative => a better
EXP-H087,EXP-H061,HIC,shadow,test,0.04974202926070592,-0.00808450848379247,0.10349869262789478,delta=MAE_a-MAE_b; negative => a better
EXP-H088,EXP-H061,HIC,primary,test,0.007522138901698564,-0.035645628420511985,0.04895388150391744,delta=MAE_a-MAE_b; negative => a better
EXP-H088,EXP-H061,HIC,shadow,test,0.06452375492048841,0.0170797879336794,0.11176085309158115,delta=MAE_a-MAE_b; negative => a better
EXP-H089,EXP-H061,HIC,primary,test,-0.061361585169662856,-0.1402811338966277,0.01898313098365836,delta=MAE_a-MAE_b; negative => a better
EXP-H089,EXP-H061,HIC,shadow,test,-0.012710946495150525,-0.0643222384888452,0.03916619044645316,delta=MAE_a-MAE_b; negative => a better
EXP-H089,EXP-H086,HIC,primary,test,0.00026962124859855163,-0.05490883323292662,0.055495918852017205,delta=MAE_a-MAE_b; negative => a better
EXP-H089,EXP-H086,HIC,shadow,test,-0.03340409855783725,-0.08154855812331778,0.01342230417698978,delta=MAE_a-MAE_b; negative => a better
EXP-H089,EXP-H087,HIC,primary,test,-0.057335421385588496,-0.11154839896096119,-0.0009614197471996775,delta=MAE_a-MAE_b; negative => a better
EXP-H089,EXP-H087,HIC,shadow,test,-0.06245297575585645,-0.10940302397881037,-0.014203219456142802,delta=MAE_a-MAE_b; negative => a better
