Family,Scratch_d_over_SURFACE,Scratch_boot_primary,Scratch_perm_HSP_primary,ESM2_d_over_SURFACE,ESM2_boot_primary,ESM2_perm_HSP_primary,Verdict,Backbone
BM-R5,-0.006404808138623597,"-0.0166 [-0.0635,0.0305]",0.06220047679232106,-0.02916783509431059,"-0.0113 [-0.0509,0.0297]",0.044290593248569585,MAINLINE_SUPPORTED_STRONG,BACKBONE_ROBUST
FP-R5,0.0018280329763153969,"0.0036 [-0.0393,0.0493]",0.01704168225604836,-0.004020588745305587,"-0.0078 [-0.0407,0.0260]",0.02898899673334756,NOT_CONFIRMED,NOT_SUPPORTED
EIS-R8,-0.023883052896570334,"-0.0064 [-0.0411,0.0274]",0.023736957138480598,-0.008725206751882375,"-0.0096 [-0.0490,0.0299]",0.028927094230464023,MAINLINE_SUPPORTED_STRONG,BACKBONE_ROBUST
