target,new,baseline,mean_mae_improvement,ci95_low,ci95_high
TmApp,EXP-T045,EXP-T001,0.026057810011769104,-0.03728298255210225,0.0875134993953769
HIC,EXP-H047,EXP-H021,-0.007125339401781408,-0.03081349043486263,0.01573131605401345
