scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed,config_hash,fusion_bundle_id
primary,0,0.001,1e-05,21,147,0.0009757729755661011,2.914316350763494,51,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/primary_k0_lr1e-03_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
primary,1,0.001,1e-05,20,120,0.0009781175423251734,3.4004486546371924,50,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/primary_k1_lr1e-03_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
primary,2,0.0001,1.0000000000000002e-06,160,1120,1.0915609404889017e-05,2.872823119163513,190,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/primary_k2_lr1e-04_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
primary,3,0.0001,1.0000000000000002e-06,68,476,7.502520408740418e-05,2.241199016571045,98,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/primary_k3_lr1e-04_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
primary,4,0.001,1e-05,64,448,0.0007767662949090753,2.882467031478882,94,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/primary_k4_lr1e-03_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
shadow,0,0.001,1e-05,43,301,0.0008961267311259666,2.2970972928133877,73,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
shadow,1,0.0001,1.0000000000000002e-06,93,651,5.6703995061433075e-05,2.7694653272628784,123,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/shadow_k1_lr1e-04_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
shadow,2,0.0001,1.0000000000000002e-06,77,539,6.872216535789157e-05,2.854478597640991,107,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/shadow_k2_lr1e-04_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
shadow,3,0.01,0.0001,10,70,0.00995061710569696,3.5233244462446733,40,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/shadow_k3_lr1e-02_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
shadow,4,0.001,1e-05,38,266,0.0009187246438772938,2.667741894721985,68,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T124_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,bed6d6b652b44d97,101,35d8d25008261d7deeeeddb7bd7e154617227feec127d2eeeaef55fca692ee3e,
