feature,spearman_rho_HIC_dev,pvalue,n
SSKD_ALL_MAX,0.12289689889159502,0.11922813124668993,162
SSKD_ALL_MEAN,0.18091927460886092,0.021225945968226155,162
SSKD_ALL_SUM,0.26798882783669703,0.0005651437109766096,162
SSKD_H_MAX,0.14184156939955786,0.07178440680769474,162
SSKD_H_MEAN,0.19219744357475016,0.01427691742510536,162
SSKD_H_SUM,0.29964843067023805,0.00010716710965881947,162
SSKD_L_MAX,0.10621181398172862,0.17856202463558937,162
SSKD_L_MEAN,0.06488299132772611,0.4120476040972319,162
SSKD_L_SUM,0.09425195866738183,0.23286942385426687,162
