representation,topology,annotation,delta_primary,delta_shadow,delta_mean,code_x,code_base,scheme_note
ablingua,B2,INTERACTION_FULL_IMGT_REGION,,-0.06570274447217406,,EXP-T082,EXP-T179,shadow
ablingua,B2,INTERACTION_FULL_IMGT_REGION,,,-0.09011548831139127,EXP-T082,EXP-T179,mean
ablingua,C,IMGT,0.17014715406629755,-0.04368419411741753,0.06323147997444023,EXP-T185,EXP-T180,
ablingua,C,REGION,0.18246299837842406,-0.067151175604927,0.05765591138674875,EXP-T190,EXP-T180,
ablingua,C,FULL,0.001967630268614684,-0.10081300617736133,-0.04942268795437332,EXP-T087,EXP-T180,
ablingua,C,INTERACTION_FULL_IMGT_REGION,-0.3506425221761069,,,EXP-T087,EXP-T180,primary
ablingua,C,INTERACTION_FULL_IMGT_REGION,,0.010022363544983204,,EXP-T087,EXP-T180,shadow
ablingua,C,INTERACTION_FULL_IMGT_REGION,,,-0.1703100793155623,EXP-T087,EXP-T180,mean
ablingua,D,IMGT,-0.1214672371193215,-0.09120741008240518,-0.10633732360086379,EXP-T186,EXP-T181,
ablingua,D,REGION,0.015141545990366989,0.025046054227852554,0.020093800109109328,EXP-T191,EXP-T181,
ablingua,D,FULL,0.02296732678825464,-0.019489853470413987,0.0017387366589201037,EXP-T151,EXP-T181,
ablingua,D,INTERACTION_FULL_IMGT_REGION,0.12929301791720915,,,EXP-T151,EXP-T181,primary
ablingua,D,INTERACTION_FULL_IMGT_REGION,,0.04667150238413864,,EXP-T151,EXP-T181,shadow
ablingua,D,INTERACTION_FULL_IMGT_REGION,,,0.08798226015067456,EXP-T151,EXP-T181,mean
ablang2_paired,A,IMGT,0.015598768069420288,0.0273493072133002,0.021474037641360244,EXP-T197,EXP-T192,
ablang2_paired,A,REGION,-0.023087583942178913,-0.14106449080102257,-0.08207603737159985,EXP-T202,EXP-T192,
ablang2_paired,A,FULL,0.09452374776204353,-0.042168110976984696,0.026177818392529417,EXP-T110,EXP-T192,
ablang2_paired,A,INTERACTION_FULL_IMGT_REGION,0.10201256363480216,,,EXP-T110,EXP-T192,primary
ablang2_paired,A,INTERACTION_FULL_IMGT_REGION,,0.07154707261073767,,EXP-T110,EXP-T192,shadow
ablang2_paired,A,INTERACTION_FULL_IMGT_REGION,,,0.08677981812276903,EXP-T110,EXP-T192,mean
ablang2_paired,B1,IMGT,-0.23074712871033443,0.21041029470938177,-0.010168417000476104,EXP-T198,EXP-T193,
ablang2_paired,B1,REGION,-0.2682137901400341,0.15580961439344598,-0.05620208787329384,EXP-T203,EXP-T193,
ablang2_paired,B1,FULL,-0.32952037858374306,0.09032216484163991,-0.11959910687105202,EXP-T113,EXP-T193,
ablang2_paired,B1,INTERACTION_FULL_IMGT_REGION,0.16944054026662547,,,EXP-T113,EXP-T193,primary
ablang2_paired,B1,INTERACTION_FULL_IMGT_REGION,,-0.27589774426118785,,EXP-T113,EXP-T193,shadow
ablang2_paired,B1,INTERACTION_FULL_IMGT_REGION,,,-0.05322860199728208,EXP-T113,EXP-T193,mean
ablang2_paired,B2,IMGT,0.03254624354986513,-0.14122214140715394,-0.05433794892864441,EXP-T199,EXP-T194,
ablang2_paired,B2,REGION,0.014640478440273164,-0.31509451218593254,-0.15022701687282902,EXP-T204,EXP-T194,
ablang2_paired,B2,FULL,0.04294075200587155,-0.07859411357361568,-0.017826680783872284,EXP-T115,EXP-T194,
ablang2_paired,B2,INTERACTION_FULL_IMGT_REGION,-0.00424596998426674,,,EXP-T115,EXP-T194,primary
ablang2_paired,B2,INTERACTION_FULL_IMGT_REGION,,0.3777225400194708,,EXP-T115,EXP-T194,shadow
ablang2_paired,B2,INTERACTION_FULL_IMGT_REGION,,,0.18673828501760115,EXP-T115,EXP-T194,mean
ablang2_paired,C,IMGT,0.1998115351170675,0.17427677578396272,0.1870441554505149,EXP-T200,EXP-T195,
ablang2_paired,C,REGION,0.004422929551866961,-0.2959909085874206,-0.14578398951777727,EXP-T205,EXP-T195,
ablang2_paired,C,FULL,0.02267324188609221,-0.027752440652729415,-0.0025395993833190467,EXP-T121,EXP-T195,
ablang2_paired,C,INTERACTION_FULL_IMGT_REGION,-0.18156122278284226,,,EXP-T121,EXP-T195,primary
ablang2_paired,C,INTERACTION_FULL_IMGT_REGION,,0.09396169215072847,,EXP-T121,EXP-T195,shadow
ablang2_paired,C,INTERACTION_FULL_IMGT_REGION,,,-0.04379976531605667,EXP-T121,EXP-T195,mean
ablang2_paired,D,IMGT,0.23702680328745895,0.2810194698380841,0.2590231365627709,EXP-T201,EXP-T196,
ablang2_paired,D,REGION,0.04328934940291029,0.11087999226134482,0.07708467083212733,EXP-T206,EXP-T196,
ablang2_paired,D,FULL,0.19632690335497438,0.3462529829990717,0.27128994317702304,EXP-T149,EXP-T196,
ablang2_paired,D,INTERACTION_FULL_IMGT_REGION,-0.08398924933539487,,,EXP-T149,EXP-T196,primary
ablang2_paired,D,INTERACTION_FULL_IMGT_REGION,,-0.04564647910035724,,EXP-T149,EXP-T196,shadow
ablang2_paired,D,INTERACTION_FULL_IMGT_REGION,,,-0.06481786421787517,EXP-T149,EXP-T196,mean
ablang2_unpaired,A,IMGT,-0.0066191119912231144,0.00992480619454117,0.0016528471016590274,EXP-T217,EXP-T212,
ablang2_unpaired,A,REGION,0.1131392584906683,0.05242816312813492,0.08278371080940161,EXP-T222,EXP-T212,
ablang2_unpaired,A,FULL,0.1160214742024741,0.12513561013304164,0.12057854216775743,EXP-T207,EXP-T212,
ablang2_unpaired,A,INTERACTION_FULL_IMGT_REGION,0.009501327703028917,,,EXP-T207,EXP-T212,primary
ablang2_unpaired,A,INTERACTION_FULL_IMGT_REGION,,0.06278264081036555,,EXP-T207,EXP-T212,shadow
ablang2_unpaired,A,INTERACTION_FULL_IMGT_REGION,,,0.03614198425669679,EXP-T207,EXP-T212,mean
ablang2_unpaired,B1,IMGT,0.09692036664044368,-0.0831937907654563,0.0068632879374948,EXP-T218,EXP-T213,
ablang2_unpaired,B1,REGION,0.1617641684449751,-0.18209888316966882,-0.010167357362346863,EXP-T223,EXP-T213,
ablang2_unpaired,B1,FULL,-0.04966629876030826,-0.00014024899329667662,-0.024903273876802245,EXP-T208,EXP-T213,
ablang2_unpaired,B1,INTERACTION_FULL_IMGT_REGION,-0.30835083384572703,,,EXP-T208,EXP-T213,primary
ablang2_unpaired,B1,INTERACTION_FULL_IMGT_REGION,,0.26515242494182845,,EXP-T208,EXP-T213,shadow
ablang2_unpaired,B1,INTERACTION_FULL_IMGT_REGION,,,-0.021599204451950182,EXP-T208,EXP-T213,mean
ablang2_unpaired,B2,IMGT,0.13488143167377986,-0.04378841541431555,0.04554650812973238,EXP-T219,EXP-T214,
ablang2_unpaired,B2,REGION,0.16092545309184514,-0.09638466069727869,0.03227039619728389,EXP-T224,EXP-T214,
ablang2_unpaired,B2,FULL,-0.08179471522201709,-0.027705133697133455,-0.05474992445957483,EXP-T209,EXP-T214,
ablang2_unpaired,B2,INTERACTION_FULL_IMGT_REGION,-0.3776015999876421,,,EXP-T209,EXP-T214,primary
ablang2_unpaired,B2,INTERACTION_FULL_IMGT_REGION,,0.11246794241446079,,EXP-T209,EXP-T214,shadow
ablang2_unpaired,B2,INTERACTION_FULL_IMGT_REGION,,,-0.1325668287865911,EXP-T209,EXP-T214,mean
ablang2_unpaired,C,IMGT,-0.05290186846697775,-0.33439297146267366,-0.19364741996482504,EXP-T220,EXP-T215,
ablang2_unpaired,C,REGION,-0.28682426170066533,-0.3455924987792969,-0.3162083802399809,EXP-T225,EXP-T215,
ablang2_unpaired,C,FULL,-0.06502288064838879,-0.20591636940284985,-0.13546962502561932,EXP-T210,EXP-T215,
ablang2_unpaired,C,INTERACTION_FULL_IMGT_REGION,0.2747032495192543,,,EXP-T210,EXP-T215,primary
ablang2_unpaired,C,INTERACTION_FULL_IMGT_REGION,,0.4740691008391207,,EXP-T210,EXP-T215,shadow
ablang2_unpaired,C,INTERACTION_FULL_IMGT_REGION,,,0.3743861751791866,EXP-T210,EXP-T215,mean
ablang2_unpaired,D,IMGT,-0.18711530426402145,0.0786306122202931,-0.054242346021864396,EXP-T221,EXP-T216,
ablang2_unpaired,D,REGION,-0.22774675157335,0.06998036231523663,-0.07888319462905713,EXP-T226,EXP-T216,
ablang2_unpaired,D,FULL,-0.2229581762243198,0.255608994283794,0.016325409029736893,EXP-T211,EXP-T216,
ablang2_unpaired,D,INTERACTION_FULL_IMGT_REGION,0.19190387961305166,,,EXP-T211,EXP-T216,primary
ablang2_unpaired,D,INTERACTION_FULL_IMGT_REGION,,0.10699801974826428,,EXP-T211,EXP-T216,shadow
ablang2_unpaired,D,INTERACTION_FULL_IMGT_REGION,,,0.14945094968065842,EXP-T211,EXP-T216,mean
ablang1,A,IMGT,0.06684529339825662,-0.09336123054410228,-0.013257968572922607,EXP-T236,EXP-T231,
ablang1,A,REGION,0.043793148464626785,0.027655707465277235,0.03572442796495201,EXP-T241,EXP-T231,
ablang1,A,FULL,-0.0039176469967685534,-0.03491620664243378,-0.01941692681960072,EXP-T227,EXP-T231,
ablang1,A,INTERACTION_FULL_IMGT_REGION,-0.11455608885965196,,,EXP-T227,EXP-T231,primary
ablang1,A,INTERACTION_FULL_IMGT_REGION,,0.030789316436391267,,EXP-T227,EXP-T231,shadow
ablang1,A,INTERACTION_FULL_IMGT_REGION,,,-0.041883386211630125,EXP-T227,EXP-T231,mean
ablang1,B1,IMGT,0.13498266243640344,0.08288854434166426,0.10893560338903363,EXP-T237,EXP-T232,
ablang1,B1,REGION,0.2526404533857187,0.28365792168511295,0.26814918753541583,EXP-T242,EXP-T232,
ablang1,B1,FULL,0.22113310260537355,-0.0555007133954839,0.08281619460494483,EXP-T228,EXP-T232,
ablang1,B1,INTERACTION_FULL_IMGT_REGION,-0.1664900132167486,,,EXP-T228,EXP-T232,primary
ablang1,B1,INTERACTION_FULL_IMGT_REGION,,-0.4220471794222611,,EXP-T228,EXP-T232,shadow
ablang1,B1,INTERACTION_FULL_IMGT_REGION,,,-0.29426859631950464,EXP-T228,EXP-T232,mean
ablang1,B2,IMGT,-0.07630569552197874,-0.11244519551595111,-0.0943754455189647,EXP-T238,EXP-T233,
ablang1,B2,REGION,-0.02426484190387468,-0.02758150924871039,-0.025923175576292312,EXP-T243,EXP-T233,
ablang1,B2,FULL,-0.07500290576322577,0.03357795432761801,-0.020712475717803436,EXP-T229,EXP-T233,
ablang1,B2,INTERACTION_FULL_IMGT_REGION,0.025567631662627655,,,EXP-T229,EXP-T233,primary
ablang1,B2,INTERACTION_FULL_IMGT_REGION,,0.1736046590922795,,EXP-T229,EXP-T233,shadow
ablang1,B2,INTERACTION_FULL_IMGT_REGION,,,0.09958614537745358,EXP-T229,EXP-T233,mean
