scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.01,0.0001,9,63,0.009960967771506667,0.5262051777695164,39,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/primary_k0_lr1e-02_seed101.pt,d65503c22c382305,101
primary,1,0.001,1e-05,18,108,0.00098245592213661,0.5118649072358101,48,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/primary_k1_lr1e-03_seed101.pt,d65503c22c382305,101
primary,2,0.001,1e-05,40,280,0.0009099841101253866,0.4257127616405487,70,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/primary_k2_lr1e-03_seed101.pt,d65503c22c382305,101
primary,3,0.001,1e-05,25,175,0.0009652393605146844,0.4359126379489898,55,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/primary_k3_lr1e-03_seed101.pt,d65503c22c382305,101
primary,4,0.0001,1.0000000000000002e-06,74,518,7.086996075095289e-05,0.46220368170738224,104,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/primary_k4_lr1e-04_seed101.pt,d65503c22c382305,101
shadow,0,0.001,1e-05,21,147,0.0009757729755661011,0.48764855610240593,51,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/shadow_k0_lr1e-03_seed101.pt,d65503c22c382305,101
shadow,1,0.001,1e-05,21,147,0.0009757729755661011,0.4434260625839233,51,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,d65503c22c382305,101
shadow,2,0.001,1e-05,68,476,0.0007502520408740418,0.4313650257587433,98,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/shadow_k2_lr1e-03_seed101.pt,d65503c22c382305,101
shadow,3,0.001,1e-05,23,161,0.0009707359806323416,0.4852030457005357,53,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,d65503c22c382305,101
shadow,4,0.001,1e-05,25,175,0.0009652393605146844,0.33691118574142465,55,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-H145_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,d65503c22c382305,101
