scheme,fold,selected_initial_lr,eta_min,best_epoch,best_optimizer_step,lr_at_best_epoch,best_val_mae,final_epoch,stopped_early,numerical_failure,checkpoint,init_hash,seed
primary,0,0.0001,1.0000000000000002e-06,69,483,7.43468068680349e-05,2.634630145448627,99,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/primary_k0_lr1e-04_seed101.pt,5b5737329e02161a,101
primary,1,0.001,1e-05,8,48,0.000997010672950314,3.4043024236505683,38,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/primary_k1_lr1e-03_seed101.pt,5b5737329e02161a,101
primary,2,0.0001,1.0000000000000002e-06,22,154,9.73312252619635e-05,3.1424448490142822,52,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/primary_k2_lr1e-04_seed101.pt,5b5737329e02161a,101
primary,3,0.001,1e-05,13,91,0.000991232189110701,2.56145977973938,43,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/primary_k3_lr1e-03_seed101.pt,5b5737329e02161a,101
primary,4,0.001,1e-05,53,371,0.0008438508174347009,3.0124826431274414,83,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/primary_k4_lr1e-03_seed101.pt,5b5737329e02161a,101
shadow,0,0.0001,1.0000000000000002e-06,19,133,9.803453744100869e-05,2.724571459221117,49,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/shadow_k0_lr1e-04_seed101.pt,5b5737329e02161a,101
shadow,1,0.001,1e-05,25,175,0.0009652393605146844,3.160107135772705,55,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/shadow_k1_lr1e-03_seed101.pt,5b5737329e02161a,101
shadow,2,0.0001,1.0000000000000002e-06,69,483,7.43468068680349e-05,2.856097936630249,99,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/shadow_k2_lr1e-04_seed101.pt,5b5737329e02161a,101
shadow,3,0.001,1e-05,16,112,0.00098632311059685,3.350925329959754,46,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/shadow_k3_lr1e-03_seed101.pt,5b5737329e02161a,101
shadow,4,0.001,1e-05,15,105,0.00098807879715968,2.9106078147888184,45,True,False,/workspace_developability_acquisition/developability_drilldown/results/EXP-T185_run/checkpoints/shadow_k4_lr1e-03_seed101.pt,5b5737329e02161a,101
