candidate_order,target,feature_set_name,estimator,rank_cv_worst,cv_primary_mae,cv_shadow_mae,cv_worst_mae,blocks
37,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,lasso,6,0.48744211715559893,0.49238365710743315,0.49238365710743315,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3
38,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,enet,7,0.4908794238000124,0.49363158170876975,0.49363158170876975,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3
21,HIC,ALONE__FB_ESM2_GLOBAL,ridge,8,0.49143646064733876,0.49694389046121346,0.49694389046121346,FB_ESM2_GLOBAL
26,HIC,ALONE__FB_ESM2_RASA_P1,ridge,9,0.4992563606770568,0.499834038762465,0.499834038762465,FB_ESM2_RASA_P1
35,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,xgb,10,0.5036123476852604,0.4879555057949489,0.5036123476852604,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3
28,HIC,ALONE__FB_ESM2_RASA_P1,enet,11,0.5075048074048892,0.4990924309234559,0.5075048074048892,FB_ESM2_RASA_P1
40,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,xgb,12,0.5107943383676034,0.4941888663209514,0.5107943383676034,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3
23,HIC,ALONE__FB_ESM2_GLOBAL,enet,13,0.5154877515621304,0.5021419888831792,0.5154877515621304,FB_ESM2_GLOBAL
30,HIC,ALONE__FB_ESM2_RASA_P1,xgb,14,0.515773297769052,0.5109453940214934,0.515773297769052,FB_ESM2_RASA_P1
27,HIC,ALONE__FB_ESM2_RASA_P1,lasso,15,0.51679477835207,0.5076084561170559,0.51679477835207,FB_ESM2_RASA_P1
22,HIC,ALONE__FB_ESM2_GLOBAL,lasso,16,0.5187788792711507,0.4961451506210827,0.5187788792711507,FB_ESM2_GLOBAL
25,HIC,ALONE__FB_ESM2_GLOBAL,xgb,17,0.5078082993118851,0.5290459792996629,0.5290459792996629,FB_ESM2_GLOBAL
33,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,enet,18,0.4962326403366933,0.5349786060750875,0.5349786060750875,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3
31,HIC,FS_HIC_HYDRO_TITRATION+FB_ESM2_RASA_CDR3,ridge,19,0.5125336302114634,0.548592556090264,0.548592556090264,FS_HIC_HYDRO_TITRATION|FB_ESM2_RASA_CDR3
36,HIC,FS_HIC_CONTINUOUS_SURFACE+FB_ESM2_RASA_CDR3,ridge,20,0.5093203154481778,0.5570877712778503,0.5570877712778503,FS_HIC_CONTINUOUS_SURFACE|FB_ESM2_RASA_CDR3
