annotation,topology,rep1,rep2,scheme,did,ci95_lo,ci95_hi,note
BASE,B1,ablang2_paired,ablang2_unpaired,primary,0.1616217059853637,-0.21257529729678304,0.5421832008126339,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,ablang2_unpaired,shadow,-0.33943786150143473,-0.7348420260865012,0.036379582204936235,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,ablang1,primary,0.3462933434380426,0.008212246718230115,0.7023478560977514,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,ablang1,shadow,-0.06515780790352531,-0.37980420206799914,0.2507985986309286,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm1b,primary,0.44680484724633496,0.13232825832602432,0.7631587040277177,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm1b,shadow,-0.007867012494876105,-0.29847510479114675,0.29999803966946065,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm2,primary,0.3219136603084612,-0.06257471567318762,0.7215243416067995,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esm2,shadow,-0.21986570476013942,-0.5630978307606261,0.10858076825553903,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esmc600m,primary,0.2955478856593003,-0.01494624703018749,0.6034533500671387,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,esmc600m,shadow,0.03520791324568379,-0.26357299369058496,0.35211277479006914,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,currab_paired,primary,-0.06161831043384684,-0.4466881522425899,0.32217980667396734,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,currab_paired,shadow,-0.3519354690740138,-0.6798894340609326,-0.032153674702585636,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,currab_unpaired,primary,0.22187675664454334,-0.10524877206778817,0.5290369345818037,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_paired,currab_unpaired,shadow,-0.051004009482301355,-0.33023934835269125,0.2163330837532326,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,ablang1,primary,0.18467163745267887,-0.1289989748118837,0.49695922062720777,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,ablang1,shadow,0.2742800535979094,-0.10009038772112054,0.621343532020663,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,esm1b,primary,0.2851831412609713,-0.006333545402244326,0.5596399578047385,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,esm1b,shadow,0.33157084900655864,-0.06668161168510527,0.7100611374701978,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,esm2,primary,0.16029195432309748,-0.18003037888326762,0.4745196842852932,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,esm2,shadow,0.11957215674129533,-0.24996500662815424,0.4746856442204221,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,esmc600m,primary,0.13392617967393658,-0.10651094766310708,0.3611971584367162,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,esmc600m,shadow,0.3746457747471185,0.036412321491005976,0.7269610893579176,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,currab_paired,primary,-0.22324001641921054,-0.5542893521579696,0.07372627140563207,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,currab_paired,shadow,-0.012497607572579046,-0.4189169642366009,0.3851509147220187,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,currab_unpaired,primary,0.060255050659179646,-0.20395134172321838,0.3017087318279122,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang2_unpaired,currab_unpaired,shadow,0.2884338520191334,-0.06154001200640643,0.6037531269921197,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,esm1b,primary,0.10051150380829238,-0.19771941031938692,0.39214999410841195,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,esm1b,shadow,0.05729079540864921,-0.2048211651083861,0.30721395516101185,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
BASE,B1,ablang1,esm2,primary,-0.024379683129581404,-0.3740211798820967,0.32103580427758477,DiD=gain(r1)-gain(r2); negative => r1 benefits more from topology
