number,value,datetime_start,datetime_complete,duration,params_alpha,params_l1_ratio,state
0,0.6390693533910353,2026-08-29 10:46:24.417127,2026-08-29 10:46:25.172212,0 days 00:00:00.755085,0.015356276428860957,0.47703059704769485,COMPLETE
1,0.5516544146308546,2026-08-29 10:46:25.341162,2026-08-29 10:46:25.800194,0 days 00:00:00.459032,0.07033816206703083,0.31251031407556684,COMPLETE
2,0.6673867304036696,2026-08-29 10:46:25.942556,2026-08-29 10:46:27.334538,0 days 00:00:01.391982,0.0018903011131883457,0.29923990279642393,COMPLETE
3,0.650310921297657,2026-08-29 10:46:27.521658,2026-08-29 10:46:29.533336,0 days 00:00:02.011678,0.0015579673525976125,0.16977474074398702,COMPLETE
4,0.7022931724241728,2026-08-29 10:46:29.656713,2026-08-29 10:46:30.497809,0 days 00:00:00.841096,0.002392405669752065,0.6731804251148338,COMPLETE
5,0.6885379921342469,2026-08-29 10:46:30.637208,2026-08-29 10:46:31.936101,0 days 00:00:01.298893,0.001236008503477371,0.44721989423872177,COMPLETE
6,0.7071674176580814,2026-08-29 10:46:32.083141,2026-08-29 10:46:33.146223,0 days 00:00:01.063082,0.0011552754282309024,0.640633406846199,COMPLETE
7,0.558073848631104,2026-08-29 10:46:33.295874,2026-08-29 10:46:33.965924,0 days 00:00:00.670050,0.027207991200607757,0.9077012522369392,COMPLETE
8,0.675966621246943,2026-08-29 10:46:34.286443,2026-08-29 10:46:34.883247,0 days 00:00:00.596804,0.005255551041860452,0.5470870142071294,COMPLETE
9,0.582286236854138,2026-08-29 10:46:35.032174,2026-08-29 10:46:35.589998,0 days 00:00:00.557824,9.66015059484987,0.6516286583163962,COMPLETE
10,0.5029428984966375,2026-08-29 10:46:35.800203,2026-08-29 10:46:36.553470,0 days 00:00:00.753267,0.35318696217292,0.09786136091569234,COMPLETE
11,0.5543521673271433,2026-08-29 10:46:37.103921,2026-08-29 10:46:37.814246,0 days 00:00:00.710325,0.2072340588459964,0.05276572150780934,COMPLETE
12,0.4854823216313511,2026-08-29 10:46:37.937877,2026-08-29 10:46:38.422772,0 days 00:00:00.484895,0.3025383643588265,0.25855687612051326,COMPLETE
13,0.4823780221156016,2026-08-29 10:46:38.584168,2026-08-29 10:46:39.061066,0 days 00:00:00.476898,1.0459008057575037,0.05668396601493687,COMPLETE
14,0.582286236854138,2026-08-29 10:46:39.374270,2026-08-29 10:46:39.787890,0 days 00:00:00.413620,2.643187575828554,0.23554989645467284,COMPLETE
15,0.6434364398883762,2026-08-29 10:46:39.931463,2026-08-29 10:46:41.935138,0 days 00:00:02.003675,0.00018205342484662744,0.18951236128067728,COMPLETE
16,0.582286236854138,2026-08-29 10:46:42.132930,2026-08-29 10:46:42.968502,0 days 00:00:00.835572,1.4672256832609083,0.40259860088039934,COMPLETE
17,0.4831450800700518,2026-08-29 10:46:43.123969,2026-08-29 10:46:43.675106,0 days 00:00:00.551137,0.7124981754808368,0.12363004617067519,COMPLETE
18,0.5228656448752454,2026-08-29 10:46:43.925741,2026-08-29 10:46:44.541733,0 days 00:00:00.615992,1.7299083499189654,0.10958389360760834,COMPLETE
19,0.582286236854138,2026-08-29 10:46:44.682586,2026-08-29 10:46:45.240392,0 days 00:00:00.557806,5.620379732376799,0.15126562339896027,COMPLETE
20,0.5100563919727829,2026-08-29 10:46:45.473062,2026-08-29 10:46:45.878192,0 days 00:00:00.405130,0.5839455111930043,0.33494827223572565,COMPLETE
21,0.5133011708057705,2026-08-29 10:46:45.996561,2026-08-29 10:46:46.489915,0 days 00:00:00.493354,0.13431820089299673,0.25534943582237324,COMPLETE
22,0.4854402202053321,2026-08-29 10:46:46.642582,2026-08-29 10:46:47.221071,0 days 00:00:00.578489,0.7119458387297101,0.07003594825022047,COMPLETE
23,0.48567899556891453,2026-08-29 10:46:47.344252,2026-08-29 10:46:47.911922,0 days 00:00:00.567670,0.7669974999770401,0.06359703722283479,COMPLETE
24,0.5812048642071409,2026-08-29 10:46:48.134549,2026-08-29 10:46:48.647714,0 days 00:00:00.513165,2.541356211051586,0.15949521539646222,COMPLETE
25,0.4824300462003022,2026-08-29 10:46:48.846992,2026-08-29 10:46:49.601822,0 days 00:00:00.754830,1.127547387232171,0.05298980143758615,COMPLETE
26,0.5685829799164324,2026-08-29 10:46:49.749736,2026-08-29 10:46:50.382405,0 days 00:00:00.632669,0.07508110374604095,0.2142568906020554,COMPLETE
27,0.582286236854138,2026-08-29 10:46:50.528757,2026-08-29 10:46:51.075708,0 days 00:00:00.546951,4.023878992415816,0.11947987048744521,COMPLETE
28,0.48223978435113923,2026-08-29 10:46:51.274779,2026-08-29 10:46:51.839272,0 days 00:00:00.564493,1.1542017328141212,0.05290250503565308,COMPLETE
29,0.5599912231637472,2026-08-29 10:46:51.998396,2026-08-29 10:46:52.580890,0 days 00:00:00.582494,0.027092102240575126,0.8952678210052866,COMPLETE
30,0.582286236854138,2026-08-29 10:46:52.711023,2026-08-29 10:46:53.068472,0 days 00:00:00.357449,1.337283815072961,0.38403435446945544,COMPLETE
31,0.48881444668286794,2026-08-29 10:46:53.212502,2026-08-29 10:46:53.605308,0 days 00:00:00.392806,0.8048244927121833,0.05174928694398551,COMPLETE
32,0.5476769285333776,2026-08-29 10:46:53.769541,2026-08-29 10:46:54.318961,0 days 00:00:00.549420,0.13259877868169853,0.13975201813161292,COMPLETE
33,0.582286236854138,2026-08-29 10:46:54.460304,2026-08-29 10:46:55.251978,0 days 00:00:00.791674,9.91875710589115,0.19906953864514676,COMPLETE
34,0.512909522547953,2026-08-29 10:46:55.395810,2026-08-29 10:46:55.782353,0 days 00:00:00.386543,0.26020887634780765,0.1146819610540874,COMPLETE
35,0.4958028671588471,2026-08-29 10:46:55.941553,2026-08-29 10:46:56.391563,0 days 00:00:00.450010,0.5104582012565576,0.3067908715620223,COMPLETE
36,0.582286236854138,2026-08-29 10:46:56.554287,2026-08-29 10:46:57.155966,0 days 00:00:00.601679,4.837731591412486,0.18328083497786402,COMPLETE
37,0.49710979959469676,2026-08-29 10:46:57.400015,2026-08-29 10:46:57.916731,0 days 00:00:00.516716,1.2859181689578407,0.10126341820166758,COMPLETE
38,0.5758508507314969,2026-08-29 10:46:58.090378,2026-08-29 10:46:58.836308,0 days 00:00:00.745930,0.07738180480059463,0.1561496815752567,COMPLETE
39,0.48555316964203593,2026-08-29 10:46:58.981078,2026-08-29 10:46:59.388329,0 days 00:00:00.407251,0.15667089844652243,0.8119194453057131,COMPLETE
