number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_max_depth,params_min_child_samples,params_min_split_gain,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,0.5024417973273919,2026-08-29 13:25:04.422136,2026-08-29 13:25:07.992867,0 days 00:00:03.570731,0.5159490287115169,3,31,0.1330830452710967,5,0.0006219136370237089,0.020246844166742006,0.6812551570377835,1643.0,COMPLETE
1,0.49687837669799667,2026-08-29 13:25:08.137753,2026-08-29 13:25:11.386708,0 days 00:00:03.248955,0.4881491197255109,3,15,0.9530013913743769,7,0.17810303729855204,0.4645426212783978,0.7486099471193609,253.0,COMPLETE
2,0.5323643066051394,2026-08-29 13:25:11.565316,2026-08-29 13:25:13.557782,0 days 00:00:01.992466,0.7756515715729928,3,50,0.6024828262724831,6,3.294686014746819e-05,0.005054808169844367,0.8508143291581981,1.0,COMPLETE
3,0.5309450118190556,2026-08-29 13:25:13.703094,2026-08-29 13:25:15.962673,0 days 00:00:02.259579,0.46422747520056534,3,43,0.18760602333025855,7,0.9111125315005132,0.7188972376977392,0.8236327006574518,1.0,COMPLETE
4,0.5017427190081808,2026-08-29 13:25:16.208219,2026-08-29 13:25:19.422925,0 days 00:00:03.214706,0.9948189824016627,5,5,0.5299930857152509,23,0.0010175793605417826,179.22865612934532,0.935588629541977,80.0,COMPLETE
5,0.5013433292335421,2026-08-29 13:25:19.712994,2026-08-29 13:25:22.694442,0 days 00:00:02.981448,0.5685996695034162,3,19,0.5210355783251001,3,0.6473064817618691,0.6851979810687185,0.5659235388361655,552.0,COMPLETE
6,0.506527137709256,2026-08-29 13:25:22.817502,2026-08-29 13:25:25.332791,0 days 00:00:02.515289,0.39130793957375193,3,26,0.6221139040318746,7,0.5961318958579598,34.10790248082747,0.6243456294076555,1000.0,COMPLETE
7,0.5157255056742632,2026-08-29 13:25:25.478264,2026-08-29 13:25:27.903823,0 days 00:00:02.425559,0.5790807735114661,4,36,0.801857491122601,4,3.6920619335626064e-05,226.09080191624543,0.8047686258073887,221.0,COMPLETE
8,0.5040030089517608,2026-08-29 13:25:28.049168,2026-08-29 13:25:31.042296,0 days 00:00:02.993128,0.7938904491043391,5,15,0.05874353139508637,15,0.031153937069115314,0.7684483673874448,0.8285743972896857,143.0,COMPLETE
9,0.5323643066051394,2026-08-29 13:25:31.187553,2026-08-29 13:25:33.592168,0 days 00:00:02.404615,0.74126878194512,4,50,0.5004279714746291,11,0.0002643862245975746,2.401833769836101,0.7868321773844915,1.0,COMPLETE
10,0.5259919948162406,2026-08-29 13:25:33.781927,2026-08-29 13:25:36.018549,0 days 00:00:02.236622,0.9801293088109799,2,6,0.9949125204935676,3,11.877013781494783,0.0010057978209447092,0.9981694400143057,28.0,COMPLETE
11,0.49771553167461713,2026-08-29 13:25:36.163783,2026-08-29 13:25:39.857182,0 days 00:00:03.693399,0.611358241800328,2,18,0.33550860034338914,3,0.06349947584374499,0.08250540791747353,0.5742290086090196,180.0,COMPLETE
12,0.5038817464953625,2026-08-29 13:25:40.024600,2026-08-29 13:25:43.513769,0 days 00:00:03.489169,0.6652491044370912,2,16,0.3066400161450269,3,0.03019759883623731,0.07322247830984069,0.7043347263730318,158.0,COMPLETE
13,0.4990218357621193,2026-08-29 13:25:43.741295,2026-08-29 13:25:46.589587,0 days 00:00:02.848292,0.35569467242870595,2,23,0.9828276200751639,3,0.022352466144369323,0.09661445598970216,0.5687878135304876,457.0,COMPLETE
14,0.49196602052710964,2026-08-29 13:25:46.790340,2026-08-29 13:25:49.905676,0 days 00:00:03.115336,0.6718803063255713,2,13,0.32312172230740877,3,0.12152675958295008,8.026688850664886,0.7365052673556212,353.0,COMPLETE
15,0.527837100779442,2026-08-29 13:25:50.028720,2026-08-29 13:25:51.843147,0 days 00:00:01.814427,0.6844297506965582,4,10,0.8220501558282728,9,13.089799421526752,8.522851565388633,0.7370274511979432,2.0,COMPLETE
16,0.49689209409626417,2026-08-29 13:25:51.988477,2026-08-29 13:25:55.104055,0 days 00:00:03.115578,0.8700657037558862,2,10,0.8290444804191042,3,0.14682532185560654,13.813336940492885,0.7299929494092373,218.0,COMPLETE
17,0.49862956214232446,2026-08-29 13:25:55.282785,2026-08-29 13:25:57.764136,0 days 00:00:02.481351,0.4473078588798328,3,24,0.34013033354536537,5,0.003537204186487292,4.150347529583466,0.6544991858107971,339.0,COMPLETE
18,0.5103270932605223,2026-08-29 13:25:57.909427,2026-08-29 13:26:01.357887,0 days 00:00:03.448460,0.8697791852217684,4,13,0.013876575380297795,9,2.9832989118696522,0.3156983001021271,0.8814061348474522,288.0,COMPLETE
19,0.5088882274298046,2026-08-29 13:26:01.503380,2026-08-29 13:26:04.896989,0 days 00:00:03.393609,0.49968247911009417,2,29,0.6817515122112441,3,0.16609804082940277,34.422344093912905,0.7529638460110044,221.0,COMPLETE
