number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,user_attrs_median_best_iteration,state
0,0.5087472463227751,2026-08-29 12:57:05.635928,2026-08-29 12:57:15.161144,0 days 00:00:09.525216,0.3948985045774871,4,0.1809645640429086,1.3517777857578528,0.3763813534437313,169.0,COMPLETE
1,0.5158517544564245,2026-08-29 12:57:15.339332,2026-08-29 12:57:53.699379,0 days 00:00:38.360047,1.0158162779199666,7,16.14948114298167,1.1779409484330572,0.7481332747444777,33.0,COMPLETE
2,0.5037824085548902,2026-08-29 12:57:53.855898,2026-08-29 12:58:09.693195,0 days 00:00:15.837297,0.6822411151157775,5,0.01710756046637341,0.9000806773180672,0.7095463259570278,89.0,COMPLETE
3,0.5110614895361333,2026-08-29 12:58:09.827486,2026-08-29 12:58:25.730403,0 days 00:00:15.902917,1.951359148704151,5,0.011203101493056316,0.12995283737875107,0.45627416724125985,241.0,COMPLETE
4,0.5043325285584859,2026-08-29 12:58:25.886979,2026-08-29 12:58:40.034512,0 days 00:00:14.147533,1.4998680309932455,5,4.719849392459828,1.2333464172746995,0.7857421809179961,70.0,COMPLETE
5,0.4952592900794388,2026-08-29 12:58:40.191129,2026-08-29 12:58:50.195001,0 days 00:00:10.003872,1.9657752096005003,4,2.3559039024179844,0.48127455726728297,0.7639369166159402,134.0,COMPLETE
6,0.497515376272186,2026-08-29 12:58:50.374012,2026-08-29 12:58:59.587442,0 days 00:00:09.213430,0.9215254697871116,3,0.30759865654191354,1.5181656129746306,0.5027400225857924,223.0,COMPLETE
7,0.5201057889602921,2026-08-29 12:58:59.821992,2026-08-29 12:59:16.102312,0 days 00:00:16.280320,0.2656184734437026,5,0.5584127162143899,1.9947505261599052,0.6452083013234949,146.0,COMPLETE
8,0.5051046142690332,2026-08-29 12:59:16.258957,2026-08-29 12:59:21.728758,0 days 00:00:05.469801,1.0521265542104896,3,0.9416720396486818,1.654862019792202,0.5139647947957878,142.0,COMPLETE
9,0.5045681228137153,2026-08-29 12:59:21.885325,2026-08-29 12:59:28.554464,0 days 00:00:06.669139,0.6459358329577041,4,35.55050892930102,0.22725298998832955,0.4307336284865589,55.0,COMPLETE
10,0.5059927911505313,2026-08-29 12:59:28.688693,2026-08-29 13:00:15.829877,0 days 00:00:47.141184,0.01439644200000989,7,5.991630497293457,0.574326764732547,0.9819018094762231,42.0,COMPLETE
11,0.482218670997302,2026-08-29 13:00:15.997059,2026-08-29 13:00:25.021937,0 days 00:00:09.024878,1.8788735535931669,3,0.12084398962723256,0.6775196052257548,0.9374057834423182,94.0,COMPLETE
12,0.4972139412263405,2026-08-29 13:00:25.156409,2026-08-29 13:00:45.828316,0 days 00:00:20.671907,1.9650684852714213,4,0.054966223998189276,0.6562140472741695,0.9303015197542767,65.0,COMPLETE
13,0.48503220752009213,2026-08-29 13:00:45.984779,2026-08-29 13:00:56.120602,0 days 00:00:10.135823,1.584376257969414,3,1.6722545475709514,0.519874248728695,0.8545872581600782,74.0,COMPLETE
14,0.4837499203295641,2026-08-29 13:00:56.377419,2026-08-29 13:01:05.347099,0 days 00:00:08.969680,1.5458744281881844,3,0.10893258707084856,0.8618768573013682,0.8831685828031771,139.0,COMPLETE
15,0.4944005313982043,2026-08-29 13:01:05.503753,2026-08-29 13:01:13.362563,0 days 00:00:07.858810,1.4678009113051367,3,0.09243513900997412,0.8862599857710041,0.8765984008667622,140.0,COMPLETE
16,0.4877723197829725,2026-08-29 13:01:13.671226,2026-08-29 13:01:22.288213,0 days 00:00:08.616987,1.6759363155121898,3,0.06891168389756024,0.935393374399272,0.8647622048694095,141.0,COMPLETE
17,0.4999991294539579,2026-08-29 13:01:22.422271,2026-08-29 13:01:37.604190,0 days 00:00:15.181919,1.2965970547512766,4,0.024886565132923102,0.7673179147681266,0.9866654250196525,134.0,COMPLETE
18,0.5044299014844635,2026-08-29 13:01:37.738894,2026-08-29 13:01:58.208527,0 days 00:00:20.469633,1.7469468164184088,6,0.22637656699383318,0.2473300568905824,0.6382548666675091,82.0,COMPLETE
19,0.4998817844307646,2026-08-29 13:01:58.387267,2026-08-29 13:02:06.634447,0 days 00:00:08.247180,1.2360779967902606,3,0.1241565959658346,1.0395963539599757,0.9226178292655849,137.0,COMPLETE
