number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_depth,params_l2_leaf_reg,params_random_strength,params_rsm,user_attrs_median_best_iteration,state
0,0.4696237289117538,2026-08-29 13:08:44.251063,2026-08-29 13:09:22.100675,0 days 00:00:37.849612,0.8832933589941465,7,0.011340769292810245,1.357670969169039,0.46138287271300016,90.0,COMPLETE
1,0.444443175825236,2026-08-29 13:09:22.212264,2026-08-29 13:09:39.038505,0 days 00:00:16.826241,1.0430248783434468,4,1.5370078358790011,0.5340213483522875,0.9378666060042059,215.0,COMPLETE
2,0.47459910112335857,2026-08-29 13:09:39.184003,2026-08-29 13:09:52.587137,0 days 00:00:13.403134,1.7195731394655271,5,9.882431952884781,1.0822294334712437,0.8526354532224026,23.0,COMPLETE
3,0.45440879744937895,2026-08-29 13:09:52.721217,2026-08-29 13:09:58.967928,0 days 00:00:06.246711,1.2508084209962473,3,1.4448922949231278,0.6432560148073427,0.46889286791545626,129.0,COMPLETE
4,0.4519491480333353,2026-08-29 13:09:59.091778,2026-08-29 13:10:07.405403,0 days 00:00:08.313625,1.2475432476292152,3,0.20956408582927585,1.8560743162654787,0.9390007186904467,168.0,COMPLETE
5,0.4683609837883598,2026-08-29 13:10:07.528733,2026-08-29 13:10:30.098858,0 days 00:00:22.570125,1.732019396275061,6,91.93690686136499,0.9769824873748374,0.8147838429339158,57.0,COMPLETE
6,0.4708473210213094,2026-08-29 13:10:30.266707,2026-08-29 13:11:14.073030,0 days 00:00:43.806323,0.4063973214476717,7,5.1627726626352555,0.571579017137473,0.6082573065712933,107.0,COMPLETE
7,0.46225612205660144,2026-08-29 13:11:14.196477,2026-08-29 13:11:25.888100,0 days 00:00:11.691623,0.29676168568757455,4,99.98462070856726,1.9491171193031362,0.7085451970947013,174.0,COMPLETE
8,0.4587416305097205,2026-08-29 13:11:26.011196,2026-08-29 13:11:32.693319,0 days 00:00:06.682123,1.8939896706862727,4,0.03328111557360446,0.41881426201003014,0.5048941359114971,94.0,COMPLETE
9,0.46249043286747,2026-08-29 13:11:32.838630,2026-08-29 13:11:48.286095,0 days 00:00:15.447465,0.3738722357120554,5,0.09918587390376465,0.5652307940873462,0.7842186280535128,112.0,COMPLETE
10,0.44999924503050587,2026-08-29 13:11:48.469053,2026-08-29 13:12:02.002363,0 days 00:00:13.533310,0.005615074547421939,6,0.5397599265257991,0.11580943327743842,0.3524604166816625,90.0,COMPLETE
11,0.4498440204699556,2026-08-29 13:12:02.125587,2026-08-29 13:12:14.639268,0 days 00:00:12.513681,0.03649358986754525,6,0.6914356198170251,0.015578158508510409,0.3663061446849375,81.0,COMPLETE
12,0.4696380008226384,2026-08-29 13:12:14.773834,2026-08-29 13:12:25.454410,0 days 00:00:10.680576,0.9388516233682138,5,2.006815233111703,0.0029820032870778567,0.9972445580801163,20.0,COMPLETE
13,0.4609580530231554,2026-08-29 13:12:25.599743,2026-08-29 13:12:44.092676,0 days 00:00:18.492933,0.7527519295216716,6,17.824524638772495,0.2521580966042937,0.6566048531929476,19.0,COMPLETE
14,0.46074047621281916,2026-08-29 13:12:44.238143,2026-08-29 13:12:51.962664,0 days 00:00:07.724521,1.3550026240540844,4,0.5507457075429795,0.9124666940925903,0.5783762853899795,59.0,COMPLETE
15,0.4598431925007978,2026-08-29 13:12:52.108444,2026-08-29 13:12:56.588100,0 days 00:00:04.479656,0.005103845895035715,3,1.9613835337080878,0.3258806621625909,0.7136000956279611,41.0,COMPLETE
16,0.47578242870817283,2026-08-29 13:12:56.755909,2026-08-29 13:13:13.022861,0 days 00:00:16.266952,0.6133356840311276,7,0.23303060669736173,0.7798489688850749,0.3893480873982581,10.0,COMPLETE
17,0.48377787227757857,2026-08-29 13:13:13.168307,2026-08-29 13:13:30.315605,0 days 00:00:17.147298,1.0726877143079043,5,0.7648023852065604,1.2507593619187998,0.9010876234722791,3.0,COMPLETE
18,0.4672372911940226,2026-08-29 13:13:30.483123,2026-08-29 13:13:46.341892,0 days 00:00:15.858769,1.494329506572433,6,0.073015892079696,0.20308062845581112,0.581058228053826,34.0,COMPLETE
19,0.46319721820531967,2026-08-29 13:13:46.488289,2026-08-29 13:13:53.435621,0 days 00:00:06.947332,0.5818987862954795,4,6.627845497740185,1.636794388494693,0.7283183131925937,67.0,COMPLETE
