number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,3.343805430847921,2026-08-29 11:58:50.717828,2026-08-29 11:58:52.812542,0 days 00:00:02.094714,0.5395907823879094,0.7155350116417496,3,15,0.00045045270750070034,0.032869784334126885,0.8062471914430749,COMPLETE
1,3.3492676534770447,2026-08-29 11:58:52.965510,2026-08-29 11:58:54.820696,0 days 00:00:01.855186,0.4919627896202563,1.9687780228206633,2,9,0.007222918069586425,0.014591216708644347,0.8615902125574169,COMPLETE
2,3.4274058400848766,2026-08-29 11:58:54.970167,2026-08-29 11:58:56.650300,0 days 00:00:01.680133,0.7090072880384823,1.964545714952274,3,29,28.685936353204884,4.584855787748904,0.7048556432476945,COMPLETE
3,3.4126605752073687,2026-08-29 11:58:56.851127,2026-08-29 11:58:59.439996,0 days 00:00:02.588869,0.6325088405974555,1.8242180043830118,2,4,0.4047690972886321,42.341358787439795,0.8211172718226174,COMPLETE
4,3.4340543864685813,2026-08-29 11:58:59.578064,2026-08-29 11:59:01.721127,0 days 00:00:02.143063,0.47194391516466805,0.025159386550659968,2,23,0.8137696670217525,6.645511623240726,0.7847035982790921,COMPLETE
5,3.4347342973873936,2026-08-29 11:59:01.938823,2026-08-29 11:59:04.434527,0 days 00:00:02.495704,0.973450656407475,0.049045619810533125,5,30,0.02709127721898411,0.16801272321361083,0.6894764270749287,COMPLETE
6,3.326713138156467,2026-08-29 11:59:04.619829,2026-08-29 11:59:06.365669,0 days 00:00:01.745840,0.8328103949735441,1.0126960501523088,3,2,0.02257214060845831,0.7141263211261578,0.7013382327331343,COMPLETE
7,3.4168016881118586,2026-08-29 11:59:06.490093,2026-08-29 11:59:08.755841,0 days 00:00:02.265748,0.39130793957375193,1.8663417120956238,4,15,0.5961318958579598,34.10790248082747,0.6243456294076555,COMPLETE
8,3.315261464060089,2026-08-29 11:59:08.949501,2026-08-29 11:59:10.937570,0 days 00:00:01.988069,0.7179991261662281,2.9327173775609148,4,3,0.001917540450209472,0.003017786845012373,0.8538204319984354,COMPLETE
9,3.4338061485761475,2026-08-29 11:59:11.064515,2026-08-29 11:59:12.862736,0 days 00:00:01.798221,0.49737435032978,1.618085937057927,5,29,0.10225609921148712,5.50011817566983,0.747964314549465,COMPLETE
10,3.351647789095655,2026-08-29 11:59:12.991169,2026-08-29 11:59:14.795163,0 days 00:00:01.803994,0.9978413683592056,2.922694419938244,4,19,1.0383170467576272e-05,0.0011827936427543401,0.994439366683992,COMPLETE
11,3.365228535216532,2026-08-29 11:59:14.917220,2026-08-29 11:59:17.575962,0 days 00:00:02.658742,0.8219197452189787,2.875147304691172,4,1,0.0010748627762960123,0.15932851546135854,0.5614416881911987,COMPLETE
12,3.310923046535916,2026-08-29 11:59:17.720917,2026-08-29 11:59:19.724629,0 days 00:00:02.003712,0.8103256892861935,0.9780423013090863,3,7,0.0001774359744241033,0.002429031732767769,0.9314220785439651,COMPLETE
13,3.4595648683147666,2026-08-29 11:59:19.980488,2026-08-29 11:59:22.121795,0 days 00:00:02.141307,0.7686882523866022,2.439838696534558,4,7,5.884793576220189e-05,0.0015193927055058088,0.9225317308548378,COMPLETE
14,3.336621461091218,2026-08-29 11:59:22.273859,2026-08-29 11:59:24.480922,0 days 00:00:02.207063,0.6669730929719111,1.1960134779133411,3,9,0.0007136564283358017,0.004941135355106383,0.9133177570362612,COMPLETE
15,3.4588238751446756,2026-08-29 11:59:24.677744,2026-08-29 11:59:26.984869,0 days 00:00:02.307125,0.8952211211415294,2.41226181000463,4,6,8.829942899017043e-05,0.009503431711040664,0.9723152951994313,COMPLETE
16,3.2790062280348793,2026-08-29 11:59:27.136870,2026-08-29 11:59:29.272123,0 days 00:00:02.135253,0.5934726671267277,0.5507847029242114,3,12,0.0025511630242026876,0.0399535398481791,0.8917006146262177,COMPLETE
17,3.330744237075617,2026-08-29 11:59:29.419386,2026-08-29 11:59:31.475979,0 days 00:00:02.056593,0.5910849425503538,0.5032068945646994,3,14,0.00011903902993212756,0.05943831166223476,0.919529653374738,COMPLETE
18,3.420638661325713,2026-08-29 11:59:31.645628,2026-08-29 11:59:34.556454,0 days 00:00:02.910826,0.3537042947191775,0.42708625554196056,2,11,1.105590516372381e-05,280.58604761736916,0.8694811284167105,COMPLETE
19,3.283760730131173,2026-08-29 11:59:34.705431,2026-08-29 11:59:37.026892,0 days 00:00:02.321461,0.9079491685441778,1.1555028683358817,3,12,0.008209200876328487,0.5543814380585045,0.9181494501256847,COMPLETE
