number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_median_best_iteration,state
0,0.523316361005916,2026-08-29 13:15:23.706753,2026-08-29 13:15:26.697542,0 days 00:00:02.990789,0.6935368514101976,1.3952941695203394,4,17,5.3167701459452136e-05,0.2822295383276336,0.9702258179552128,394.0,COMPLETE
1,0.5430603916848352,2026-08-29 13:15:26.853120,2026-08-29 13:15:34.045798,0 days 00:00:07.192678,0.46977339738054963,0.015683281889093292,5,23,0.0002165776939212162,0.0017131471262956236,0.8744864837113332,1084.0,COMPLETE
2,0.5266823432981506,2026-08-29 13:15:34.246805,2026-08-29 13:15:38.017029,0 days 00:00:03.770224,0.4151631032734164,1.4990882796783658,2,9,4.098892545601462e-05,1.5468390710006914,0.7578548519958498,434.0,COMPLETE
3,0.546147968972376,2026-08-29 13:15:38.229162,2026-08-29 13:15:41.676466,0 days 00:00:03.447304,0.869100153527214,0.45582919802177047,3,4,0.0035790883255551833,0.4619368230936897,0.9297592613440904,84.0,COMPLETE
4,0.5369481441882228,2026-08-29 13:15:41.855271,2026-08-29 13:15:46.303114,0 days 00:00:04.447843,0.8277768181433889,2.236748790734106,3,28,0.030957241255017517,85.70580663970624,0.6814835337662559,646.0,COMPLETE
5,0.5221648736406665,2026-08-29 13:15:46.481949,2026-08-29 13:15:50.730132,0 days 00:00:04.248183,0.5766199741736514,0.8474429492655896,4,8,0.5385511665722951,0.025240025442277065,0.610690233641117,276.0,COMPLETE
6,0.5247325254336807,2026-08-29 13:15:50.920211,2026-08-29 13:15:53.678321,0 days 00:00:02.758110,0.36948335499023877,0.5613247059998377,5,21,0.002686547836180252,0.0012766277042928844,0.626898275898918,362.0,COMPLETE
7,0.5531973976312681,2026-08-29 13:15:53.834933,2026-08-29 13:15:55.937834,0 days 00:00:02.102901,0.551427316456809,2.6538810862280684,4,9,5.7522655877481235,0.0026326923771795427,0.8564650000342406,1.0,COMPLETE
8,0.5347373031497925,2026-08-29 13:15:56.128548,2026-08-29 13:15:58.842188,0 days 00:00:02.713640,0.444812224067338,1.8503581081048037,3,18,0.002089406125758838,7.964856610754629,0.8052703914534959,395.0,COMPLETE
9,0.5372704417502232,2026-08-29 13:15:59.087994,2026-08-29 13:16:03.334788,0 days 00:00:04.246794,0.38873141225603486,0.8918363225609933,4,20,0.08931457002045068,81.53235631654917,0.8356590552388654,810.0,COMPLETE
10,0.5531973976312681,2026-08-29 13:16:03.535906,2026-08-29 13:16:05.695211,0 days 00:00:02.159305,0.9928705565061833,2.804354311620128,2,3,23.535334921713652,0.03586128692424712,0.5783789963273236,1.0,COMPLETE
11,0.5273862680242967,2026-08-29 13:16:06.023952,2026-08-29 13:16:14.888551,0 days 00:00:08.864599,0.6501798210255562,1.2628468833680437,4,13,0.3744444652731653,0.06896537007096844,0.9918720989462605,1352.0,COMPLETE
12,0.5199948524652525,2026-08-29 13:16:15.045469,2026-08-29 13:16:19.570242,0 days 00:00:04.524773,0.6722175037488267,1.1981001111713676,4,14,3.431698347477592e-05,0.03157300255361646,0.7070738525737067,526.0,COMPLETE
13,0.5208641250965207,2026-08-29 13:16:19.727253,2026-08-29 13:16:24.019590,0 days 00:00:04.292337,0.6261633877810828,0.9327208535155408,5,11,0.5129275636739329,0.019819254333522253,0.6996803943056034,530.0,COMPLETE
14,0.5216852364946705,2026-08-29 13:16:24.176724,2026-08-29 13:16:28.779349,0 days 00:00:04.602625,0.7090149291285139,1.7933458922988494,5,13,0.0004742581874357562,0.01017640223999452,0.7223727297966204,530.0,COMPLETE
15,0.5178312363144039,2026-08-29 13:16:28.991883,2026-08-29 13:16:33.760422,0 days 00:00:04.768539,0.7731262576505833,0.9545414089707858,5,14,0.023460164294727085,0.008319595515524027,0.6763805895445242,383.0,COMPLETE
16,0.5356181716327518,2026-08-29 13:16:34.063292,2026-08-29 13:16:39.533165,0 days 00:00:05.469873,0.8216603225507204,0.06181359165410938,5,15,2.3079988382340816e-05,0.17830625728417998,0.6584088809918174,387.0,COMPLETE
17,0.5346188003185183,2026-08-29 13:16:39.667121,2026-08-29 13:16:42.347778,0 days 00:00:02.680657,0.7677291906781483,1.1579780547113943,4,26,0.01427252868470703,0.006799328899203478,0.757019305411163,276.0,COMPLETE
18,0.5323636903393176,2026-08-29 13:16:42.504232,2026-08-29 13:16:47.730796,0 days 00:00:05.226564,0.9614635775935845,1.7393365302528616,3,6,1.215081859500897e-05,1.5485488623738735,0.7703390812774176,434.0,COMPLETE
19,0.5470337123427279,2026-08-29 13:16:47.887336,2026-08-29 13:16:52.279186,0 days 00:00:04.391850,0.7311039036079429,0.44802734546684464,5,1,0.00028491220250517383,0.006940689908688062,0.5555839821419455,258.0,COMPLETE
