number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,state
0,0.49764054597454305,2026-08-29 10:53:27.321283,2026-08-29 10:53:29.509995,0 days 00:00:02.188712,0.5395907823879094,0.7155350116417496,3,15,0.00045045270750070034,0.032869784334126885,0.8062471914430749,COMPLETE
1,0.525220282425115,2026-08-29 10:53:29.647404,2026-08-29 10:53:31.051909,0 days 00:00:01.404505,0.4919627896202563,1.9687780228206633,2,9,0.007222918069586425,0.014591216708644347,0.8615902125574169,COMPLETE
2,0.5358144023565597,2026-08-29 10:53:31.195071,2026-08-29 10:53:32.755007,0 days 00:00:01.559936,0.7090072880384823,1.964545714952274,3,29,28.685936353204884,4.584855787748904,0.7048556432476945,COMPLETE
3,0.5288509411282009,2026-08-29 10:53:32.965175,2026-08-29 10:53:34.781818,0 days 00:00:01.816643,0.6325088405974555,1.8242180043830118,2,4,0.4047690972886321,42.341358787439795,0.8211172718226174,COMPLETE
4,0.5097090309048875,2026-08-29 10:53:34.991587,2026-08-29 10:53:37.421081,0 days 00:00:02.429494,0.47194391516466805,0.025159386550659968,2,23,0.8137696670217525,6.645511623240726,0.7847035982790921,COMPLETE
5,0.5242901879769784,2026-08-29 10:53:37.595516,2026-08-29 10:53:38.801421,0 days 00:00:01.205905,0.973450656407475,0.049045619810533125,5,30,0.02709127721898411,0.16801272321361083,0.6894764270749287,COMPLETE
6,0.48963735439159245,2026-08-29 10:53:38.954308,2026-08-29 10:53:40.946618,0 days 00:00:01.992310,0.8328103949735441,1.0126960501523088,3,2,0.02257214060845831,0.7141263211261578,0.7013382327331343,COMPLETE
7,0.5285090665464046,2026-08-29 10:53:41.102337,2026-08-29 10:53:42.535753,0 days 00:00:01.433416,0.39130793957375193,1.8663417120956238,4,15,0.5961318958579598,34.10790248082747,0.6243456294076555,COMPLETE
8,0.5240792199123052,2026-08-29 10:53:42.772960,2026-08-29 10:53:44.364086,0 days 00:00:01.591126,0.7179991261662281,2.9327173775609148,4,3,0.001917540450209472,0.003017786845012373,0.8538204319984354,COMPLETE
9,0.5266607266649787,2026-08-29 10:53:44.509777,2026-08-29 10:53:46.050406,0 days 00:00:01.540629,0.49737435032978,1.618085937057927,5,29,0.10225609921148712,5.50011817566983,0.747964314549465,COMPLETE
10,0.5287699730013623,2026-08-29 10:53:46.202126,2026-08-29 10:53:47.836609,0 days 00:00:01.634483,0.9982719925058152,2.900128098907924,4,19,1.0531357266663315e-05,0.23405006858576693,0.994439366683992,COMPLETE
11,0.4973946233207796,2026-08-29 10:53:47.962109,2026-08-29 10:53:49.381227,0 days 00:00:01.419118,0.8480580845421709,0.850178836045653,3,11,0.00027021325455249757,0.15932851546135854,0.553396662484293,COMPLETE
12,0.4977005915229702,2026-08-29 10:53:49.521079,2026-08-29 10:53:51.392375,0 days 00:00:01.871296,0.8449356302827974,0.9780423013090863,3,8,6.9579270489754e-05,0.518059183627643,0.5530002139982846,COMPLETE
13,0.49190395284582067,2026-08-29 10:53:51.546675,2026-08-29 10:53:53.197914,0 days 00:00:01.651239,0.8508181042730489,1.0141299276187048,3,1,0.00038207631996936423,0.8876409004111705,0.5686693819630132,COMPLETE
14,0.4996517799283251,2026-08-29 10:53:53.351070,2026-08-29 10:53:55.092782,0 days 00:00:01.741712,0.851886691846782,1.322037201433889,3,3,0.0038794500409613233,0.8446462266829591,0.6240669192976588,COMPLETE
15,0.5358144023565597,2026-08-29 10:53:55.243120,2026-08-29 10:53:56.722522,0 days 00:00:01.479402,0.7802972351169516,0.6134651322475282,4,2,7.309650321943901,2.123631301438387,0.6273358772330458,COMPLETE
16,0.5288315968454619,2026-08-29 10:53:56.980126,2026-08-29 10:53:59.065367,0 days 00:00:02.085241,0.9078445313657972,1.3156589228878084,2,6,0.028879495317605423,202.59080133652003,0.684776497602033,COMPLETE
17,0.4973869452770845,2026-08-29 10:53:59.351293,2026-08-29 10:54:00.872351,0 days 00:00:01.521058,0.7394947307632439,0.4312884919614759,3,1,1.4376885231606353e-05,0.033656643351505915,0.9262306008474244,COMPLETE
18,0.5216091199804235,2026-08-29 10:54:00.998808,2026-08-29 10:54:02.533981,0 days 00:00:01.535173,0.9187553359831364,2.313677069422123,4,6,0.0008448628811703399,0.0016959189082668322,0.5940250818351573,COMPLETE
19,0.5263665798328541,2026-08-29 10:54:02.747124,2026-08-29 10:54:04.453068,0 days 00:00:01.705944,0.7937099942924665,1.2138791159884694,3,10,0.00010916242331851953,23.97929128717058,0.7351928673051318,COMPLETE
20,0.4849285003285349,2026-08-29 10:54:04.662606,2026-08-29 10:54:06.207267,0 days 00:00:01.544661,0.6491209275051932,0.45181091281703,2,6,0.01615699779216499,1.0364160566490574,0.6606808403816896,COMPLETE
21,0.4843967322832272,2026-08-29 10:54:06.387750,2026-08-29 10:54:08.313762,0 days 00:00:01.926012,0.6261986160797288,0.37770612305373036,2,6,0.015140901920726323,1.3721854319467668,0.653666496086505,COMPLETE
22,0.4873098411560058,2026-08-29 10:54:08.546969,2026-08-29 10:54:10.395320,0 days 00:00:01.848351,0.6291034859739684,0.38973531139758444,2,13,0.017808850483061908,2.029212892029595,0.6637866440417731,COMPLETE
23,0.48845389165996034,2026-08-29 10:54:10.562189,2026-08-29 10:54:12.232989,0 days 00:00:01.670800,0.6434829459188285,0.3969186885288669,2,13,0.10520393386254291,2.238860617097851,0.6410727235349951,COMPLETE
24,0.49720919945799275,2026-08-29 10:54:12.432652,2026-08-29 10:54:14.339775,0 days 00:00:01.907123,0.6078149593963666,0.2779765973007866,2,19,0.008426458854384148,7.666484759770143,0.6549863316199231,COMPLETE
25,0.49224013246135945,2026-08-29 10:54:14.480183,2026-08-29 10:54:16.430027,0 days 00:00:01.949844,0.590479437669704,0.5788143776284134,2,6,0.18654933929525108,0.07908968302122948,0.7537903430539956,COMPLETE
26,0.4840348141988118,2026-08-29 10:54:16.573030,2026-08-29 10:54:18.465032,0 days 00:00:01.892002,0.6765130279231872,0.2336889993028281,2,12,0.0021053016039542832,1.9744716802232052,0.6741651327906725,COMPLETE
27,0.4866782019344376,2026-08-29 10:54:18.599691,2026-08-29 10:54:20.609177,0 days 00:00:02.009486,0.6784474261090435,0.16656076276125012,2,7,0.0019869094836107125,15.31538452567879,0.5891373749455574,COMPLETE
28,0.5287068421163675,2026-08-29 10:54:20.792206,2026-08-29 10:54:22.581458,0 days 00:00:01.789252,0.5597862657145126,0.6545477087043958,2,12,0.0014422961131325812,107.21065361605392,0.7166488283905919,COMPLETE
